Block,Time,RIHAND3,AURY_GF,ANTA_LF,DADRI_CRF,DADRI_RF,TANAKPUR,RAMPUR,DHAULIGNGA,ANTA_GF,CHAMERA1,RAPPC,DULHASTI,ANTA_CRF,CHAMERA3,DADRI_GF,ANTA_RF,UNCHAHAR4,SALAL,RAPPB,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR2,AURY_CRF,KOLDAM,KISHANGANGA,RIHAND1,TANDA2,URI,DADRT2,UNCHAHAR1,DADRI_LF,JHAJJAR,AURY_RF,PARBATI3,NJPC,BSIUL,NAPP,SINGRAULI,KOTESHWR,TEHRI,SEWA2,URI2,AURY_LF,CHAMERA2,UNCHAHAR3,KHSTPP-II,BRBCL,TALA,FSTPP I & II,KUDGI,SASAN,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,121.185605,0.000000,0.000000,0.000000,0.000000,11.150849,1.345921,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,1.762084,1.408539,90.259104,1.347048,36.304819,665.674446,19.513216,0.000000,634.674319,0.000000,3.238176,118.352836,6.338835,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.479082,141.875909,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

2,00:15-00:30,121.185605,0.000000,0.000000,0.000000,0.000000,11.150849,1.345921,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,1.174722,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,634.674319,0.000000,3.238176,118.352836,6.338835,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

3,00:30-00:45,121.185605,0.000000,0.000000,0.000000,0.000000,11.150849,1.076737,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,1.174722,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,636.311111,0.000000,3.238176,94.682268,6.338835,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

4,00:45-01:00,121.185605,0.000000,0.000000,0.000000,0.000000,2.230170,1.076737,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,1.174722,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,636.311111,0.000000,3.238176,94.682268,6.338835,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

5,01:00-01:15,121.185605,0.000000,0.000000,0.000000,0.000000,1.858475,0.979207,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,0.587361,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,636.311111,0.000000,3.238176,86.249030,12.677671,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

6,01:15-01:30,121.185605,0.000000,0.000000,0.000000,0.000000,1.858475,0.979207,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,0.587361,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,636.311111,0.000000,3.238176,86.249030,12.677671,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

7,01:30-01:45,121.185605,0.000000,0.000000,0.000000,0.000000,1.858475,0.979207,9.257700,0.000000,40.765623,53.247269,50.282029,0.000000,29.570779,0.000000,0.000000,0.078343,82.156096,0.000000,115.667448,0.976282,41.637960,0.000000,0.000000,1.408539,90.259104,1.347048,36.304819,665.674446,20.074237,0.000000,636.311111,0.000000,3.238176,86.249030,12.677671,40.408206,134.572759,8.166506,25.412092,16.044750,33.308488,0.000000,40.491409,25.841444,142.676992,11.161004,0.000000,17.545008,72.54,337.528620,42.267027,0,0,0,0,0

