Block,Time,BRBCL,BSIUL,CHAMERA1,DHAULIGNGA,NAPP,NJPC,NLCIIST1,PARBATI2,TALA,TALST2,ANTA_RF,AURY_GF,FSTPP I & II,KUDGI,NLCTS2EXP,RAPPC,SINGRAULI,URI,AURY_RF,DADRI_RF,KGSU1AND2,NLCIIST2,RAMPUR,RSTPSU1TO6,RSTPSU7,SINGRAULI_HYDRO,TANDA2,VALLURNTECL,MAPS,NTPL,RAPPB,RAPPD,RIHAND1,TEHRI,UNCHAHAR4,ANTA_CRF,KHSTPP-I,KISHANGANGA,NLCEXP,NNTPP,SIMHST1,AURY_CRF,DADRI_LF,PARBATI3,RIHAND2,SALAL,TANAKPUR,UNCHAHAR2,UNCHAHAR3,URI2,AURY_LF,CHAMERA2,DADRT2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,SASAN,SEWA2,SIMHST2,ANTA_LF,DADRI_CRF,CHAMERA3,DULHASTI,JHAJJAR,KOTESHWR,RIHAND3,TelanganaSTPP,UNCHAHAR1,ANTA_GF,DADRI_GF
1,00:00-00:15,20,6.52,42.15,10.95,0,144.49,0,28.56,14.49,0,49.86,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,38.36,94.58,84.24,2.44,44.53,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,12.61,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

2,00:15-00:30,20,6.52,42.15,10.95,0,144.49,0,28.56,14.49,0,49.86,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,38.36,94.58,84.24,2.44,44.53,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

3,00:30-00:45,20,6.52,42.15,10.95,0,144.49,0,28.56,17.35,0,49.86,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,39.28,94.58,84.24,2.44,44.53,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

4,00:45-01:00,20,6.52,42.15,10.95,0,144.49,0,28.56,17.35,0,49.86,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,39.28,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

5,01:00-01:15,20,6.52,42.15,10.95,0,144.49,0,28.56,17.35,0,51.17,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,39.28,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

6,01:15-01:30,20,6.52,42.15,10.95,0,144.49,0,28.56,17.35,0,51.17,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,2.29,0,32.78,8.63,0,0,0,0,0,39.28,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

7,01:30-01:45,20,6.52,42.15,10.95,0,144.49,0,28.56,17.35,0,51.17,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,5.74,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,3.2,0,32.78,8.63,0,0,0,0,0,33.76,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,6.3,0,0,0,23.33,58.69,670.67,20.85,90.79,0,21.64,0,0

8,01:45-02:00,20,6.52,42.15,10.95,0,110.67,0,28.56,17.35,0,51.17,0,20.8,0,0,68.56,150.34,50.79,80.77,101.83,0,0,4.4,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,3.2,0,32.78,8.63,0,0,0,0,0,33.76,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,5.58,0,0,0,23.33,58.69,447.11,20.85,90.79,0,21.64,0,0

9,02:00-02:15,20,13.04,25.28,10.95,0,82.99,0,28.56,17.93,0,51.83,0,20.8,0,0,68.56,150.34,51.89,80.77,101.83,0,0,3.3,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,3.2,0,32.78,8.63,0,0,0,0,0,33.76,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,5.21,0,0,0,23.33,58.69,447.11,20.85,90.79,0,21.64,0,0

10,02:15-02:30,20,13.04,25.28,10.95,0,82.99,0,28.56,17.93,0,51.83,0,20.8,0,0,68.56,150.34,51.89,80.77,101.83,0,0,3.3,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,3.2,0,32.78,8.63,0,0,0,0,0,23.02,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,0,0,0,0,23.33,58.69,447.11,20.85,90.79,0,21.64,0,0

11,02:30-02:45,20,13.04,25.28,10.95,0,82.99,0,28.56,18.82,0,51.83,0,20.8,0,0,68.56,150.34,51.89,80.77,101.83,0,0,3.3,0,0,1.18,5.7,0,0,0,0,26.56,62.23,29.13,3.2,0,32.78,8.63,0,0,0,0,0,23.02,94.58,84.24,2.44,45,27.68,38.1,0,48.81,573.92,0,148.3,0,0,4.79,414,0,0,0,0,23.33,58.69,447.11,20.85,90.79,0,21.64,0,0

