Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,L_NR_2019_19,NR/01102023/23072042/L_NR_2012_04,NR/01122023/15122023/HP-15,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/08122023/15122023/HP-19,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,1.370000,1.760000,96.130000,1.240000,25.950000,0.000000,0.000000,0.000000,0,192.260000,57.250000,13.33,0,0,48.060000,20,0,48.06,71.520000,30.760000,6.67,0,6.66,0,0,0,24.030000,25.950000,0,5.01,6,0,169.410000,13.33,0,0,0.000000,127.830000,0,0

2,00:15-00:30,1.370000,1.760000,96.130000,1.240000,25.950000,0.000000,0.000000,0.000000,0,148.690000,57.250000,13.33,0,0,48.060000,20,0,48.06,71.520000,30.760000,6.67,0,6.66,0,0,0,24.030000,25.950000,0,5.01,6,0,169.410000,13.33,0,0,0.000000,127.830000,0,0

3,00:30-00:45,1.370000,1.760000,96.130000,1.240000,25.950000,0.000000,0.000000,0.000000,0,148.690000,57.250000,13.33,0,0,48.060000,20,0,48.06,71.520000,30.760000,6.67,0,6.66,0,0,0,24.030000,25.950000,0,5.01,6,0,169.410000,13.33,0,0,0.000000,127.830000,0,0

4,00:45-01:00,1.370000,1.760000,96.130000,1.240000,25.950000,0.000000,0.000000,0.000000,0,148.690000,57.250000,13.33,0,0,48.060000,20,0,48.06,71.520000,30.760000,6.67,0,6.66,0,0,0,24.030000,25.950000,0,5.01,6,0,169.410000,13.33,0,0,0.000000,127.830000,0,0

5,01:00-01:15,1.370000,1.760000,96.130000,1.240000,25.950000,0.000000,0.000000,0.000000,0,148.690000,57.250000,13.33,0,0,48.060000,20,0,48.06,71.520000,30.760000,6.67,0,6.66,0,0,0,24.030000,25.950000,0,5.01,6,0,146.120000,13.33,0,0,0.000000,127.830000,0,0

