Block,Time,RAPPC,ANTA_LF,DADRI_LF,UNCHAHAR3,UNCHAHAR2,CHAMERA2,CHAMERA1,UNCHAHAR1,AURY_GF,URI,PARBATI3,RIHAND1,RAMPUR,TEHRI,JHAJJAR,KOLDAM,ANTA_RF,BSIUL,ANTA_CRF,RAPPB,DADRI_GF,DHAULIGNGA,SALAL,RIHAND2,TANDA2,AURY_CRF,URI2,AURY_RF,KOTESHWR,SEWA2,DADRI_RF,DULHASTI,ANTA_GF,NAPP,SINGRAULI_HYDRO,TANAKPUR,RIHAND3,NJPC,DADRI_CRF,AURY_LF,DADRT2,UNCHAHAR4,SINGRAULI,CHAMERA3,KISHANGANGA,FSTPP I & II,TALA,SASAN,BRBCL,KHSTPP-I,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,2.125200,0.000000,88.236141,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,4.531642,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,2.589221,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.874233,0.000000,0.000000,16.029475,0.000000,335.888438,18.711476,39.091360,94.652250,0,0,0,0,0

2,00:15-00:30,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,4.531642,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,2.589221,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,17.293263,39.091360,94.652250,0,0,0,0,0

3,00:30-00:45,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,5.049544,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,2.589221,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,18.818476,30.343294,89.656009,0,0,0,0,0

4,00:45-01:00,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,5.049544,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,2.589221,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,16.225696,30.343294,88.693509,0,0,0,0,0

5,01:00-01:15,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,16.054962,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,16.577551,30.343294,91.581009,0,0,0,0,0

6,01:15-01:30,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,3.187800,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,23.823492,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,14.482251,30.343294,80.993509,0,0,0,0,0

7,01:30-01:45,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,37.191000,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,23.823492,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,13.885337,30.343294,81.956009,0,0,0,0,0

8,01:45-02:00,52.520738,0.000000,0.000000,17.822131,28.215976,0.000000,0.000000,7.516932,0.000000,37.191000,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,23.823492,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,16.029475,0.000000,335.888438,14.706636,30.343294,81.956009,0,0,0,0,0

9,02:00-02:15,52.520738,0.000000,0.000000,14.312375,22.580250,0.000000,0.000000,7.286125,0.000000,3.187800,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,23.823492,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,13.768948,0.000000,335.888438,13.111940,25.025000,76.873335,0,0,0,0,0

10,02:15-02:30,52.520738,0.000000,0.000000,14.312375,22.580250,0.000000,0.000000,7.286125,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,23.823492,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,13.768948,0.000000,335.888438,12.870512,25.025000,73.985835,0,0,0,0,0

11,02:30-02:45,52.520738,0.000000,0.000000,14.312375,22.580250,0.000000,0.000000,7.286125,0.000000,2.125200,0.000000,88.550000,0.000000,0.000000,231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.236850,113.695312,0.000000,0.000000,5.179020,0.000000,0.000000,0.000000,0.000000,1.852331,0.000000,42.145950,0.644442,0.246592,59.511375,0.000000,0.000000,0.000000,360.571750,0.000000,120.877969,0.000000,0.000000,13.768948,0.000000,335.888438,13.450484,25.025000,72.060835,0,0,0,0,0

