Block,Time,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,CHAMERA2,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,KOLDAM,SINGRAULI_HYDRO,NJPC,RAPPC,TEHRI,UNCHAHAR3,RIHAND3,SINGRAULI,TANDA2,KISHANGANGA,NAPP,UNCHAHAR4,URI2,CHAMERA1,BSIUL,TANAKPUR,SALAL,RAPPB,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,FSTPP I & II,BRBCL,KHSTPP-I,TALA,SASAN
1,00:00-00:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,11.922267,2.324,0,49.68,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

2,00:15-00:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,11.922267,2.324,0,49.68,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

3,00:30-00:45,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,11.922267,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

4,00:45-01:00,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,11.922267,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

5,01:00-01:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,4.4835,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

6,01:15-01:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,24.75168,0,0,4.4835,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

7,01:30-01:45,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,12.1068,0,0,4.4835,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

8,01:45-02:00,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,0,52.029,0,26.39091,123.665625,136.875,0,0,0,0,12.1068,0,0,4.4835,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

9,02:00-02:15,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,18.94,52.029,0,26.39091,123.665625,136.875,0,0,0,0,12.1068,0,0,11.922267,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

10,02:15-02:30,341.564563,16.478852,0,0,0,42.392196,0,653.1525,118.125,8.874,0,0,92,21.82362,0,0.5739,18.94,52.029,0,26.39091,123.665625,136.875,0,0,0,0,12.1068,0,0,11.922267,2.324,0,6.624,0,0,43.05,0,0,0,22.468,45.484,0,0,46.4808,23.892,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,20.73185,20.0018,45.2215,0,346.5

