Block,Time,NNTPP,SINGRAULI_HYDRO,TALST2,TANAKPUR,UNCHAHAR1,AURY_LF,DADRI_GF,CHAMERA3,KGSU1AND2,KISHANGANGA,KUDGI,NJPC,SALAL,SINGRAULI,TEHRI,UNCHAHAR3,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,RIHAND2,SIMHST2,URI2,ANTA_RF,AURY_CRF,BSIUL,DULHASTI,JHAJJAR,RSTPSU1TO6,TelanganaSTPP,ANTA_CRF,DADRT2,DHAULIGNGA,KOLDAM,NLCIIST1,RIHAND3,SIMHST1,UNCHAHAR2,URI,VALLURNTECL,AURY_RF,DADRI_LF,NLCEXP,NLCTS2EXP,PARBATI3,RAPPC,RSTPSU7,TANDA2,BRBCL,CHAMERA1,CHAMERA2,RAPPB,SEWA2,TALA,UNCHAHAR4,ANTA_GF,ANTA_LF,DADRI_CRF,DADRI_RF,FSTPP I & II,KKNPPU2,KOTESHWR,MAPS,NAPP,NLCIIST2,NTPL,RAMPUR,RIHAND1,SASAN,AURY_GF
1,00:00-00:15,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

2,00:15-00:30,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

3,00:30-00:45,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

4,00:45-01:00,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

5,01:00-01:15,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

6,01:15-01:30,0,0,0,7.81,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

7,01:30-01:45,0,0,0,2.31,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

8,01:45-02:00,0,0,0,2.05,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

9,02:00-02:15,0,0,0,2.05,10.27,0,0,0,0,0,0,0,1.4,125.96,0,26.39,0,33.69,148.3,0,118.75,0,4.31,44.83,0,0,16.48,654.3,0,0,0,683.14,0,0,0,124.32,0,42.39,1.11,0,56.04,23.57,0,0,0,53.93,0,0,20,0,0,0,0,0,0,0,0,0,69.05,20.8,0,8.88,0,44.21,0,0,0,92,418.77,0

