Block,Time,DADRT2,KHSTPP-II,KOLDAM,PARBATI3,RAMPUR,RAPPB,RSTPSU7,SIMHST1,TALST2,ANTA_GF,BSIUL,CHAMERA2,JHAJJAR,KGSU1AND2,NLCIIST2,SIMHST2,TEHRI,DULHASTI,SEWA2,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR3,URI,ANTA_CRF,KUDGI,NLCEXP,NTPL,RIHAND1,RSTPSU1TO6,TelanganaSTPP,VALLURNTECL,AURY_GF,RIHAND3,SASAN,TANAKPUR,AURY_CRF,DADRI_RF,BRBCL,CHAMERA1,FSTPP I & II,KHSTPP-I,NJPC,NLCIIST1,UNCHAHAR4,AURY_LF,DHAULIGNGA,KISHANGANGA,KKNPPU2,NAPP,NLCTS2EXP,NNTPP,RAPPC,SALAL,SINGRAULI,TALA,ANTA_LF,AURY_RF,DADRI_CRF,CHAMERA3,KGSU3AND4,KKNP,KOTESHWR,MAPS,RIHAND2,TANDA2,UNCHAHAR1,URI2,ANTA_RF,DADRI_GF,DADRI_LF
1,00:00-00:15,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,26.49,0,0,0,0,46,0,0,0,0,124.32,418.77,8.33,0,67.95,20,0,15.42,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

2,00:15-00:30,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,26.49,0,0,0,0,46,0,0,0,0,124.32,418.77,8.33,0,67.95,20,0,16.81,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

3,00:30-00:45,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,26.49,0,0,0,0,46,0,0,0,0,124.32,418.77,8.33,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

4,00:45-01:00,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,3.31,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

5,01:00-01:15,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

6,01:15-01:30,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,16.48,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

7,01:30-01:45,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,0,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

8,01:45-02:00,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,0,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,28.88,0,22.47

9,02:00-02:15,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,0,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,29.09,0,22.47

10,02:15-02:30,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,0,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,3.85,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,4.44,29.09,0,22.47

11,02:30-02:45,683.14,98.87,0,0,0,0,0,0,0,0,0,0,654.31,0,0,0,0,0,0,0,21.19,26.39,1.66,0,0,0,0,46,0,0,0,0,124.32,418.77,8.33,0,67.95,20,0,18.2,45.22,0,0,0,0,0,0,0,43.57,0,0,53.55,1.4,112.24,0,0,70.59,0,0,0,0,8.87,0,118.76,0,20.56,18.83,29.09,0,22.47

