Block,Time,DADRT2,KOTESHWR,TelanganaSTPP,CHAMERA2,KHSTPP-II,KISHANGANGA,KUDGI,MAPS,RAMPUR,VALLURNTECL,AURY_RF,BSIUL,JHAJJAR,KGSU3AND4,KKNPPU2,RIHAND2,RIHAND3,UNCHAHAR4,URI,ANTA_GF,ANTA_LF,CHAMERA3,NJPC,NLCIIST1,RIHAND1,SASAN,SIMHST2,SINGRAULI_HYDRO,TALA,TANDA2,TEHRI,ANTA_RF,DADRI_CRF,BRBCL,DULHASTI,KGSU1AND2,KHSTPP-I,KKNP,NLCTS2EXP,RAPPB,RSTPSU1TO6,RSTPSU7,SINGRAULI,TALST2,DADRI_LF,CHAMERA1,DHAULIGNGA,FSTPP I & II,KOLDAM,NTPL,PARBATI3,UNCHAHAR1,UNCHAHAR2,AURY_LF,DADRI_RF,NAPP,RAPPC,SALAL,UNCHAHAR3,AURY_GF,DADRI_GF,NLCEXP,NLCIIST2,NNTPP,SEWA2,SIMHST1,TANAKPUR,URI2,ANTA_CRF,AURY_CRF
1,00:00-00:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.35,70.59

2,00:15-00:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.35,70.59

3,00:30-00:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.35,70.59

4,00:45-01:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.35,70.59

5,01:00-01:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.35,70.59

6,01:15-01:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

7,01:30-01:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

8,01:45-02:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

9,02:00-02:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

10,02:15-02:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.45,70.59

11,02:30-02:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.45,70.59

12,02:45-03:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

13,03:00-03:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

14,03:15-03:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

15,03:30-03:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

16,03:45-04:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

17,04:00-04:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

18,04:15-04:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.45,70.59

19,04:30-04:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,8.33,4.44,30.45,70.59

20,04:45-05:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

21,05:00-05:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,0,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

22,05:15-05:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,0,0,92,418.77,0,0,0,0,15.56,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

23,05:30-05:45,683.14,17.75,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,20.83,0,92,418.77,0,0,0,0,31.12,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,9.29,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

24,05:45-06:00,683.14,17.75,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,42.61,0,92,418.77,0,0,0,0,46.68,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,0,0,2.69,4.44,30.45,70.59

25,06:00-06:15,683.14,26.63,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,0,66.29,0,92,418.77,0,0,0,0,62.24,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,3.82,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,0,0,6.27,4.44,30.45,70.59

26,06:15-06:30,683.14,26.63,0,3.33,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,9.67,89.96,0,92,418.77,0,0,0,0,62.24,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,8.06,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,0,0,6.27,4.44,30.45,70.59

27,06:30-06:45,683.14,39.83,0,8,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,29.07,113.64,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,15.98,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,5.27,0,0,4.44,30.45,70.59

28,06:45-07:00,683.14,39.83,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.33,0,0,29.07,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,15.98,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,5.27,0,0,4.44,30.45,70.59

29,07:00-07:15,682.79,39.83,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,26.49,0,0,29.07,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,31.97,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,41.83,26.39,0,0,0,0,0,5.27,0,0,4.44,30.45,70.59

30,07:15-07:30,682.79,39.83,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,26.49,0,0,29.07,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,36.55,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,9.29,26.39,0,0,0,0,0,5.27,0,0,4.44,30.45,70.59

31,07:30-07:45,682.79,39.83,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,26.49,0,0,29.07,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,36.55,11.7,0,0,16.55,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,5.27,0,0.25,4.44,30.45,70.59

32,07:45-08:00,682.79,39.83,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,3.31,0,0,29.07,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,36.55,11.7,0,0,3.56,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,5.27,0,0.25,4.44,30.45,70.59

33,08:00-08:15,682.79,26.63,0,39.51,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,1.91,140.35,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,14.05,36.55,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,4.44,30.03,70.59

34,08:15-08:30,682.79,17.75,0,8,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,113.64,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,13.99,15.98,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,4.44,30.03,70.59

35,08:30-08:45,682.79,17.75,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,89.96,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,13.99,8.06,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,4.44,30.03,70.59

36,08:45-09:00,682.79,17.75,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,68.18,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,6.27,4.44,30.03,70.59

37,09:00-09:15,682.79,8.88,0,0,98.87,0,0,0,0,0,0,0,624.8,0,0,118.75,124.32,0,26.49,0,0,0,42.61,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,6.27,4.44,30.03,70.59

38,09:15-09:30,682.79,8.88,0,0,98.87,0,0,0,0,0,0,0,624.8,0,0,118.75,124.32,0,26.49,0,0,0,23.67,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,6.27,4.44,30.03,70.59

39,09:30-09:45,682.79,8.88,0,0,98.87,0,0,0,0,0,0,0,604.8,0,0,118.75,124.32,0,26.49,0,0,0,23.67,0,92,418.77,0,0,0,0,62.24,0,64.12,15,32.95,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,18.83,30.03,70.59

40,09:45-10:00,668.71,8.88,0,0,98.87,0,0,0,0,0,0,0,604.8,0,0,118.75,124.32,0,3.31,0,0,0,0,0,92,418.77,0,0,0,0,62.24,0,64.12,15,16.48,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,18.83,30.03,70.59

41,10:00-10:15,628.72,8.88,0,0,98.87,0,0,0,0,0,0,0,604.8,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,46.68,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.31,18.83,29.82,70.59

42,10:15-10:30,578.63,8.88,0,0,98.87,0,0,0,0,0,0,0,574.8,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,31.12,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,2.31,18.83,29.82,70.59

43,10:30-10:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,15.56,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,10.76,29.82,70.59

44,10:45-11:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,0.25,10.76,29.82,70.59

45,11:00-11:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

46,11:15-11:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

47,11:30-11:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

48,11:45-12:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.66,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

49,12:00-12:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,4.41,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

50,12:15-12:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,4.41,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,29.29,70.59

51,12:30-12:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.11,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,28.87,70.59

52,12:45-13:00,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.11,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,12.78,26.39,0,0,0,0,0,0,0,1.15,4.44,28.87,70.59

53,13:00-13:15,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.11,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,1.15,4.44,28.87,70.59

54,13:15-13:30,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.11,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,1.15,4.44,28.87,70.59

55,13:30-13:45,683.14,8.88,0,0,98.87,0,0,0,0,0,0,0,654.3,0,0,118.75,124.32,0,1.11,0,0,0,0,0,92,348.98,0,0,0,0,0,0,64.12,15,0,0,45.22,0,0,0,0,0,125.96,0,23.57,0,0,11.7,0,0,0,20.56,42.39,0,5.48,43.46,53.3,1.4,26.39,0,0,0,0,0,0,0,1.15,4.44,28.87,70.59

