Column1,Block,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1333,NR/2025/26178/C,NR/2025/26179/C,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/2025/26181/C,NR/2025/26176/C,NR/2025/26173/C,NR/2025/26175/C,NR/2025/26180/C,NR/2025/26177/C,NR/2025/26085/A/67178,NR/2025/25945/A/67273,NR/2025/25955/A/67269,WR/2025/27361/A/67284,WR/2025/27350/A/66787,NR/2025/26170/C,NR/2025/26172/C,NR/2025/26155/C,NR/2025/26031/A/66840,NR/2025/25947/A/67272,NR/2025/25948/A/67270,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/4327,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,NR/2025/26171/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66733,Total
,,IEXL,PowerPulse,IEXL,IEXL,IEXL,IEXL,HPXL,IEXL,IEXL,HPXL,HPXL,HPXL,IEXL,HPXL,ITCLH,APPCPL,APPCPL,APPCPL,KEIPL,IEXL,HPXL,TPDDL,DIAPL,APPCPL,APPCPL,PUNJAB,NDMC,NDMC,IEXL,DELHI,BAWANA_GAS,HPXL,IEXL,IEXL,APPCPL,HPXL,IVPL_Trader,PXIL,HPXL,HPXL,SECI_Trader,IEXL,
,,NA,NA,SIKKIM_STATE,SIKKIM_STATE,GoHP_Bairasuil_STATE,GoHP_Chamera3_STATE,NA,SIKKIM_STATE,GoHP_PARBATI2_STATE,HIMACHAL_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,GoHP_Chamera2_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,NA,NA,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,CSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,UTTARPRADESH_STATE,NA,NA,NA,NA,
,,JPNIGRIE_JNSTPP,APL_Raipur_TPP,Kalez_Khola_HEP,RCHEP,GoHP_Bairasuil,GoHP_Chamera3,SIMHAPURI,MEYONGCHU_HEP,GoHP_PARBATI2,GSHEPL_HP,TADASWIND_KAR,TADASWIND,GoHP_Chamera2,GHPPL_HP,ITCWIND,RKM_POWER,JIPL,BYPL,BYPL,SINGOLI,GTHEPL_HP,JHAJJAR,GBHHPL,RKM_POWER,TRN_ENERGY,BAWANA_GAS,JPL2,SKS_Raigarh,LLHEP1234,CHANJUII,BAWANA_GAS,MSPLTD,KGEPL_HP,RHPPL_HP,BYPL,JPL,BYPL,LAPL_UP,JPL2,HIRIYUR_OSTROKANNADA,APSEPL_FTG,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,BYPL,BYPL,BYPL,BYPL,BYPL,BYPL,ITCLH,NDMC,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,BYPL,BYPL,TPDDL,DIAPL,NDMC,NDMC,PUNJAB,NDMC,NDMC,BRPL,TPDDL,HARYANA,BRPL,BRPL,BRPL,KSEB,BRPL,TPC_MSEB,BRPL,BRPL,BYPL,TPDDL,MES_Delhi,
,,West-North,West-North,East-North,East-North,North-North,North-North,South-East-North,East-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,South-West-North,West-North,East-North,North-West,North-West,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,East-North,North-North,North-North,West-North,North-North,North-North,North-West-South,West-North,North-West,North-North,West-North,South-West-North,North-North,North-North,
1,00:00-00:15,19.23,96.15,2.88,2.88,20.48,18.94,21.63,2.88,22.5,4.13,12.79,4.42,34.13,4.62,0.48,43.7,28.97,24.04,0,2.88,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.95,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,16.06,0,0,1069.3700000000001

2,00:15-00:30,19.23,96.15,2.88,2.88,20.48,18.94,21.63,2.88,22.5,4.13,12.31,6.15,34.13,4.62,0.48,43.7,28.97,24.04,0,2.88,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.95,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,16.63,0,0,1071.1900000000005

3,00:30-00:45,19.23,96.15,2.88,2.88,20.48,18.94,14.42,2.88,22.5,4.13,12.21,5.96,34.13,4.62,0.48,43.7,28.97,24.04,0,2.88,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.95,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,17.31,0,0,1064.3700000000003

4,00:45-01:00,19.23,96.15,2.88,2.88,20.48,18.94,14.42,2.88,22.5,4.13,12.21,5.77,34.13,4.62,0.48,43.7,28.97,24.04,0,2.88,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.95,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,17.98,0,0,1064.8500000000004

5,01:00-01:15,19.23,96.15,2.88,2.88,20.48,18.94,14.42,2.88,22.5,4.13,12.31,5.48,22.79,4.62,0.48,43.7,28.97,24.04,0,26.92,2.21,213.45,3.85,43.7,14.57,32,43.7,14.57,9.62,9.86,32,9.62,9.62,1.92,52.5,72.11,0,48.08,72.11,18.27,0,0,1077.5600000000002

