Column1,Block,NR/2024/22265/C,NR/2024/22274/C,NR/2024/22275/C,NR/2024/22278/C,NR/2024/22052/A/30471,NR/2024/22273/C,NR/2024/22058/A/30474,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/2024/22014/A/30424,NR/01082024/31082024/SKS-Raigarh,NR/2024/21860/A/30720,NR/2024/21966/A/30439,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21968/A/30744,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/30703,NR/2024/21983/A/30435,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22081/A/30719,NR/2024/21814/A/30756,NR/2024/22042/A/30423,NR/2024/21970/A/30746,NR/2024/21974/A/30749,NR/2024/21961/A/30660,NR/2024/21938/A/30661,NR/2024/21971/A/30748,NR/2024/22010/A/30747,NR/2024/21956/A/30706,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,DD20240805NR26059,NR/2024/21909/A/30640,NR/2024/21943/A/30702,NR/2024/22228/A/30696,NR/2024/21918/A/30707,NR/2024/21940/A/30704,NR/2024/22080/A/30317,NR/01082024/15082024/APL-Raigarh,NR/2024/21658/A/30406,NR/2024/22277/C,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,Total
,,APPCPL,NVVNL,NVVNL,PXIL,SJVNL,NVVNL,SJVNL,SECI_Trader,SECI_Trader,BAWANA_GAS,IEXL,DELHI,TPDDL,INSTINCT,DELHI,NVVNL,DELHI,APPCPL,TPTCL,INSTINCT,TPTCL,TPDDL,NVVNL,IEXL,NVVNL,NVVNL,PTC,PTC,NVVNL,MANIKARAN,APPCPL,APPCPL,PXIL,AEL,APPCPL,APPCPL,MANIKARAN,APPCPL,DIAPL,AEL,ITCLH,SJVNL,JITPL,PUNJAB,
,,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,MSEB_State,NA,HIMACHAL_STATE,Manipur_State,NA,NA,NA,NA,NA,MSEB_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,GOA_State,KERALA_State,Arunachal_State,NA,NA,MSEB_State,TAMILNADU_State,MSEB_State,UTTARAKHAND_STATE,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,NA,DELHI_UT,
,,KSEB,SORANG_HEP,Kameng,SKS_Raigarh,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,SBSRPC11PL_BKN,SBSRPC11PL_BKN,BAWANA_GAS,NHCPL_HP,SKS_Raigarh,JPL2,JPL2,MSEB_Beneficiary,JPL2,CHANJUII,Manipur_Ben,SIMHAPURI,JPL2,SIMHAPURI,JHAJJAR,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,TRN_ENERGY,RKM_POWER,HP,HP,RKM_POWER,GOA_Beneficiary,KSEB,Arunachal_Ben,SKS_Raigarh,APL_Raigarh_TPP,AEML,TANGEDCO,AEML,UTTARAKHAND,GBHHPL,APL_Raigarh_TPP,ITCWIND,TPSL_BKN2,JITPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,BYPL,TPDDL,TPDDL,BRPL,NDMC,MES_Delhi,NDMC,BYPL,TPDDL,HARYANA,MES_Delhi,NDMC,TPDDL,BRPL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,MES_Delhi,NDMC,NDMC,BRPL,BYPL,NDMC,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BYPL,DIAPL,BRPL,ITCLH,NDMC,NDMC,PUNJAB,
,,South-West-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,South-East-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,South-West-North,North-North,East-North,North-North,
1,00:00-00:15,98.5,27.92,163.93,96.29,0,0,0,0,0,32,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,32,1812.3300000000002

2,00:15-00:30,110.24,27.92,163.93,96.29,0,0,0,0,0,32,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,32,1824.0700000000002

3,00:30-00:45,132.39,27.92,163.93,96.29,0,0,0,0,0,32,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,32,1846.22

4,00:45-01:00,128.42,27.92,163.93,96.29,0,0,0,0,0,32,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,32,1842.2500000000002

5,01:00-01:15,108.31,27.92,163.93,96.29,0,0,0,0,0,23.1255,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,23.1255,1804.1510000000005

6,01:15-01:30,86,27.92,163.93,96.29,0,0,0,0,0,23.1255,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,23.1255,1781.8410000000006

7,01:30-01:45,65.35,27.92,163.93,96.29,0,0,0,0,0,23.1255,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,23.1255,1761.1910000000005

8,01:45-02:00,61.06,27.92,163.93,96.29,0,0,0,0,0,23.1255,1.93,12.4,48.14,0,0,37.2,11.77,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,23.1255,1756.9010000000005

9,02:00-02:15,57.49,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,0,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,26.3026,1569.8552000000004

10,02:15-02:30,54.06,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,0,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,26.3026,1566.4252000000004

11,02:30-02:45,42.62,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,0,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,26.3026,1554.9852000000003

12,02:45-03:00,39.97,27.92,163.93,0,0,0,0,0,0,26.3026,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,11.69,67.4,38.52,0,0,38.52,0,90.51,83.95,9.63,192.58,0.63,0,12.16,26.3026,1552.3352000000002

