Column1,Block,NR/2025/32652/A/94894,NR/2025/32653/A/94892,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/95180,NR/2025/32535/A/95181,NR/2025/32532/A/95175,NR/2025/32599/A/95169,NR/2025/32532/A/95176,NR/2025/33126/C,NR/2025/32534/A/95178,NR/2025/32535/A/95182,NR/2025/32857/A/94880,NR/30092023/31122025/SH-07,NR/2025/33221/C,NR/2025/33091/C,NR/2025/32375/A/95231,NR/2025/33137/C,NR/2025/32397/A/94748,NR/2025/32598/A/95221,NR/2025/32702/A/94845,NR/2025/32556/A/95243,NR/2025/33140/C,NR/2025/32262/A/94769,NR/2025/32455/A/95250,NR/2025/33127/C,NR/2025/33095/C,NR/2025/33129/C,NR/2025/33096/C,NR/2025/32559/A/95242,NR/2025/31046/A/95149,NR/2025/33130/C,NR/2025/33044/C,NR/2025/32610/A/95239,NR/2025/32004/A/95247,NR/2025/29440/A/94737,NR/2025/33145/C,NR/2025/31047/A/95150,NR/2025/32554/A/95141,NR/2025/31041/A/95147,NR/2025/33131/C,NR/2025/31421/A/95235,NR/2025/31042/A/95148,NR/2025/29992/A/95064,GNA/NR/2025/08/01/6187,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,Total
,,GMRETL,GMRETL,SECI_Trader,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,BRPL,ABLWM1_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,GMRETL,BAWANA_GAS,HPXL,PowerPulse,NVVNL,NVVNL,IEXL,PTC,DIAPL,APPCPL,NVVNL,TPTCL,MANIKARAN,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,BYPL,APPCPL,APPCPL,ITCLH,NVVNL,PowerPulse,PowerPulse,PowerPulse,APPCPL,NVVNL,PowerPulse,BYPL,NDMC,DELHI,PUNJAB,APPCPL,NDMC,MANIKARAN,MANIKARAN,MANIKARAN,MANIKARAN,NVVNL,APPCPL,NDMC,PowerPulse,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,PUNJAB_STATE,NA,MP_State,NA,MSEB_State,GoHP_NJPC_STATE,HIMACHAL_STATE,NA,MP_State,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,NA,NA,KERALA_State,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,KERALA_State,NA,HIMACHAL_STATE,DELHI_UT,GOA_State,NA,NA,MP_State,NA,MSEB_State,NA,GOA_State,NA,MSEB_State,
,,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TS1PL_BKN,TESPL_BKN2,NTPCREL_PSS2_KPS2_S,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,BAWANA_GAS,PSPCL,APL_Raipur_TPP,JP_BINA,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,GoHP_NJPC,GBHHPL,JPL2,JP_BINA,TPC_MSEB,MBMP,AEML,MAHAN_ENERGEN,RKM_POWER,APL_Raigarh_TPP,RKM_POWER,APL_Raigarh_TPP,JPL2,KSEB,RKM_POWER,AEML,ITCWIND,Kameng,APL_Raigarh_TPP,APL_Raipur_TPP,MAHAN_ENERGEN,RKM_POWER,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,KSEB,JIPL,CHANJUII,BAWANA_GAS,GOA_Beneficiary,SKS_Raigarh,DBPL,BLAPOWER_MP,MBMP,AEML,JHABUA_IPP,GOA_Beneficiary,TRN_ENERGY,Vidarbha_Industry_MH,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BLKMH,DTCP,TPDDL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,BRPL,ABLWM1_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MAX_HPTL,HARYANA,BYPL,BRPL,TPDDL,TPDDL,MES_Delhi,BRPL,DIAPL,NDMC,TPDDL,BYPL,BRPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,TPDDL,NDMC,BYPL,NDMC,BYPL,ITCLH,TPDDL,TPDDL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,NDMC,TPDDL,PUNJAB,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.86,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1431.68

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,8.64,81.58,12.48,26.17,0,53.99,47.99,0,0,0,0,26.17,95.98,0,0,26.17,105.58,0.86,191.96,0,163.17,95.98,0,47.99,0,44.15,28.86,14.51,30.5,19.2,14.54,40.79,20.4,33.59,20.71,20.4,15.21,14.54,81.58,1431.68

