Block,Time,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,SALAL,SEWA2,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,URI,URI2,TANAKPUR,TANDA2,TEHRI,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DULHASTI,KOTESHWR,NAPP,NJPC,PARBATI3,RAMPUR,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOLDAM,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,FSTPP I & II,BRBCL,TALA,KHSTPP-II,SASAN
1,00:00-00:15,0,54.0594,92,118.125,123.665626,2.324,0,123.375,0.59303,20.556,42.392196,26.39091,0,39.744,24.75168,8.3265,0,0,0,0,0,0,16.478852,0,0,0,0,0,683.129127,0,435.435,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,339.75

2,00:15-00:30,0,54.0594,92,118.125,123.665626,2.324,0,123.375,0.59303,20.556,42.392196,26.39091,0,39.744,24.75168,8.3265,0,0,0,0,0,0,16.478852,0,0,0,0,0,683.129127,0,435.435,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,339.75

3,00:30-00:45,0,54.0594,92,118.125,123.665626,15.106,0,123.375,0.59303,20.556,42.392196,26.39091,0,8.832,24.75168,8.3265,0,0,0,0,0,0,0,0,0,0,0,0,683.129127,0,435.435,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,339.75

4,00:45-01:00,0,54.0594,92,118.125,123.665626,70.882,0,123.375,0.59303,20.556,42.392196,26.39091,0,5.52,24.75168,8.3265,0,0,0,0,0,0,0,0,0,0,0,0,683.129127,0,435.435,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,339.75

5,01:00-01:15,0,54.0594,92,118.125,123.665626,70.882,0,123.375,0.59303,20.556,42.392196,26.39091,0,5.52,24.75168,8.3265,0,0,0,0,0,0,0,0,0,0,0,0,683.129127,0,435.435,0,0,0,0,0,32.55,0,0,0,54.6258,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,339.75

