Block,Time,KHSTPP-I,BRBCL,KHSTPP-II,SASAN,TALA,FSTPP I & II,KOLDAM,UNCHAHAR2,RAPPB,DHAULIGNGA,RAMPUR,RAPPC,PARBATI3,TANAKPUR,UNCHAHAR4,NAPP,KISHANGANGA,DADRI_CRF,SINGRAULI,AURY_GF,CHAMERA3,AURY_LF,KOTESHWR,ANTA_RF,ANTA_GF,DADRI_LF,NJPC,TANDA2,SALAL,ANTA_LF,AURY_RF,TEHRI,UNCHAHAR1,RIHAND2,ANTA_CRF,BSIUL,DULHASTI,URI,RIHAND1,JHAJJAR,CHAMERA2,CHAMERA1,SEWA2,RIHAND3,URI2,DADRT2,DADRI_GF,AURY_CRF,DADRI_RF,UNCHAHAR3,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.794598,19.315955,143.228140,395.495100,0.000000,20.088640,8.957605,41.540700,0.000000,21.023601,6.068598,65.341319,16.209231,4.330164,1.651518,46.164463,8.055401,0.000000,106.554244,0.000000,33.640024,0.000000,0.000000,0.000000,0.000000,0.000000,159.494160,2.846407,77.435912,0.000000,0.000000,0.000000,21.447327,120.131029,0.000000,6.297789,57.151604,31.987296,93.736630,370.335817,46.841134,40.706616,12.252116,126.114856,36.594663,661.795037,0.000000,0.000000,0.000000,26.064817,1.045839,0,0,0,0,0

2,00:15-00:30,42.794598,19.315955,143.228140,395.495100,0.000000,20.088640,8.957605,41.540700,0.000000,21.023601,6.068598,65.341319,16.209231,4.330164,1.651518,46.164463,8.055401,0.000000,106.554244,0.000000,33.640024,0.000000,0.000000,0.000000,0.000000,0.000000,159.494160,2.846407,77.435912,0.000000,0.000000,0.000000,21.447327,120.131029,0.000000,6.297789,57.151604,31.987296,93.736630,351.019817,46.841134,40.706616,12.252116,126.114856,36.594663,661.795037,0.000000,0.000000,0.000000,26.064817,1.045839,0,0,0,0,0

3,00:30-00:45,42.794598,18.918617,143.228140,395.495100,0.000000,20.088640,8.957605,41.540700,0.000000,21.023601,6.068598,65.341319,16.209231,4.330164,1.651518,46.164463,8.055401,0.000000,106.554244,0.000000,33.640024,0.000000,0.000000,0.000000,0.000000,0.000000,159.494160,2.846407,77.435912,0.000000,0.000000,0.000000,21.447327,120.131029,0.000000,6.297789,57.151604,31.987296,93.736630,351.019817,46.841134,40.706616,12.252116,126.114856,36.594663,661.795037,0.000000,0.000000,0.000000,26.064817,1.045839,0,0,0,0,0

4,00:45-01:00,42.794598,18.706737,143.228140,395.495100,0.000000,20.088640,8.957605,41.540700,0.000000,21.023601,6.068598,65.341319,16.209231,4.330164,1.651518,46.164463,8.055401,0.000000,106.554244,0.000000,33.640024,0.000000,0.000000,0.000000,0.000000,0.000000,159.494160,2.846407,77.435912,0.000000,0.000000,0.000000,21.447327,120.131029,0.000000,6.297789,57.151604,31.987296,93.736630,351.019817,46.841134,40.706616,12.252116,126.114856,36.594663,661.795037,0.000000,0.000000,0.000000,26.064817,1.045839,0,0,0,0,0

5,01:00-01:15,42.794598,15.468536,143.228140,395.495100,0.000000,20.088640,8.957605,41.540700,0.000000,21.023601,6.068598,65.341319,0.000000,4.330164,1.651518,46.164463,8.055401,0.000000,106.554244,0.000000,33.640024,0.000000,0.000000,0.000000,0.000000,0.000000,159.494160,2.846407,77.435912,0.000000,0.000000,0.000000,21.447327,120.131029,0.000000,12.595577,57.151604,31.987296,93.736630,351.019817,46.841134,40.706616,12.252116,126.114856,36.594663,661.795037,0.000000,0.000000,0.000000,26.064817,1.045839,0,0,0,0,0

