Block,Time Block,JHAJJAR,FSTPP I & II,DADRI_CRF,ANTA_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DULHASTI,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,TEHRI,BSIUL,BRBCL,CHAMERA1,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TEHRIPSP,TelanganaSTPP,SASAN,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,TALST2,SALAL,SEWA2,SINGRAULI,TANAKPUR,TALA,RAPPD,RIHAND1,RIHAND2,RSTPSU7,RSTPSU1TO6,RIHAND3,MAPS,RAPPB,RAPPC,KHSTPP-II,KGSU3AND4,KISHANGANGA,KHSTPP-I,RAMPUR,PARBATI3,KOTESHWR,KOLDAM,PARBATI2,KKNPPU2,KKNP,KGSU1AND2,NNTPP,NTPL,NLCEXP,NLCIIST1,NJPC,NAPP,NLCIIST2,NLCTS2EXP,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,243.3,17.24,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,85.05,57.22,12.54,14.87,40.52,36.31,50.34,17.64,0,2.12,22.48,22.46,77.97,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

2,00:15-00:30,243.3,17.24,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,75.43,57.22,12.54,13.25,40.52,36.31,50.34,17.64,0,1.7,22.48,22.46,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

3,00:30-00:45,243.3,17.24,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,65.82,57.22,12.54,11.86,40.52,30.27,50.34,14.47,0,2.12,22.48,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

4,00:45-01:00,243.3,17.24,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,46.59,57.22,12.54,10.67,40.52,29.8,25.47,14.47,0,2.12,22.48,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

5,01:00-01:15,243.3,13.75,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,36.98,57.22,12.54,10.05,40.52,29.8,25.47,14.47,0,2.12,37.47,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,47.17,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

6,01:15-01:30,243.3,13.75,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,27.36,57.22,12.54,9.91,40.52,29.8,25.47,14.47,0,2.12,37.47,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,14.76,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,47.17,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

7,01:30-01:45,243.3,13.75,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,9.37,40.52,29.8,25.47,14.47,0,2.12,37.47,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,18.71,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,47.17,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

8,01:45-02:00,243.3,13.75,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,9.73,40.52,29.8,29.72,14.47,0,2.12,37.47,17.94,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,144.46,12.56,18.71,23.84,94.52,120.43,0,0,125.79,0,0,63.06,95.05,0,6.78,43.77,5.48,47.17,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

9,02:00-02:15,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,9.47,40.52,25.44,50.34,12.66,0,1.81,22.48,15.42,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,127.08,12.56,18.71,23.84,57.97,96.54,0,0,92.6,0,0,63.06,86.96,0,6.78,36.44,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

10,02:15-02:30,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,11.21,40.52,23.79,50.34,11.85,0,1.7,22.48,14.82,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,127.08,12.56,18.71,23.84,57.97,96.54,0,0,92.6,0,0,63.06,86.96,0,6.78,34.16,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

11,02:30-02:45,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,12.65,40.52,23.79,50.34,11.85,0,1.7,37.47,14.82,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,127.08,12.56,19.42,23.84,57.97,96.54,0,0,92.6,0,0,63.06,74.35,0,6.78,28.81,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

12,02:45-03:00,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,12.39,40.52,23.79,25.47,11.85,0,1.7,37.47,14.82,0,0,332.59,2.93,0.92,0,0,0,80.99,11.75,127.08,12.56,19.42,23.84,57.97,96.54,0,0,92.6,0,0,63.06,74.35,0,6.78,28.81,5.48,40.01,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

13,03:00-03:15,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,73.03,57.22,12.54,13.2,40.52,23.79,25.47,11.85,0,1.7,37.47,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,11.75,127.08,11.45,20.92,0,94.52,120.43,0,0,125.79,0,0,63.06,74.35,0,6.78,28.81,5.48,31.45,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

14,03:15-03:30,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,15.14,40.52,23.79,25.47,11.85,0,1.7,37.47,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,11.75,130.12,11.45,20.92,0,82.32,104.67,0,0,125.79,0,0,63.06,61.53,0,6.78,24.53,5.48,31.45,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

15,03:30-03:45,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,15.21,40.52,23.79,36.08,11.85,0,1.7,22.48,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,11.75,126.27,11.45,20.92,0,82.31,115.77,0,0,125.79,0,0,63.06,61.53,0,6.78,24.53,5.48,31.45,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

16,03:45-04:00,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,15.11,40.52,23.79,36.08,11.85,0,1.7,22.48,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,0,129.15,11.45,20.92,0,94.52,120.43,0,0,125.79,0,0,63.06,74.13,0,6.78,24.53,5.48,31.45,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

17,04:00-04:15,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,15.1,40.52,23.79,36.08,11.85,0,1.7,22.48,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,0,142.79,11.45,20.94,0,94.52,120.43,0,0,125.79,0,0,63.06,84.63,0,6.78,34.16,5.48,21.44,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

18,04:15-04:30,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,17.36,40.52,23.79,36.08,11.85,0,1.7,22.48,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,0,144.63,11.45,20.94,0,94.52,120.43,0,0,125.79,0,0,63.06,86.96,0,6.78,34.16,5.48,21.44,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

19,04:30-04:45,234.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,53.24,32.63,40.82,45.3,8.13,57.22,12.54,17.16,40.52,23.79,33.97,11.85,0,1.7,22.48,14.73,0,0,332.59,2.93,0.92,0,0,0,78.2,0,127.08,11.45,20.52,0,94.52,120.43,0,0,125.79,0,0,63.06,86.96,0,6.78,34.16,5.48,21.44,39,8.29,0,0,0,0,0,0,0,0,169,23.54,0,0,0,0,0,0,0,0

