Block,Time,SH-06,LT-36,L_NR_2012_04,LT-35,L_NR_2012_02,L_NR_2018_61,L_NR_2012_07,L_NR_2020_02,LT-31,LT-59,L_NR_2023_04,L_NR_2012_01,LT-05,SH-07,L_NR_2019_11,L_NR_2022_08,L_NR_2023_10,L_NR_2019_19,L_NR_2021_13,L_NR_2021_17,L_NR_2021_16,L_NR_2019_05,L_NR_2019_06,L_NR_2021_15,L_NR_2021_14,L_NR_2023_07,L_NR_2021_12,L_NR_2020_07,L_NR_2020_05,L_NR_2022_09,L_NR_2022_10,L_NR_2019_07,L_NR_2020_06
1,00:00-00:15,30.880000,0.000000,271.430000,0.000000,222.940000,28.06,74.000000,11.230000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.750000,26.72,0,0,0,0,0,0,0,0,0,0,0,27.05,81.18,62.86,62.86,0,27.06

2,00:15-00:30,30.880000,0.000000,271.430000,0.000000,222.940000,27.88,74.000000,11.230000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.750000,27.29,0,0,0,0,0,0,0,0,0,0,0,27.09,81.25,62.86,62.86,0,27.08

3,00:30-00:45,30.880000,0.000000,271.430000,0.000000,222.940000,27.46,74.000000,11.230000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.750000,27.81,0,0,0,0,0,0,0,0,0,0,0,27.78,83.34,72.39,72.39,0,27.78

4,00:45-01:00,30.880000,0.000000,271.430000,0.000000,222.940000,27.06,74.000000,11.230000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.750000,28.4,0,0,0,0,0,0,0,0,0,0,0,28.57,85.69,72.31,72.31,0,28.56

5,01:00-01:15,30.880000,0.000000,271.430000,0.000000,222.940000,26.66,74.000000,11.040000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.600000,28.77,0,0,0,0,0,0,0,0,0,0,0,29.11,87.31,72.22,72.22,0,29.1

6,01:15-01:30,30.880000,0.000000,271.430000,0.000000,222.940000,26.06,74.000000,11.040000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.600000,29.18,0,0,0,0,0,0,0,0,0,0,0,29.44,88.35,71.4,71.4,0,29.45

7,01:30-01:45,30.880000,0.000000,271.430000,0.000000,222.940000,25.66,74.000000,11.040000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.600000,29.58,0,0,0,0,0,0,0,0,0,0,0,29.52,88.58,70.87,70.87,0,29.53

8,01:45-02:00,30.880000,0.000000,271.430000,0.000000,222.940000,24.86,74.000000,11.040000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.600000,29.94,0,0,0,0,0,0,0,0,0,0,0,29.69,89.04,70.17,70.17,0,29.68

9,02:00-02:15,30.880000,0.000000,271.430000,0.000000,222.940000,23.86,74.000000,10.860000,0.000000,10.330000,31.590000,101.090000,115.820000,30.880000,10.600000,35.14,0,0,0,0,0,0,0,0,0,0,0,34.66,103.98,73.33,73.33,0,34.66

10,02:15-02:30,30.880000,0.000000,271.430000,0.000000,222.940000,23.23,74.000000,10.860000,0.000000,10.330000,30.620000,101.090000,115.820000,30.880000,10.600000,34.44,0,0,0,0,0,0,0,0,0,0,0,34.33,102.99,73.33,73.33,0,34.33

11,02:30-02:45,29.950000,0.000000,271.430000,0.000000,222.940000,21.56,74.000000,10.860000,0.000000,10.330000,30.620000,101.090000,115.820000,29.950000,10.600000,33.23,0,0,0,0,0,0,0,0,0,0,0,33.46,100.36,73.33,73.33,0,33.45

12,02:45-03:00,29.950000,0.000000,271.430000,0.000000,222.940000,21.67,74.000000,10.860000,0.000000,10.330000,31.590000,101.090000,115.820000,29.950000,10.600000,32.22,0,0,0,0,0,0,0,0,0,0,0,32.71,98.15,73.33,73.33,0,32.72

13,03:00-03:15,30.430000,0.000000,271.430000,0.000000,222.940000,20.96,74.000000,10.670000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,30.84,0,0,0,0,0,0,0,0,0,0,0,32.03,96.11,73.33,73.33,0,32.04

14,03:15-03:30,30.430000,0.000000,271.430000,0.000000,222.940000,20.73,74.000000,10.670000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,29.62,0,0,0,0,0,0,0,0,0,0,0,31.41,94.24,73.33,73.33,0,31.41

15,03:30-03:45,30.430000,0.000000,271.430000,0.000000,222.940000,19.79,74.000000,10.670000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,22.99,0,0,0,0,0,0,0,0,0,0,0,30.59,91.79,73.33,73.33,0,30.6

16,03:45-04:00,30.430000,0.000000,271.430000,0.000000,222.940000,18.75,74.000000,10.670000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,21.93,0,0,0,0,0,0,0,0,0,0,0,29.56,88.65,73.33,73.33,0,29.55

17,04:00-04:15,30.430000,0.000000,271.430000,0.000000,222.940000,16.5,74.000000,10.490000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,21.76,0,0,0,0,0,0,0,0,0,0,0,29.43,88.29,73.33,73.33,0,29.43

18,04:15-04:30,30.430000,0.000000,271.430000,0.000000,222.940000,15.53,74.000000,10.490000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,21.53,0,0,0,0,0,0,0,0,0,0,0,29.39,88.19,73.33,73.33,0,29.4

19,04:30-04:45,30.430000,0.000000,271.430000,0.000000,222.940000,13.94,74.000000,10.490000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,21.23,0,0,0,0,0,0,0,0,0,0,0,29.3,87.93,56.94,56.94,0,29.31

20,04:45-05:00,30.430000,0.000000,271.430000,0.000000,222.940000,13.06,74.000000,10.490000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.440000,20.89,0,0,0,0,0,0,0,0,0,0,0,28.85,86.53,56.89,56.89,0,28.84

21,05:00-05:15,30.430000,0.000000,271.430000,0.000000,222.940000,12.58,55.980000,10.300000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.370000,20.88,0,0,0,0,0,0,0,0,0,0,0,26.25,78.78,56.96,56.96,0,26.26

22,05:15-05:30,30.430000,0.000000,271.430000,0.000000,222.940000,11.88,55.980000,10.300000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.370000,20.97,0,0,0,0,0,0,0,0,0,0,0,26.79,80.35,57.1,57.1,0,26.78

23,05:30-05:45,30.430000,0.000000,271.430000,0.000000,222.940000,28.41,55.980000,10.300000,0.000000,10.330000,31.540000,101.090000,115.820000,30.430000,10.370000,21.25,0,0,0,0,0,0,0,0,0,0,0,27.57,82.74,58.71,58.71,0,27.58

24,05:45-06:00,30.430000,0.000000,271.430000,0.000000,222.940000,27.85,55.980000,10.300000,0.000000,10.330000,31.590000,101.090000,115.820000,30.430000,10.370000,21.62,0,0.078016,0,0.33,0.67,0,0,0,0.18,0,0.02,28.11,84.35,73.33,73.33,0,28.12

25,06:00-06:15,29.950000,0.040000,271.430000,0.040000,222.940000,27.04,55.980000,10.110000,0.040000,10.330000,31.590000,101.090000,115.820000,29.950000,10.370000,21.73,0.13,1.7066,0.01,1,2,4.32,4.05,0,1.66,0.29,0.05,28.98,86.94,73.33,73.33,1.88,28.98

26,06:15-06:30,29.950000,0.150000,271.430000,0.140000,222.940000,26.38,55.980000,10.110000,0.140000,10.330000,31.590000,101.090000,115.820000,29.950000,10.370000,21.57,1.1,4.515176,0.09,1.67,3.33,8.64,8.8,0.32,3.79,2.57,0.43,30.18,90.52,73.33,73.33,6.66,30.17

27,06:30-06:45,29.950000,0.330000,271.430000,0.330000,222.940000,26.35,55.980000,10.110000,0.330000,10.330000,31.540000,101.090000,115.820000,29.950000,10.370000,21.94,3.11,7.548048,0.92,2,4,15.55,14.96,0.97,6.53,7.25,4.59,25.03,75.14,73.33,73.33,10.45,25.05

28,06:45-07:00,29.950000,0.600000,271.430000,0.580000,222.940000,26.49,55.980000,10.110000,0.580000,10.330000,31.590000,101.090000,115.820000,29.950000,10.370000,21.96,5.85,11.429344,2.2,3,6,24.19,27.91,2.25,7.23,13.66,11,24.4,73.2,73.33,73.33,20.45,24.4

29,07:00-07:15,29.950000,0.940000,271.430000,0.920000,222.940000,26.63,55.980000,9.930000,0.920000,10.330000,31.590000,101.090000,115.820000,29.950000,10.370000,22.24,9.46,15.817744,3.79,4.33,8.67,29.15,29.15,4.23,10.33,22.08,18.93,24.55,73.62,73.33,73.33,29.15,24.54

30,07:15-07:30,29.950000,1.360000,271.430000,1.320000,222.940000,27.43,55.980000,9.930000,1.320000,10.330000,30.620000,101.090000,115.820000,29.950000,10.370000,22.53,13.79,20.206144,5.76,4.67,9.33,29.49,29.48,6.94,14.43,32.19,28.81,24.9,74.69,73.33,73.33,29.48,24.9

31,07:30-07:45,29.950000,1.840000,271.430000,1.800000,175.320000,28.69,55.980000,9.930000,1.800000,10.330000,30.660000,101.090000,115.820000,29.950000,10.370000,17.12,18.67,25.423464,8.09,5.33,10.67,30.66,30.67,10.28,16.1,43.57,40.45,25.5,76.51,73.33,73.33,30.67,25.51

32,07:45:08:00,29.950000,2.410000,271.430000,2.350000,175.320000,29.88,55.980000,9.930000,2.350000,10.330000,30.660000,101.090000,115.820000,29.950000,10.370000,17.16,21,31.216152,10.84,5.67,11.33,30.84,30.83,14.07,21.6,49,54.2,26.59,79.79,73.33,73.33,30.83,26.6

33,08:00-08:15,29.950000,3.470000,271.430000,3.390000,175.320000,35.87,55.980000,9.930000,3.390000,10.330000,30.660000,101.090000,115.820000,29.950000,10.370000,17.76,25.5,36.657768,13.77,9,18,32.34,32.33,18.08,27.43,59.5,68.85,28.96,86.83,66.42,66.42,32.33,28.94

34,08:15-08:30,29.950000,4.350000,271.430000,4.250000,175.320000,36.74,55.980000,9.930000,4.250000,10.330000,30.660000,101.090000,115.820000,29.950000,10.370000,18.32,30,41.797072,16.86,11,22.01,32.34,32.33,22.01,33.37,70,84.32,29.66,89.03,66.48,66.48,32.33,29.68

35,08:30-08:45,30.880000,5.620000,271.430000,5.480000,175.320000,37.69,55.980000,9.930000,5.480000,10.330000,30.660000,101.090000,115.820000,30.880000,10.370000,18.85,34.5,47.316704,19.89,13,26,32.5,32.5,25.75,39.13,80.5,99.47,30.26,90.76,66.55,66.55,32.5,30.25

36,08:45:09:00,30.880000,6.820000,271.430000,6.660000,175.320000,38.91,55.980000,9.930000,6.660000,10.330000,31.590000,101.090000,115.820000,30.880000,10.370000,19.44,39,53.080136,23.06,15.67,31.33,32.5,32.5,29.28,43.33,91,115.29,31.1,93.25,66.85,66.85,32.5,31.08

37,09:00:09:15,30.880000,7.920000,271.430000,7.730000,175.320000,38.68,55.980000,9.750000,7.730000,10.330000,29.610000,101.090000,115.820000,30.880000,10.370000,19.94,45,58.551008,26.51,18.33,36.67,32.5,32.5,32.53,48.87,105,132.54,31.84,95.57,67.22,67.22,32.5,31.86

38,09:15-09:30,30.880000,8.520000,271.430000,8.310000,175.320000,38.05,55.980000,9.750000,8.310000,10.330000,29.610000,101.090000,115.820000,30.880000,10.370000,20.47,49.5,63.885352,29.77,21.33,42.67,32.5,32.5,32,54.2,115.5,148.86,33.54,100.61,67.55,67.55,32.5,33.53

39,09:30-09:45,30.880000,9.450000,271.430000,9.230000,175.320000,37.95,55.980000,9.750000,9.230000,10.330000,30.540000,101.090000,115.820000,30.880000,10.370000,32,54,69.034408,32.96,23.66,47.34,32.66,32.67,34,59.2,126,164.79,33.97,101.9,67.85,67.85,32.67,33.97

40,09:45-10:00,30.880000,10.130000,271.430000,9.880000,175.320000,37.67,55.980000,9.750000,9.880000,10.330000,30.540000,101.090000,115.820000,30.880000,10.370000,32,58.5,73.656856,35.9,25.66,51.34,32.66,32.67,35,63.57,136.5,179.5,34.29,102.92,68.22,68.22,32.67,34.31

41,10:00-10:15,29.460000,10.400000,271.430000,10.150000,175.320000,38.89,55.980000,9.750000,10.150000,10.330000,30.540000,101.090000,115.820000,29.460000,10.370000,32,61.5,77.703936,38.74,27.66,55.34,32.66,32.67,36,67.77,143.5,193.71,34.43,103.31,76.67,76.67,32.67,34.44

