Block,Time,LT-36,LT-59,LT-35,L_NR_2012_01,L_NR_2023_04,SH-07,SH-06,L_NR_2012_07,LT-05,L_NR_2012_04,LT-31,L_NR_2012_02,L_NR_2020_02,L_NR_2019_11,L_NR_2019_07,L_NR_2021_14,L_NR_2021_17,L_NR_2022_09,L_NR_2023_10,L_NR_2019_19,L_NR_2020_05,L_NR_2018_61,L_NR_2021_13,L_NR_2022_08,L_NR_2020_06,L_NR_2019_05,L_NR_2021_16,L_NR_2022_10,L_NR_2021_12,L_NR_2019_06,L_NR_2021_15,L_NR_2020_07,L_NR_2023_07
1,00:00-00:15,0.000000,6.770000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.140000,6.380000,0,0,0,83.33,0,0,105,24.83,0,36.67,35,0,0,83.33,0,0,0,35,0

2,00:15-00:30,0.000000,6.770000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.140000,6.380000,0,0,0,83.33,0,0,105,36.08,0,36.67,35,0,0,83.33,0,0,0,35,0

3,00:30-00:45,0.000000,6.770000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.140000,6.380000,0,0,0,83.33,0,0,105,35.54,0,36.67,35,0,0,83.33,0,0,0,35,0

4,00:45-01:00,0.000000,6.770000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.140000,6.380000,0,0,0,83.33,0,0,105,34.74,0,36.67,35,0,0,83.33,0,0,0,35,0

5,01:00-01:15,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.380000,0,0,0,83.33,0,0,105,33.88,0,36.67,35,0,0,83.33,0,0,0,35,0

6,01:15-01:30,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.380000,0,0,0,83.33,0,0,105,33.88,0,36.67,35,0,0,83.33,0,0,0,35,0

7,01:30-01:45,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.380000,0,0,0,83.33,0,0,100,40.2,0,35,33.33,0,0,83.33,0,0,0,33.34,0

8,01:45-02:00,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.380000,0,0,0,83.33,0,0,100,40.36,0,35,33.33,0,0,83.33,0,0,0,33.34,0

9,02:00-02:15,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.150000,0,0,0,83.33,0,0,100,38.8,0,35,33.33,0,0,83.33,0,0,0,33.34,0

10,02:15-02:30,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.150000,0,0,0,83.33,0,0,100,38.14,0,35,33.33,0,0,83.33,0,0,0,33.34,0

11,02:30-02:45,0.000000,6.610000,0.000000,101.260000,28.700000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.150000,0,0,0,83.33,0,0,100,37.54,0,35,33.33,0,0,83.33,0,0,0,33.34,0

12,02:45-03:00,0.000000,6.610000,0.000000,101.260000,30.630000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,261.590000,6.040000,6.150000,0,0,0,83.33,0,0,100,36.88,0,35,33.33,0,0,83.33,0,0,0,33.34,0

13,03:00-03:15,0.000000,6.460000,0.000000,101.260000,30.630000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,6.150000,0,0,0,83.33,0,0,100,36.28,0,35,33.33,0,0,83.33,0,0,0,33.34,0

14,03:15-03:30,0.000000,6.460000,0.000000,101.260000,30.630000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,6.150000,0,0,0,83.33,0,0,105,36,0,35,35,0,0,83.33,0,0,0,35,0

15,03:30-03:45,0.000000,6.460000,0.000000,101.260000,30.630000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,6.150000,0,0,0,83.33,0,0,105,40.02,0,37.33,35,0,0,83.33,0,0,0,35,0

16,03:45-04:00,0.000000,6.460000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,6.150000,0,0,0,83.33,0,0,105,39.95,0,37.33,35,0,0,83.33,0,0,0,35,0

17,04:00-04:15,0.000000,6.380000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,5.990000,0,0,0,83.33,0,0,105,39.75,0,37.33,35,0,0,83.33,0,0,0,35,0

18,04:15-04:30,0.000000,6.380000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.950000,5.990000,0,0,0,83.33,0,0,105,39.61,0,37.33,35,0,0,83.33,0,0,0,35,0

19,04:30-04:45,0.000000,6.380000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,33.170000,271.880000,0.000000,191.760000,5.950000,5.990000,0,0,0,83.33,0,0,105,38.03,0,37.33,35,0,0,83.33,0,0,0,35,0

20,04:45-05:00,0.000000,6.380000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,33.170000,271.880000,0.000000,191.760000,5.950000,5.990000,0,0,0,83.33,0,0,105,36.28,0,37.33,35,0,0,83.33,0,0,0,35,0

21,05:00-05:15,0.000000,6.230000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,33.170000,271.880000,0.000000,191.760000,5.860000,5.990000,0,0,0,83.33,0,0,105,39.02,0,37.33,35,0,0,83.33,0,0,0,35,0

22,05:15-05:30,0.000000,6.230000,0.000000,101.260000,29.670000,30.930000,30.930000,0.000000,58.000000,271.880000,0.000000,191.760000,5.860000,5.990000,0,0,0,83.33,0,0,105,39.02,0,37.33,35,0,0,83.33,0,0,0,35,0

