Block,Time,TANDA2,NAPP,UNCHAHAR1,ANTA_LF,CHAMERA3,NJPC,KISHANGANGA,DADRT2,KOTESHWR,DADRI_RF,DHAULIGNGA,TANAKPUR,DADRI_GF,BSIUL,DADRI_CRF,CHAMERA1,AURY_LF,UNCHAHAR4,ANTA_RF,RIHAND2,RIHAND1,ANTA_GF,URI2,UNCHAHAR2,SEWA2,URI,AURY_RF,VSTPS V,VSTPS I,RAPPB,CHAMERA2,DADRI_LF,RIHAND3,ANTA_CRF,JHAJJAR,VSTPS II,KHARGONE-I,SINGRAULI,KSTPS7,GANDHAR-RLNG,KAWAS-zLIQ,RAPPC,KAPS,BRBCL,DULHASTI,SALAL,GADARWARA-I,GANDHAR-APM,AURY_GF,KHSTPP-II,UNCHAHAR3,AURY_CRF,RAMPUR,TEHRI,TALA,KHSTPP-I,KSTPS I&II,VSTPS III,KOLDAM,FSTPP I & II,LARA-I,VSTPS IV,SOLAPUR,KAWAS-NAPM,SINGRAULI_HYDRO,KAWAS-RLNG,SIPAT II,KAWAS-APM,GANDHAR-NAPM,SASAN,MOUDA_II,PARBATI3,GANDHAR-ComGas,TAPS-II,MOUDA,KAWAS-ComGas,SIPAT I,TALST2,NLCIIST2,KGSU3AND4,RSTPSU7,NLCEXP,NLCTS2EXP,KGSU1AND2,NNTPP,NLCIIST1,NTPL,MAPS,RSTPSU1TO6,SIMHST2,KKNP,VALLURNTECL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,3.938161,44.767769,21.091160,0.000000,32.256539,51.167436,6.102746,665.450561,18.669448,0.000000,0.000000,0.493390,0.000000,0.000000,0.000000,11.410365,0.000000,2.301331,9.613979,117.887847,92.331090,0.000000,32.614360,41.715332,17.436898,46.773830,0.000000,1.269510,2.249451,0.000000,44.701835,0.000000,123.684601,0.000000,545.212175,0.929022,3.387639,128.968899,1.283197,0.000000,0.000000,62.541305,1.095147,15.174977,54.814796,80.560066,4.106229,0.000000,0.000000,142.042795,26.335315,0.000000,1.573941,26.285917,0.000000,40.036391,2.839546,1.874035,3.434338,19.960917,3.990572,2.566393,1.693819,0.000000,1.014603,0.000000,1.788485,0.000000,0.000000,200.403562,3.358207,3.956259,0.000000,1.311170,1.853390,0.000000,3.284983,2.92,0.82,2.10,1.87,1.75,1.64,1.94,0.22,0.82,3.64,0.24,5.69,1.78,1.55,3.44,8.98,0,0,0,0,0

2,00:15-00:30,3.938161,44.767769,21.091160,0.000000,32.256539,51.167436,6.102746,665.450561,18.669448,0.000000,0.000000,0.493390,0.000000,0.000000,0.000000,11.410365,0.000000,2.301331,9.613979,117.887847,92.331090,0.000000,32.614360,41.715332,17.436898,46.773830,0.000000,1.269510,2.249451,0.000000,44.701835,0.000000,123.684601,0.000000,545.212175,0.929022,3.387639,128.969983,1.283197,0.000000,0.000000,62.541305,1.095147,15.174977,54.814796,80.560066,4.106229,0.000000,0.000000,142.042795,26.335315,0.000000,1.573941,49.651177,0.000000,40.036901,2.839546,1.874035,1.717168,19.960917,3.990572,2.566393,1.693819,0.000000,1.014603,0.000000,1.788485,0.000000,0.000000,200.403562,3.358207,3.956259,0.000000,1.311170,1.853390,0.000000,3.284983,2.92,0.82,2.10,1.87,1.76,1.64,1.94,0.22,0.82,3.64,0.24,5.69,1.78,1.55,3.44,8.98,0,0,0,0,0

3,00:30-00:45,3.938161,44.767769,21.091160,0.000000,32.256539,37.805899,6.102746,665.450561,18.669448,0.000000,0.000000,0.493390,0.000000,0.000000,0.000000,11.410365,0.000000,2.301331,8.666100,117.887847,92.331090,0.000000,32.614360,41.715332,17.436898,46.773830,0.000000,1.269510,2.249451,0.000000,44.701835,0.000000,123.684601,0.000000,545.212175,0.929022,3.387639,128.969983,1.283197,0.000000,0.000000,62.541305,1.095147,15.174977,54.814796,80.560066,4.106229,0.000000,0.000000,142.042795,26.335315,0.000000,1.163347,49.651177,0.000000,40.036901,2.839546,1.874035,0.000000,19.960917,4.066654,2.566393,1.263870,0.000000,1.014603,0.000000,1.788485,0.000000,0.000000,213.944344,3.358207,3.956259,0.000000,1.311170,1.853390,0.000000,3.284983,2.92,0.82,2.10,1.87,1.76,0.74,1.94,0.22,0.82,3.64,0.24,5.69,1.78,1.55,3.44,8.98,0,0,0,0,0

4,00:45-01:00,3.938161,44.767769,21.091160,0.000000,32.256539,25.583718,6.102746,665.450561,18.669448,0.000000,0.000000,0.493390,0.000000,0.000000,0.000000,11.410365,0.000000,2.301331,8.666100,117.887847,92.331090,0.000000,32.614360,41.715332,17.436898,46.773830,0.000000,1.269510,2.249451,0.000000,44.701835,0.000000,123.684601,0.000000,545.212175,0.929022,3.387639,128.969983,1.283197,0.000000,0.000000,62.541305,1.095147,15.174977,54.814796,80.560066,4.106229,0.000000,0.000000,142.042795,26.335315,0.000000,0.786970,49.651177,0.000000,40.036901,2.839546,1.874035,0.000000,19.960917,4.072013,2.566393,0.930746,0.000000,1.014603,0.000000,1.788485,0.000000,0.000000,226.943494,3.358207,3.956259,0.000000,1.311170,1.853390,0.000000,3.284983,2.92,0.82,2.10,1.87,1.76,0.74,1.94,0.22,0.82,3.64,0.24,5.69,1.78,1.55,3.44,8.98,0,0,0,0,0

5,01:00-01:15,3.938161,44.767769,21.091160,0.000000,32.256539,0.000000,6.102746,665.450561,18.669448,0.000000,0.000000,0.493390,0.000000,0.000000,0.000000,11.410365,0.000000,2.301331,0.000000,117.887847,92.331090,0.000000,32.614360,41.715332,17.436898,51.025997,0.000000,1.269510,2.249451,0.000000,44.701835,0.000000,123.684601,0.000000,545.212175,0.929022,3.387639,128.969983,1.283197,0.000000,0.000000,62.541305,1.095147,15.174977,54.814796,80.560066,4.106229,0.000000,0.000000,142.042795,26.335315,0.000000,0.000000,49.651177,0.000000,40.036901,2.839546,1.874035,0.000000,19.960917,4.072013,2.566393,0.930746,0.000000,1.014603,0.000000,1.788485,0.000000,0.000000,239.942644,3.358207,3.956259,0.000000,1.311170,1.853390,0.000000,3.284983,2.92,0.82,2.10,1.87,1.76,0.74,1.94,0.22,0.82,3.64,0.24,5.57,1.78,1.55,3.44,8.98,0,0,0,0,0

