Block,Time,RAPPB,SALAL,TEHRI,DADRI_GF,PARBATI3,ANTA_RF,DADRI_LF,ANTA_LF,NJPC,DADRI_CRF,SEWA2,RAMPUR,RIHAND1,KISHANGANGA,BSIUL,DULHASTI,TANAKPUR,AURY_GF,TANDA2,RAPPC,AURY_CRF,RIHAND3,URI,UNCHAHAR2,DADRT2,SINGRAULI,URI2,NAPP,SINGRAULI_HYDRO,CHAMERA3,SASAN,AURY_LF,JHAJJAR,UNCHAHAR4,AURY_RF,KOLDAM,ANTA_GF,CHAMERA2,RIHAND2,KHSTPP-I,DHAULIGNGA,KHSTPP-II,TALA,UNCHAHAR3,DADRI_RF,KOTESHWR,FSTPP I & II,BRBCL,ANTA_CRF,UNCHAHAR1,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,6.714733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.431260,0.000000,119.102363,2.339177,19.262000,348.642200,120.953321,16.064970,0.000000,0.792236,0.000000,368.385750,0.000000,227.291600,0.000000,0.000000,0.000000,0.000000,0.000000,56.880686,21.839833,0.000000,94.219050,0.000000,12.520300,0.000000,8.546549,5.245757,14.446451,0.000000,6.741700,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,1.342947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.431260,0.000000,119.102363,2.339177,19.262000,348.642200,120.953321,16.064970,0.000000,0.792236,0.000000,368.385750,0.000000,227.291600,0.000000,0.000000,0.000000,0.000000,0.000000,56.880686,21.839833,0.000000,89.817839,0.000000,12.520300,0.000000,8.546549,3.852400,14.446451,0.000000,6.741700,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,1.342947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.431260,0.000000,119.102363,2.339177,19.262000,348.642200,120.953321,16.064970,0.000000,0.792236,0.000000,368.385750,0.000000,227.291600,0.000000,0.000000,0.000000,0.000000,0.000000,56.880686,21.839833,0.000000,89.817839,0.000000,12.520300,0.000000,8.546549,3.852400,14.446451,0.000000,6.741700,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,1.342947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.431260,0.000000,119.102363,2.339177,19.262000,348.642200,120.953321,16.064970,0.000000,0.792236,0.000000,368.385750,0.000000,227.291600,0.000000,0.000000,0.000000,0.000000,0.000000,56.880686,21.839833,0.000000,89.817839,0.000000,12.520300,0.000000,8.546549,3.852400,13.229730,0.000000,6.741700,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,1.342947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.892575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.431260,0.000000,119.102363,2.339177,19.262000,348.642200,111.501362,16.064970,0.000000,0.792236,0.000000,368.385750,0.000000,227.291600,0.000000,0.000000,0.000000,0.000000,0.000000,56.880686,21.839833,0.000000,89.817839,0.000000,12.520300,0.000000,8.546549,3.852400,12.109117,0.000000,6.741700,0.000000,0,0,0,0,0

