Block,Time Block,NNTPP,NLCTS2EXP,KGSU3AND4,NLCIIST2,BRBCL,DHAULIGNGA,DADRT2,DULHASTI,KGSU1AND2,FSTPP I & II,JHAJJAR,CHAMERA2,CHAMERA3,CHAMERA1,BSIUL,UNCHAHAR2,UNCHAHAR4,URI2,VALLURNTECL,URI,UNCHAHAR3,UNCHAHAR1,KOLDAM,KOTESHWR,KKNPPU2,KUDGI,MAPS,KHSTPP-II,KISHANGANGA,KKNP,NLCEXP,NJPC,NLCIIST1,NAPP,DADRI_RF,DADRI_LF,DADRI_GF,DADRI_CRF,AURY_RF,AURY_LF,ANTA_CRF,ANTA_RF,AURY_CRF,AURY_GF,ANTA_LF,ANTA_GF,TALA,TALST2,TANAKPUR,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,SASAN,RAPPD,RSTPSU7,RAPPC,SALAL,RAPPB,SIMHST1,RAMPUR,SEWA2,RSTPSU1TO6,RIHAND3,RIHAND1,RIHAND2,NTPL,PARBATI3,PARBATI2,TEHRIPSP,TEHRI,TelanganaSTPP,TANDA2,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,16.13,40.99,622.61,36.99,0,19.45,465.69,45.48,32.77,40.69,18.88,40.79,0.56,36.11,0,4.26,25.14,20.11,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,76.27,0,0,5.48,17.7,0,126.3,45.65,120.92,0,55.25,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

2,00:15-00:30,0,0,0,0,13.51,40.99,600.41,36.99,0,19.45,450.54,45.48,32.77,40.69,18.88,40.37,0.56,36.11,0,10.66,25.14,20.11,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,76.27,0,0,5.48,17.7,0,126.3,45.65,120.92,0,55.25,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

3,00:30-00:45,0,0,0,0,13.75,40.99,576.97,36.99,0,19.45,450.54,45.48,32.77,40.69,18.88,40.37,0.56,36.11,0,44.76,25.14,20.11,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

4,00:45-01:00,0,0,0,0,13.36,40.99,549.94,36.99,0,19.45,450.2,45.48,32.77,40.69,18.88,40.37,0.56,36.11,0,44.76,25.14,20.11,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

5,01:00-01:15,0,0,0,0,13.98,40.99,543.18,36.99,0,19.45,396.35,45.48,32.77,40.69,18.88,40.37,0.56,36.11,0,44.76,25.14,20.49,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

6,01:15-01:30,0,0,0,0,13.41,40.99,482.79,36.99,0,19.45,345.69,45.48,32.77,40.69,18.88,41.65,0.56,36.11,0,44.76,25.77,20.49,8.33,43.52,0,0,0,94.16,6.73,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

7,01:30-01:45,0,0,0,0,13.47,40.99,400.74,36.99,0,19.45,318.66,45.48,32.77,40.69,18.88,41.65,1.2,36.11,0,45.82,25.77,20.49,8.33,43.52,0,0,0,94.16,4.49,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,1.37,43.95,0,0,0,0,0

8,01:45-02:00,0,0,0,0,13.45,40.99,313.87,36.99,0,19.45,293.37,45.48,32.77,40.69,18.88,41.65,1.47,36.11,0,45.82,25.77,20.49,8.33,43.52,0,0,0,94.16,4.49,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,2.52,43.95,0,0,0,0,0

9,02:00-02:15,0,0,0,0,13.46,40.99,251.12,36.99,0,14.11,241.92,45.48,32.77,40.69,18.88,30.69,1.47,36.11,0,50.54,18.83,14.53,8.33,43.52,0,0,0,94.16,4.49,0,0,169.7,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,11.5,0,0,102.79,401.81,38.76,0,63.01,75.72,0,0,5.48,17.7,0,126.3,45.65,120.92,0,33.01,24.8,185.89,77.42,0,2.52,43.95,0,0,0,0,0

