Block,Time Block,VALLURNTECL,URI2,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,CHAMERA1,DADRT2,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DHAULIGNGA,KISHANGANGA,KOLDAM,JHAJJAR,KHSTPP-I,FSTPP I & II,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KUDGI,MAPS,KOTESHWR,NJPC,NAPP,NLCEXP,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,RSTPSU7,NTPL,RIHAND3,PARBATI3,RAPPB,NLCIIST1,RIHAND2,NLCIIST2,SASAN,SIMHST1,SALAL,SEWA2,SINGRAULI_HYDRO,SIMHST2,TALST2,SINGRAULI,TANAKPUR,TALA,UNCHAHAR3,URI,TelanganaSTPP,UNCHAHAR2,TEHRI,UNCHAHAR4,TANDA2,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,466.38,12.56,30.89,42.58,14.44,38.9,2.77,5.15,308.13,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,31.13,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.34,24.8,40.92,0,39.594,65.21,0,0,19.42,0,0,0,0,0

2,00:15-00:30,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,438.12,12.56,30.89,42.58,14.44,38.9,2.77,5.15,308.13,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,31.13,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.34,24.8,40.92,0,39.594,65.21,0,0,19.42,0,0,0,0,0

3,00:30-00:45,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,399.6,12.56,30.89,42.58,14.44,38.9,2.77,5.15,308.13,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,31.13,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.34,24.76,35.08,0,39.591,65.21,0,0,19.81,0,0,0,0,0

4,00:45-01:00,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,399.6,12.56,30.89,42.58,14.44,38.9,2.77,5.15,308.13,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,31.13,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.34,22.81,35.08,0,35.971,65.21,0,0,18.11,0,0,0,0,0

5,01:00-01:15,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,279.24,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,6.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.63,22.81,35.08,0,36.229,65.21,0,2.12,17.66,0,0,0,0,0

6,01:15-01:30,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,259.98,20.45,13.77,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,6.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.63,22.81,35.08,0,36.229,65.21,0,1.66,17.66,0,0,0,0,0

7,01:30-01:45,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,231.1,20.45,11.27,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.63,22.81,40.92,0,36.229,65.21,0,1.09,17.66,0,0,0,0,0

8,01:45-02:00,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,221.47,20.45,11.27,0,34.89,0,95.2,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,10.49,9.63,22.81,40.92,0,36.229,65.21,0,0,17.66,0,0,0,0,0

9,02:00-02:15,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,202.21,20.45,11.27,0,34.89,0,116.11,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,9.13,9.63,22.81,35.08,0,36.229,65.21,0,0,17.66,0,0,0,0,0

10,02:15-02:30,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,182.95,20.45,11.27,0,34.89,0,116.11,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,9.13,9.63,22.81,35.08,0,36.229,65.21,0,0,17.66,0,0,0,0,0

11,02:30-02:45,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,9.13,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

12,02:45-03:00,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,37.21,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,6.77,0,0,117.19,0,313.06,0,80.57,11.15,0.75,0,0,90.01,9.13,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

13,03:00-03:15,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,90.01,10.49,9.63,19.3,40.92,0,30.59,65.21,0,0,14.92,0,0,0,0,0

14,03:15-03:30,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,90.01,10.49,9.63,19.3,40.92,0,30.59,65.21,0,0,14.92,0,0,0,0,0

15,03:30-03:45,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,6.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,95.85,10.49,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

16,03:45-04:00,0,26.33,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,116.11,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,20.3,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,10.49,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

17,04:00-04:15,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,127.22,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

18,04:15-04:30,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.63,19.3,35.08,0,30.59,65.21,0,0,14.92,0,0,0,0,0

19,04:30-04:45,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.63,14.33,40.92,0,23.15,65.21,0,0,11.79,0,0,0,0,0

20,04:45-05:00,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.06,14.33,40.92,0,23.15,65.21,0,0,11.79,0,0,0,0,0

21,05:00-05:15,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,29.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.06,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

22,05:15-05:30,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,2.77,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,17.32,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,9.06,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

23,05:30-05:45,0,34.71,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,6.77,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,7.92,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

24,05:45-06:00,0,24.89,0,0,0,0,0,0,0,0,0,0,0,0,40.59,363.34,12.56,30.89,42.58,14.44,38.9,1.39,5.15,110.84,20.45,11.27,0,34.89,0,128.19,0,0,0,0,27.9,160.9,43.66,0,50.13,0,3.41,0,0,58,0,0,122.87,35.18,0,0,117.19,0,313.06,0,76.08,0,0.75,0,0,97.51,11.1,7.92,14.33,35.08,0,23.15,65.21,0,0,11.79,0,0,0,0,0

