Block,Time,JHAJJAR,KGSU1AND2,KISHANGANGA,RIHAND1,RSTPSU7,SINGRAULI_HYDRO,VALLURNTECL,ANTA_CRF,ANTA_GF,DADRI_CRF,KHSTPP-I,KKNP,KKNPPU2,KOLDAM,KUDGI,RAPPB,TALST2,UNCHAHAR4,AURY_GF,DADRI_GF,BRBCL,CHAMERA2,DHAULIGNGA,KHSTPP-II,NAPP,TANAKPUR,TelanganaSTPP,UNCHAHAR2,AURY_LF,NLCIIST1,SIMHST1,TALA,UNCHAHAR3,URI2,AURY_RF,DADRI_RF,DULHASTI,KOTESHWR,NTPL,RIHAND2,RIHAND3,SALAL,SINGRAULI,TEHRI,DADRI_LF,BSIUL,CHAMERA3,MAPS,NLCEXP,NLCTS2EXP,SASAN,UNCHAHAR1,URI,CHAMERA1,DADRT2,FSTPP I & II,NNTPP,PARBATI3,RSTPSU1TO6,SEWA2,KGSU3AND4,NJPC,NLCIIST2,RAMPUR,RAPPC,SIMHST2,TANDA2,ANTA_LF,ANTA_RF,AURY_CRF
1,00:00-00:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,393.75,20.56,7.73,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

2,00:15-00:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,399.38,20.56,2.76,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

3,00:30-00:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,405,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

4,00:45-01:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

5,01:00-01:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

6,01:15-01:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,128.5,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

7,01:30-01:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,139,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

8,01:45-02:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

9,02:00-02:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

10,02:15-02:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,5.76,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

11,02:30-02:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,44.83,0

12,02:45-03:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,45.05,0

13,03:00-03:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,45.05,0

14,03:15-03:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.21,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,45.05,0

15,03:30-03:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,45.05,0

16,03:45-04:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,0,0,0,53.81,0,0,0,45.05,0

17,04:00-04:15,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.05,0

18,04:15-04:30,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.05,0

19,04:30-04:45,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

20,04:45-05:00,654.3,0,0,92,0,0,0,0,0,0,33.99,0,0,0,0,0,0,0,0,0,20,0,0,148.3,44.32,0.51,0,42.39,0,0,0,0,26.39,4.31,71.46,69.59,16.48,8.88,0,118.75,60.68,1.4,125.96,0,23.57,0,0,0,0,0,410.62,20.56,2.76,0,683.14,11.12,0,0,0,0,0,18.94,0,0,53.81,0,0,0,45.25,0

