Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,GNA/NR/2025/04/01/5285,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/8456,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/9334,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/04/01/2597,NR/01102023/30042040/GNA_LT_35,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/7960,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,0,0,0,0,19.33,0,58.01,6,38.67,0,0,19.33,10,38.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.62,52.5,0,0,48.1,2.07,5.37,0,20.88,20.88,1.96,1.87,30.28

2,00:15-00:30,0,0,0,0,0,0,19.83,0,59.51,6,38.33,0,0,19.83,10,38.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.62,52.5,0,0,48.1,2.07,5.37,0,20.88,20.88,1.96,1.87,30.28

3,00:30-00:45,0,0,0,0,0,0,19.5,0,58.5,6,41.67,0,0,19.5,10.34,41.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.62,52.5,0,0,48.1,2.07,5.37,0,20.88,20.88,1.96,1.87,30.28

4,00:45-01:00,0,0,0,0,0,0,19.17,0,57.49,6,41.33,0,0,19.17,10.66,41.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.62,52.5,0,0,48.1,2.07,5.37,0,20.88,20.88,1.96,1.87,30.28

5,01:00-01:15,0,0,0,0,0,0,16.5,0,49.5,6,41.67,0,0,16.5,10.66,41.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.52,52.5,0,0,48.1,1.99,5.37,0,26.96,26.96,1.96,1.87,30.28

6,01:15-01:30,0,0,0,0,0,0,16.33,0,49.01,6,42,0,0,16.33,10.34,42,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.52,52.5,0,0,48.1,1.99,5.37,0,26.96,26.96,1.96,1.87,30.28

7,01:30-01:45,0,0,0,0,0,0,16.17,0,48.49,6,42.33,0,0,16.17,10.34,42.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.52,52.5,0,0,48.1,1.99,5.37,0,26.96,26.96,1.96,1.87,30.28

8,01:45-02:00,0,0,0,0,0,0,16.17,0,48.49,6,43.33,0,0,16.17,10.34,43.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,84.85,86.76,9.62,2.89,100.21,0,9.62,2.65,260.29,5.52,52.5,0,0,48.1,1.99,5.37,0,26.96,26.96,1.96,1.87,30.28

9,02:00-02:15,0,0,0,0,0,0,12.83,0,38.51,6,34.33,0,0,12.83,10,34.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.52,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,30.28

10,02:15-02:30,0,0,0,0,0,0,13.17,0,39.49,6,34.33,0,0,13.17,9.34,34.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.52,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,30.28

11,02:30-02:45,0,0,0,0,0,0,13.83,0,41.51,3,34.33,0,0,13.83,9,34.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.52,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,30.28

12,02:45-03:00,0,0,0,0,0,0,14.17,0,42.49,3,34,0,0,14.17,8.66,34,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.52,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,30.28

13,03:00-03:15,0,0,0,0,0,0,14.17,0,42.49,3,33.33,0,0,14.17,5,33.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,30.78

14,03:15-03:30,0,0,0,0,0,0,14.17,0,42.49,3,32,0,0,14.17,5,32,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,31.29

15,03:30-03:45,0,0,0,0,0,0,14.33,0,43.01,3,30.67,0,0,14.33,5,30.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,31.29

16,03:45-04:00,0,0,0,0,0,0,14.33,0,43.01,3,29,0,0,14.33,5,29,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.99,5.37,0,26.96,26.96,1.87,1.87,31.29

17,04:00-04:15,0,0,0,0,0,0,14.17,0,42.49,3,28,0,0,14.17,5,28,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.84,5.37,0,26.96,26.96,1.87,1.87,31.29

18,04:15-04:30,0,0,0,0,0,0,14,0,42,3,27,0,0,14,5,27,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,66,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.84,5.37,0,26.96,26.96,1.87,1.87,31.29

19,04:30-04:45,0,0,0,0,0,0,13.83,0,41.51,3,37.67,0,0,13.83,5,37.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,84.85,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.84,5.37,0,24.33,24.33,1.87,1.87,31.29

20,04:45-05:00,0,0,0,0,0,0,13.83,0,41.51,3,37.67,0,0,13.83,5,37.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.43,0,0,0,48.1,1.84,5.37,0,24.33,24.33,1.87,1.87,31.29

21,05:00-05:15,0,0,0,0,0,0,19,0,57,3,41.67,0,0,19,10,41.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.34,0,0,0,48.1,1.84,5.37,0,24.33,24.33,1.77,1.78,30.78

22,05:15-05:30,0,0,0,0,0,0,18.83,0,56.51,3,42.33,0,0,18.83,10,42.33,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.34,0,0,0,48.1,1.84,5.37,0,24.33,24.33,1.77,1.78,30.78

23,05:30-05:45,0,0,0,0,0,0,18.33,0,55.01,3,46.67,0,0,18.33,9.66,46.67,0,0,0,0,2.89,0,9.62,6.93,271.98,1.92,2.89,115.01,86.76,9.62,2.89,100.21,0,9.62,3.61,260.29,5.34,0,0,0,48.1,1.99,5.37,0,17.86,17.86,1.77,1.78,30.78

