Time,Block,NR/2024/20052/A/19679,NR/2024/20040/A/20145,NR/2024/20090/A/19764,NR/2024/20212/A/19868,NR/2024/20402/C,NR/2024/19637/A/19853,NR/2024/19432/A/20139,NR/2024/19355/A/20243,NR/2024/19699/A/20137,NR/2024/20393/C,NR/2024/20109/A/20242,NR/2024/19588/A/19877,NR/2024/20403/C,NR/2024/20050/A/20090,NR/2024/20082/A/20146,NR/2024/20041/A/20092,NR/2024/20033/A/20135,NR/2024/19475/A/20074,NR/2024/20144/A/19869,NR/2024/19918/A/20147,NR/2024/19779/A/19748,NR/2024/20130/A/19848,NR/2024/20411/C,NR/2024/20142/A/19870,NR/2024/19966/A/19839,NR/2024/19760/A/20038,NR/2024/20034/A/20133,NR/2024/20211/A/19867,NR/2024/20141/A/19871,NR/2024/20048/A/20091,NR/2024/20037/A/20036,NR/2024/20406/C,NR/2024/20031/A/20134,NR/2024/20408/C,NR/2024/19683/A/19781,NR/2024/20394/C,NR/2024/20395/C,Total
,,DIAPL,APPCPL,IEXL,UHL,HPXL,INSTINCT,NVVNL,TPDDL,NVVNL,NVVNL,TPDDL,GMRETL,HPXL,PTC,APPCPL,PTC,NVVNL,AEL,BAL234,APPCPL,ITCLH,DTCP,NVVNL,BAL224,BRPL,TPTCL,NVVNL,JHPL-DL,BAL184,PTC,TPTCL,PXIL,NVVNL,PXIL,IEXL,NVVNL,NVVNL,Total

,,HIMACHAL PRADESH,MANIPUR,MAHARASHTRA,HIMACHAL PRADESH,KARNATAKA,NA,NA,NA,MP,NA,NA,RAJASTHAN,KARNATAKA,HIMACHAL PRADESH,SIKKIM,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NAGALAND,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,
,,GBHHPL,Manipur_Ben,A_A_Energy_MH_Bio,SHPPBPL,PCKL,JPL-2,SEIL,JPL-2,JP BINA,SORANG_HEP,JHAJJAR,RUVNL,PCKL,HP,SIKKIM,JPL_DHULE,SKS Raigarh,APL_Raipur TPP,SHPPBPL,Nagaland_Ben,ITCWIND,SHPPBPL,KAMENG,SHPPBPL,IEPLBELA2022,SIMHAPURI,RKM_POWER,SHPPBPL,SHPPBPL,HP,JPL_DHULE,HP-GOVT,RKM_POWER,Meghalaya_Ben,NHCPL_HP,KAMENG,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,BYPL,MES (Delhi),UHL,BYPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,BRPL,BRPL,BYPL,BRPL,NDMC,BRPL,BAL234,BYPL,ITCLH,DTCP,TPDDL,BAL224,BRPL,BRPL,NDMC,JHPL-DL,BAL184,BYPL,TPDDL,BRPL,NDMC,BRPL,MES (Delhi),TPDDL,MES (Delhi),
,,North-North,North East-East-North,West-North,North-North,South-East-North,West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,South-East-North,North-North,East-North,West-North,West-North,West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,South-West-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,North East-East-North,North-North,North East-East-North,West-North,
1,00:00-00:15,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,241.450000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,85.180000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,96.580000,37.310000,254.970000,1.930000,81.710000,0,1746.99

2,00:15-00:30,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,241.450000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,85.180000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,96.580000,37.310000,256.900000,1.930000,81.710000,0,1748.92

3,00:30-00:45,6.760000,14.490000,1.930000,0.610000,0.000000,0.000000,24.140000,96.580000,48.290000,17.380000,241.450000,66.820000,241.450000,90.540000,11.590000,0.000000,12.440000,193.160000,0.880000,13.520000,0.630000,0.480000,85.180000,0.520000,0.000000,0.000000,37.310000,1.590000,0.350000,30.180000,36.220000,96.580000,37.310000,253.040000,1.930000,81.710000,0,1745.06

