Block,Time,KHSTPP-II,BRBCL,TALA,KHSTPP-I,SASAN,KUDGI,FSTPP I & II,DADRI_GF,SINGRAULI,NJPC,KOTESHWR,SALAL,RIHAND2,KOLDAM,DADRT2,JHAJJAR,DULHASTI,AURY_GF,CHAMERA1,PARBATI3,ANTA_CRF,URI,TANDA2,DADRI_CRF,NAPP,DADRI_RF,UNCHAHAR4,DHAULIGNGA,RAMPUR,ANTA_GF,DADRI_LF,RAPPB,TANAKPUR,UNCHAHAR1,CHAMERA3,AURY_LF,KISHANGANGA,CHAMERA2,AURY_CRF,BSIUL,RAPPC,AURY_RF,ANTA_RF,RIHAND1,SINGRAULI_HYDRO,TEHRI,SEWA2,RIHAND3,ANTA_LF,URI2,UNCHAHAR3,UNCHAHAR2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,95.045610,19.330005,7.103775,35.199930,335.073469,60.89,11.549675,0.000000,95.683500,21.051336,8.576721,38.746018,56.627235,0.000000,524.267100,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,36.278544,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,15.274612,119.522827,0.000000,30.828820,20.975506,16.547350,0,0,0,0,0

2,00:15-00:30,95.045610,17.925041,7.103775,36.294715,335.979562,58.96,11.549675,0.000000,95.683500,21.051336,8.576721,38.746018,56.627235,0.000000,511.702600,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,36.278544,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,15.274612,119.522827,0.000000,30.828820,17.203313,16.547350,0,0,0,0,0

3,00:30-00:45,95.045610,18.588277,7.103775,32.754105,335.979562,57.02,12.377482,0.000000,95.683500,21.051336,8.576721,38.746018,56.627235,0.000000,512.020854,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,12.804192,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,15.274612,119.522827,0.000000,30.828820,17.203313,16.547350,0,0,0,0,0

4,00:45-01:00,95.045610,16.706618,7.103775,33.271956,335.979562,56.06,12.377482,0.000000,95.683500,21.051336,8.576721,38.746018,56.627235,0.000000,528.133100,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,12.804192,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,15.274612,119.522827,0.000000,30.828820,17.203313,16.547350,0,0,0,0,0

5,01:00-01:15,95.045610,18.649416,7.103775,33.271956,335.979562,55.09,12.377482,0.000000,95.683500,21.051336,8.576721,38.746018,56.627235,0.000000,516.535100,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,17.072256,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,10.203688,119.522827,0.000000,30.828820,17.203313,16.547350,0,0,0,0,0

6,01:15-01:30,95.045610,16.510190,7.103775,33.785651,335.979562,52.19,12.377482,0.000000,95.683500,21.051336,8.576721,66.261307,56.627235,0.000000,503.970600,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,17.072256,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,10.203688,119.522827,0.000000,30.828820,17.203313,16.547350,0,0,0,0,0

7,01:30-01:45,95.045610,15.224677,7.103775,33.785651,335.979562,51.22,12.377482,0.000000,95.683500,21.051336,8.576721,66.261307,56.627235,0.000000,473.713616,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,17.072256,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,10.203688,119.522827,0.000000,13.001358,17.203313,16.547350,0,0,0,0,0

8,01:45-02:00,95.045610,15.276534,7.103775,33.785651,335.979562,51.22,12.377482,0.000000,95.683500,21.051336,8.576721,66.261307,56.627235,0.000000,428.583600,625.059809,31.853621,0.000000,0.000000,0.000000,0.000000,17.072256,0.000000,0.000000,39.843769,0.000000,0.000000,1.276746,0.000000,0.000000,0.000000,0.000000,8.418988,13.734352,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,25.510961,0.000000,0.000000,88.918000,0.758055,0.000000,10.203688,119.522827,0.000000,9.751018,17.203313,16.547350,0,0,0,0,0

