Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9072,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/10/01/9582,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/8106,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06
1,00:00-00:15,0,0,9,3.57,6.07,37.24,27,0,0,18.33,10,9,18.33,7,0,0,0,0,0,0,0,0,272.57,0,261.73,0,37.24,37.24,30.28,0,3.45,12.42,0,70.29,12.42,3.34,0,100.43,32

2,00:15-00:30,0,0,9,3.57,6.07,37.24,27,0,0,18,9.66,9,18,7,0,0,0,0,0,0,0,0,272.57,0,261.73,0,37.24,37.24,30.28,0,3.45,12.42,0,70.29,12.42,3.34,0,100.43,32

3,00:30-00:45,0,0,9,3.57,6.07,37.24,27,0,0,17.67,9.34,9,17.67,7,0,0,0,0,0,0,0,0,272.57,24.8,261.73,0,37.24,37.24,30.28,0,3.45,12.42,0,70.29,12.42,3.34,0,100.43,24.8

4,00:45-01:00,0,0,9.17,3.57,6.07,37.24,27.5,0,0,16.67,8.66,9.16,16.67,6.8,0,0,0,0,0,0,0,0,272.57,26.87,261.73,0,37.24,37.24,30.28,0,3.45,12.42,0,70.29,12.42,3.34,0,100.43,26.87

5,01:00-01:15,0,0,9.17,3.57,5.99,37.24,27.5,0,0,15,8.34,9.16,15,6.8,0,0,0,0,0,0,0,0,272.57,26.87,261.73,0,37.24,37.24,30.28,0,3.3,12.42,0,70.29,12.42,3.34,0,100.43,26.87

6,01:15-01:30,0,0,9.17,3.57,5.99,37.24,27.5,0,0,15,7.66,9.16,15,6.6,0,0,0,0,0,0,0,0,272.57,26.87,261.73,0,37.24,37.24,30.28,0,3.3,12.42,0,70.29,12.42,3.34,0,100.43,26.87

