Time,Block,NR/2024/20930/A/27012,NR/2024/21227/A/27076,NR/2024/21158/A/26831,NR/2024/21156/A/26820,NR/2024/21152/A/26735,NR/2024/21142/A/26777,NR/2024/20711/A/27124,NR/2024/21485/A/27034,NR/2024/21160/A/26817,NR/2024/21199/A/26799,NR/2024/19779/A/26766,NR/2024/21520/C,NR/2024/21210/A/26776,NR/2024/21238/A/27104,NR/2024/21141/A/26780,NR/2024/20966/A/26736,NR/2024/21148/A/26814,NR/2024/21089/A/27052,NR/2024/21186/A/27069,NR/2024/21108/A/27074,NR/2024/21497/C,NR/2024/21104/A/27075,NR/2024/21183/A/27099,NR/2024/21173/A/26864,NR/2024/21312/A/26653,NR/2024/21159/A/26813,NR/2024/21023/A/26800,NR/2024/20877/A/27070,NR/2024/21113/A/27051,NR/2024/21076/A/27097,NR/2024/21062/A/26875,NR/2024/21099/A/26782,NR/2024/21096/A/27080,NR/2024/20574/A/26862,NR/2024/20688/A/26866,NR/2024/21146/A/26819,NR/2024/21153/A/26821,NR/2024/20573/A/26860,NR/2024/21518/C,NR/2024/21075/A/27098,NR/2024/21103/A/27077,NR/2024/21150/A/26815,NR/2024/21087/A/26865,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21517/C,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21144/A/26812,NR/30092023/31122025/SH-07,NR/2024/21243/A/26796,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/14072024/14072024/HPX-TAMCTG-130724-01664,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/14072024/14072024/IEX_240714_01538_gna,NR/01072024/31072024/R2,NR/2024/21072/A/27054,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21339/A/26773,Total
,,AEL,APPCPL,MSSH,UHL,IEXL,TPTCL,TPDDL,TPDDL,BMDRC,INSTINCT,ITCLH,NVVNL,TPTCL,MANIKARAN,TPTCL,IEXL,BAL224,NVVNL,NVVNL,APPCPL,DIAPL,APPCPL,MANIKARAN,GMRETL,DIAPL,MHIL,INSTINCT,NVVNL,NVVNL,MANIKARAN,PTC,TPTCL,APPCPL,PTC,GMRETL,BAL184,JHPL-DL,PTC,NVVNL,MANIKARAN,APPCPL,BAL234,GMRETL,SECI_Trader,SECI_Trader,NVVNL,TPDDL,DTCP,BAWANA_GAS,BRPL,PUNJAB,DELHI,MEJA,AEL,INSTINCT,NDMC,NDMC,APPCPL,TPTCL,HPXL,INSTINCT,IEXL,PTC,NVVNL,TPTCL,TPTCL,Total

,,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,NA,NA,TAMIL NADU,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,NA,MP,MANIPUR,HIMACHAL PRADESH,TAMIL NADU,MP,ODISHA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,MAHARASHTRA,NA,NA,KERALA,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,NA,DELHI,MAHARASHTRA,UTTAR PRADESH,NA,MAHARASHTRA,NA,NA,ARUNACHAL PRADESH,NA,KARNATAKA,NA,KARNATAKA,NA,NA,NA,NA,
,,APL_Raigarh TPP,Nagaland_Ben,SHPPBPL,SHPPBPL,NHCPL_HP,HP-GOVT,JPL-2,JHAJJAR,SHPPBPL,JPL_DHULE,ITCWIND,SORANG_HEP,SIMHAPURI,MMS STEEL TN,TPC MSEB,A_A_Energy_MH_Bio,SHPPBPL,RKM_POWER,JP BINA,Manipur_Ben,GBHHPL,TANGEDCO,BLAPOWER_MP,GMRKEL (STU),GBHHPL,SHPPBPL,JPL,JPNIGRIE_JNSTPP,JPL-2,AEML,SEILP2,ACBIL,KSEB,HP,RUVNL,SHPPBPL,SHPPBPL,HP,KAMENG,GOA_Beneficiary,UTTARAKHAND,SHPPBPL,GBHHPL,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SOLAPUR_SOLAR,CHANJUII,SHPPBPL,BAWANA_GAS,DADRT2,BAWANA_GAS,MSEB_Beneficiary,MEJA,APL_Raigarh TPP,JPL_DHULE,SKS Raigarh,JITPL,Arunachal_Ben,MPL,KPTCL,JPL,KPTCL,SEILP2,RKM_POWER,JITPL,JITPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,MSSH,UHL,MES (Delhi),BRPL,TPDDL,TPDDL,BMDRC,BRPL,ITCLH,TPDDL,BRPL,BRPL,BYPL,MES (Delhi),BAL224,NDMC,TPDDL,BRPL,DIAPL,BYPL,BRPL,BRPL,DIAPL,MHIL,BRPL,TPDDL,NDMC,BYPL,BRPL,BRPL,BYPL,BYPL,BYPL,BAL184,JHPL-DL,BRPL,TPDDL,BRPL,BYPL,BAL234,BRPL,BYPL,TPDDL,MES (Delhi),TPDDL,DTCP,HARYANA,BRPL,PUNJAB,TPDDL,DELHI,BRPL,BRPL,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,NDMC,BRPL,BRPL,
,,West-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,South-West-North,North-North,South-West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,North-North,South-West-North,West-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,South-East-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,East-North,North East-East-North,East-North,South-West-North,West-North,South-West-North,South-West-North,West-North,East-North,East-North,
1,00:00-00:15,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.630000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,31.030000,134.860000,31.030000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2085.89

2,00:15-00:30,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.630000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,31.030000,134.860000,31.030000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2085.89

3,00:30-00:45,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.630000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,31.030000,134.860000,31.030000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2085.89

4,00:45-01:00,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.630000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,31.030000,134.860000,31.030000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2085.89

5,01:00-01:15,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2087.78

6,01:15-01:30,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2087.78

7,01:30-01:45,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2087.78

8,01:45-02:00,0.000000,12.190000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2087.78

9,02:00-02:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2075.59

10,02:15-02:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2075.59

11,02:30-02:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2075.59

12,02:45-03:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.580000,27.940000,40.940000,2.890000,47.640000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,32.750000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,2075.59

13,03:00-03:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1995.15

14,03:15-03:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1995.15

15,03:30-03:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1995.15

16,03:45-04:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,1.930000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,13.150000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1995.15

17,04:00-04:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,12.690000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1993.72

18,04:15-04:30,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,12.690000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1993.72

19,04:30-04:45,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,12.690000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1993.72

20,04:45-05:00,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,67.430000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,12.690000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1993.72

21,05:00-05:15,0.000000,0.000000,0.670000,0.610000,1.930000,40.940000,96.330000,240.820000,0.970000,0.000000,0.530000,27.940000,40.940000,2.890000,0.000000,4.820000,0.520000,26.270000,0.000000,24.010000,0.960000,64.620000,0.000000,20.710000,5.780000,0.880000,0.000000,96.330000,26.270000,90.550000,0.000000,20.470000,24.080000,18.060000,66.650000,0.360000,1.590000,54.190000,164.000000,11.700000,83.980000,0.880000,20.710000,0,0,0,12.690000,0.480000,32.000000,134.860000,32.000000,0.000000,0.000000,163.760000,61.410000,8.760000,10.950000,0.000000,0.000000,0.000000,81.880000,0.000000,20.470000,26.270000,81.880000,0.000000,1950.37

