Block,Time Block,DULHASTI,DHAULIGNGA,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,DADRT2,CHAMERA3,SIMHST1,RSTPSU7,RIHAND3,SALAL,SEWA2,SINGRAULI_HYDRO,RIHAND2,SINGRAULI,SASAN,RSTPSU1TO6,SIMHST2,KOLDAM,KKNP,KKNPPU2,NLCEXP,KUDGI,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NAPP,NNTPP,KOTESHWR,TEHRI,TALST2,TANAKPUR,TelanganaSTPP,TANDA2,TALA,CHAMERA1,BSIUL,BRBCL,CHAMERA2,RAMPUR,RAPPB,PARBATI3,PARBATI2,RIHAND1,NTPL,RAPPC,KISHANGANGA,KHSTPP-II,KHSTPP-I,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,38.13,10.52,15.38,0,46.75,0,0,15.09,0,0,0.82,0,0,38.14,20.02,0,0,0,0,0,0,604.56,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,79.78,0,0,0,49.41,0,10.02,12.19,0,6.03,0,2.9,0,40.57,12.55,19.25,46.91,3.15,0,16.23,8.66,31.34,0,23.25,8.24,97.5,35.16,346.89,0,0,13.68,0,0,0,0,0

2,00:15-00:30,38.13,10.52,15.38,0,46.75,0,0,15.09,0,0,0.82,0,0,38.14,20.02,0,0,0,0,0,0,496.47,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,12.19,0,6.03,0,2.9,0,40.57,12.55,18.54,46.91,1.69,0,16.23,8.66,31.34,0,23.25,8.24,99.14,35.16,261.35,0,0,13.68,0,0,0,0,0

3,00:30-00:45,38.13,10.52,13.66,0,46.75,0,0,14.12,0,0,0.82,0,0,38.14,18.45,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,40.57,6.28,18.05,46.91,1.69,0,4.13,8.66,31.34,0,23.25,8.24,99.14,35.16,182.66,0,0,13.68,0,0,0,0,0

4,00:45-01:00,38.13,10.52,13.66,0,46.75,0,0,14.12,0,0,0.82,0,0,38.14,18.45,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,40.57,6.28,17.94,46.91,1.69,0,4.13,8.66,31.34,0,23.25,8.24,99.14,35.16,182.66,0,0,13.68,0,0,0,0,0

5,01:00-01:15,38.13,10.52,13.66,0,46.75,0,0,14.12,0,0,0.82,0,0,38.14,18.45,0,0,0,0,0,0,432.46,22.43,0,0,90.86,38.59,18.17,0.96,95.35,129.54,403.07,0,0,0,0,0,0,0,0,43.06,0,0,0,49.41,0,10.02,0,0,6.03,0,2.9,0,27.05,6.28,16.61,46.91,1.69,0,0,8.66,31.34,0,23.25,8.24,99.14,35.16,182.65,0,0,13.68,0,0,0,0,0

