Block,Time,CHAMERA2,RIHAND1,RAMPUR,NAPP,TEHRI,RIHAND3,DADRT2,DULHASTI,SINGRAULI,URI,KOLDAM,SINGRAULI_HYDRO,CHAMERA3,RIHAND2,RAPPC,NJPC,UNCHAHAR1,DHAULIGNGA,SALAL,JHAJJAR,URI2,KOTESHWR,TANAKPUR,BSIUL,PARBATI3,UNCHAHAR2,SEWA2,KISHANGANGA,TANDA2,CHAMERA1,UNCHAHAR3,UNCHAHAR4,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,0,92,0,0,0,59.3595,564.629564,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,6.972,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

2,00:15-00:30,0,92,0,0,0,59.3595,583.218314,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

3,00:30-00:45,0,92,0,0,0,59.3595,583.218314,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

4,00:45-01:00,0,92,0,0,0,59.3595,601.807064,0,125.5875,3.864,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

5,01:00-01:15,0,92,0,0,0,59.3595,620.395814,0,125.5875,35.328,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

6,01:15-01:30,0,92,0,0,0,59.3595,620.395814,0,125.5875,35.328,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,16.68048,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

7,01:30-01:45,0,92,0,0,0,59.3595,638.984564,0,125.5875,3.864,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.7082,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

8,01:45-02:00,0,92,0,0,0,59.3595,658.04175,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.7082,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

9,02:00-02:15,0,92,0,0,0,59.3595,658.04175,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.7082,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

10,02:15-02:30,0,92,0,0,0,59.3595,676.6305,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.7082,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

11,02:30-02:45,0,92,0,0,0,59.3595,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.84272,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

12,02:45-03:00,0,92,0,0,0,59.3595,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.84272,8.874,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

13,03:00-03:15,0,92,0,0,0,59.3595,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.84272,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

14,03:15-03:30,0,92,0,0,0,59.3595,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.84272,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

15,03:30-03:45,0,92,0,0,0,59.3595,683.129127,0,125.5875,2.4288,0,0.82259,0,59.0625,54.567,0,10.91181,0,1.3944,653.1525,4.84272,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.91,29.61,0,0,0,71.4588,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,147.515625,18.140334,0,15.00135,345.375

