Time,Block,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12431/A,NR/2023/14745/A,NR/2023/14895/A,NR/2023/15983/C,NR/2023/12592/A,NR/2023/15974/C,NR/2023/13635/A,NR/2023/12052/A,NR/2023/14737/A,NR/2023/15982/C,NR/2023/12422/A,WR/2023/18072/C,NR/2023/15057/F,NR/2023/12168/A,NR/2023/15694/F,NR/2023/15309/F,NR/2023/12591/A,NR/2023/15969/C,NR/2023/15303/F,NR/2023/15402/F,NR/2023/14746/A,NR/2023/15955/D,NR/2023/12167/A,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15296/F,NR/2023/15306/F,NR/2023/12148/A,NR/2023/13862/A,NR/2023/15958/D,Total
,,KEIPL,BSHP,TPTCL,APPCPL,MANIKARAN,SJVNL,NVVNL,TPDDL,NVVNL,KEIPL,NVVNL,SJVNL,APPCPL,HPXL,ITCLH,APPCPL,NVVNL,IEXL,NVVNL,GBHHPL,BSHP,SJVNL,APPCPL,KEIPL,APPCPL,MANIKARAN,STATKRAFT,BSHP,BSHP,GMRETL,MANIKARAN,NVVNL,Total

,,MEGHALAYA,HIMACHAL PRADESH,NA,GOA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,UTTARAKHAND,NA,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,NA,
,,Meghalaya_Ben,BSHP,JPL-2,GOA_Beneficiary,HP,DIKCHU,JPNIGRIE_JNSTPP,CHANJUII,KAMENG,Meghalaya_Ben,SKS Raigarh,RSRPL_BKN,HP,BYPL,ITCWIND,UTTARAKHAND,KAMENG,SAPU1234,JPNIGRIE_JNSTPP,GBHHPL,BSHP,BCMLB001,HP,LAPL-UP,Meghalaya_Ben,HP,TANGEDCO,BSHP,BSHP,Meghalaya_Ben,TANGEDCO,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,MHIL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,BRPL,BYPL,NDMC,NDMC,BYPL,AMNSIL,ITCLH,BYPL,TPDDL,MES (Delhi),BRPL,DIAPL,MAX-HPTL,NDMC,BRPL,BYPL,BYPL,BRPL,BYPL,JHPL-DL,BMDRC,BYPL,BRPL,MES (Delhi),
,,North East-East-North,North-North,West-North,West-North,North-North,East-North,West-North,North-North,North East-East-North,North East-East-North,West-North,North-North,North-North,North-West,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,South-West-North,North-North,North-North,North East-East-North,South-East-North,West-North,
1,00:00-00:15,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.58

2,00:15-00:30,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.58

3,00:30-00:45,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.58

4,00:45-01:00,36.410000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,100.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,98.440000,0.970000,0.930000,22.200000,23.090000,0,1322.58

