Column1,Block,NR/2025/27622/A/79840,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/80175,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/2025/28768/C,NR/2025/28888/C,NR/2025/28803/C,NR/2025/28822/C,NR/2025/26570/A/80229,NR/2025/28817/C,NR/2025/28748/C,NR/2025/26445/A/80370,NR/2025/28786/C,NR/2025/28840/C,NR/2025/28796/C,NR/2025/28854/C,NR/2025/28842/C,NR/2025/28828/C,NR/2025/28139/A/80169,NR/2025/28844/C,NR/2025/28744/C,NR/2025/26445/A/80792,NR/2025/28886/C,NR/2025/28140/A/80171,NR/2025/28746/C,NR/2025/28804/C,NR/2025/28663/C,NR/2025/28747/C,NR/2025/28667/C,NR/2025/28835/C,NR/2025/28837/C,NR/2025/28876/C,NR/2025/28138/A/79991,NR/2025/27281/A/80373,NR/2025/28858/C,NR/2025/26085/A/79940,NR/2025/28861/C,NR/2025/27088/A/80360,NR/2025/27725/A/80290,NR/2025/26861/A/80270,NR/2025/27726/A/80289,NR/2025/28860/C,NR/2025/27168/A/80325,NR/2025/26889/A/80316,NR/2025/27728/A/80287,NR/2025/27462/A/79841,NR/2025/28862/C,NR/2025/26561/A/80225,NR/2025/26860/A/80281,NR/2025/27727/A/80285,NR/2025/28884/C,NR/2025/27167/A/80324,NR/2025/26952/A/79915,NR/2025/27157/A/79962,NR/2025/26785/A/80101,NR/2025/27499/A/80315,NR/2025/28141/A/80173,NR/2025/27782/A/80284,NR/2025/26563/A/80226,NR/2025/27242/A/80294,NR/2025/26564/A/80227,NR/2025/27724/A/79944,NR/2025/26777/A/79958,NR/2025/27162/A/80298,NR/2025/26569/A/80228,NR/2025/26975/A/80314,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,Total
,,IEXL,SECI_Trader,BRPL,BAWANA_GAS,NDMC,PowerPulse,INSTINCT,KEIPL,DELHI,NVVNL,MANIKARAN,PUNJAB,BRPL,PXIL,APPCPL,NVVNL,PowerPulse,NVVNL,PowerPulse,NVVNL,TPDDL,APPCPL,INSTINCT,HPXL,APPCPL,NVVNL,BRPL,APPCPL,PXIL,NVVNL,PXIL,BRPL,PowerPulse,APPCPL,MANIKARAN,PowerPulse,IEXL,APPCPL,APPCPL,PXIL,BRPL,MANIKARAN,DIAPL,ITCLH,IEXL,NVVNL,APPCPL,PowerPulse,APPCPL,IEXL,PTC,HPXL,APPCPL,IEXL,IEXL,PowerPulse,BRPL,APPCPL,PXIL,PTC,PXIL,KEIPL,IEXL,HPXL,BRPL,APPCPL,PowerPulse,GMRETL,PowerPulse,DIAPL,INSTINCT,APPCPL,PowerPulse,APPCPL,SIMHAPURI,APPCPL,PTC,HPXL,PXIL,APPCPL,PTC,
,,NA,NA,NA,DELHI_UT,NA,NA,NA,CSEB_State,HIMACHAL_STATE,NA,MP_State,DELHI_UT,NA,DVC_STATE,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,CSEB_State,CSEB_State,NA,NA,NA,NA,NA,NA,CSEB_State,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,UTTARAKHAND_STATE,GoHP_Rampur_STATE,MSEB_State,NA,MSEB_State,NA,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,CSEB_State,NA,JK_and_LADAKH_UT,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,CSEB_State,NA,Manipur_State,NA,CSEB_State,ODISHA_STATE,KARNATAKA_STATE,NA,NA,TELANGANA_State,
,,TPSL_BKN2,APSEPL_FTG,TS1PL_BKN,BAWANA_GAS,JIPL,COASTGEN,SIMHAPURI,CSPDCL,CHANJUII,JHABUA_IPP,BLAPOWER_MP,BAWANA_GAS,JPL2,DVC,Manipur_Ben,SORANG_HEP,APL_Raigarh_TPP,ILFS,APL_Raipur_TPP,JPNIGRIE_JNSTPP,JHAJJAR,JPL2,JPL2,PCKL,TRN_ENERGY,Kameng,RIHAND2,RKM_POWER,MBMP,JPNIGRIE_JNSTPP,SORANG_HEP,RIHAND1,MAHAN_ENERGEN,CSEB_Beneficiary,CSEB_Beneficiary,APL_Raigarh_TPP,MBMP,SKS_Raigarh,RKM_POWER,DBPL,RIHAND3,CSEB_Beneficiary,GBHHPL,ITCWIND,ADHPL,ILFS,SKS_Raigarh,COASTGEN,RKM_POWER,SEPLPHASE2,GoHP_Rampur,GRETAENERGY,RKM_POWER,JSWEL_MSEB,KWHEP,APL_Raipur_TPP,JPL2,JPL2,KWHEP,GoHP_Chamera1,MBMP,CSEB_Beneficiary,MBMP,O2Z,DADRT2,TRN_ENERGY,MAHAN_ENERGEN,GBHHPL,MAHAN_ENERGEN,GBHHPL,JPL2,CSEB_Beneficiary,APL_Raigarh_TPP,Manipur_Ben,SIMHAPURI,CSPDCL,NBVL_OTCL,KPTCL,DIKCHU,DBPL,NAVABHARAT,
,,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPDDL,BRPL,HARYANA,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,PUNJAB,BRPL,BYPL,BYPL,TPDDL,TPDDL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,BRPL,BYPL,NDMC,TPDDL,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,TPDDL,BYPL,BYPL,TPDDL,NDMC,NDMC,NDMC,BYPL,BRPL,BYPL,DIAPL,ITCLH,BYPL,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,BYPL,NDMC,MES_Delhi,BRPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,NDMC,BYPL,BRPL,NDMC,TPDDL,BRPL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North-North,East-North,South-West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,West-North,East-North,North East-East-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,South-West-North,North-North,South-West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,South-East-North,West-North,East-West-North,South-East-North,East-North,West-North,South-West-North,
1,00:00-00:15,0,0,0,32,29.16,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3364.250000000001

2,00:15-00:30,0,0,0,32,29.16,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3364.250000000001

3,00:30-00:45,0,0,0,32,29.16,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3364.250000000001

4,00:45-01:00,0,0,0,32,29.16,0,48.32,11.91,15.54,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3364.250000000001

5,01:00-01:15,0,0,0,32,29.16,0,48.32,11.91,15.17,24.16,24.16,32,0,48.32,0,28.99,0,0,0,63.58,146.88,0,0,48.32,0,98.71,23.07,0,0,0,54.11,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,1.93,0.68,32.85,192.64,8.78,193.26,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.32,0,8.7,135.28,8.78,144.94,48.32,0,10.63,193.26,55.99,144.94,27.06,48.32,11.9,24.16,48.32,33.53,48.32,62.81,3363.880000000001

