Block,Time Block,KUDGI,KOTESHWR,KOLDAM,DULHASTI,KKNPPU2,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,JHAJJAR,KHSTPP-I,DHAULIGNGA,FSTPP I & II,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,URI,ANTA_CRF,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,CHAMERA2,DADRT2,CHAMERA1,BSIUL,CHAMERA3,BRBCL,UNCHAHAR1,TEHRIPSP,UNCHAHAR2,TEHRI,TelanganaSTPP,SASAN,SINGRAULI,RIHAND1,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,RIHAND3,RIHAND2,TALST2,TALA,SINGRAULI_HYDRO,TANDA2,TANAKPUR,NLCEXP,PARBATI2,RAPPD,NLCIIST1,RAPPB,NJPC,NLCIIST2,NLCTS2EXP,NAPP,RAMPUR,NNTPP,RAPPC,NTPL,PARBATI3,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,39.1,8.31,53.38,0,0,0,94.01,0,3.7,435.24,43.88,40.92,18.08,19.28,0,1.31,0,0,0,0,0,1.87,0,0,51.07,0,1.71,0,36.07,26.02,45.41,469.42,40.62,0,32.71,24.09,20.46,0,42.03,64.8,0,335.98,87.73,94.76,0,0,0,0,49.28,17.68,126.1,120.74,0,20.4,0,2.94,10.62,0,23.74,23.45,0,0,169.43,0,0,23.59,5.49,0,62.74,0,0,0,0,0,0,0,0

2,00:15-00:30,0,39.1,8.31,53.38,0,0,0,94.01,0,3.7,403.25,43.88,40.92,18.08,0,0,0,0,0,0,0,0,0,0,0,51.07,0,1.71,0,36.07,26.02,45.41,377.95,40.62,0,32.71,24.09,20.46,0,42.03,64.8,0,336.35,87.73,94.76,0,0,0,0,49.28,17.68,126.1,120.74,0,20.4,0,2.94,10.62,0,23.74,23.45,0,0,169.43,0,0,23.59,5.49,0,62.74,0,0,0,0,0,0,0,0

3,00:30-00:45,0,39.1,8.31,53.38,0,0,0,94.01,0,4.53,376,43.88,40.92,18.08,0,0,0,0,0,0,0,0,0,0,0,51.07,0,1.71,0,30.04,26.02,45.41,310.49,40.62,0,32.71,24.09,20.46,0,42.03,64.8,0,336.35,87.73,94.76,0,0,0,0,49.28,17.68,126.1,120.74,0,20.4,0,2.94,10.62,0,23.74,23.45,0,0,169.43,0,0,23.59,5.49,0,62.74,0,0,0,0,0,0,0,0

4,00:45-01:00,0,39.1,8.31,53.38,0,0,0,94.01,0,4.53,318.17,43.88,40.92,17.01,0,0,0,0,0,0,0,0,0,0,0,46.81,0,1.71,0,30.04,22.51,45.41,238.2,40.62,0,32.71,24.09,17.92,0,36.4,64.8,0,336.35,87.73,94.76,0,0,0,0,49.28,17.68,126.1,120.74,0,20.4,0,2.94,10.62,0,23.74,23.45,0,0,169.43,0,0,23.59,5.49,0,62.74,0,0,0,0,0,0,0,0

5,01:00-01:15,0,39.1,8.31,53.38,0,0,0,94.01,0,4.53,283.11,43.88,40.92,18.08,0,0,0,0,0,0,0,0,0,0,0,46.81,0,1.71,0,36.07,26.02,45.41,169.77,40.62,0,32.71,24.09,19.91,0,42.03,64.8,0,336.35,87.73,94.76,0,0,0,0,49.28,17.68,126.1,120.74,0,20.83,0,2.94,10.62,0,23.74,23.45,0,0,169.43,0,0,23.59,5.49,0,62.74,0,0,0,0,0,0,0,0

