Block,Time,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,NR/01082024/31082024/jitpl,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/03082024/03082024/IEX_240802-01871,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/03082024/03082024/DD20240803NR26018,NR/03082024/03082024/HPX-TAMCTG-020824-01969,NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01082024/15082024/APL-Raigarh,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,46.67,0,0,0,0,0,18.66,0,0,0,46.67,0,21.5,0,0,22.21,64.5,0,21.5,0,0,0.000000,12.170000,0.000000,0.000000,261.510000,0.000000,0.000000,48.160000,48.160000,96.320000,96.320000,12.410000,0.000000,0.000000,30.820000,70.190000,86.880000,38.530000,29.270000,5.560000,192.640000,30.820000,100.350000,272.340000,0.000000,0.000000,0.000000,16.830000

2,00:15-00:30,47.33,0,0,0,0,0,19.66,0,0,0,47.33,0,22.34,0,0,22.01,67,0,22.33,0,0,0.000000,12.170000,0.000000,0.000000,261.510000,0.000000,0.000000,48.160000,48.160000,96.320000,96.320000,12.410000,0.000000,0.000000,30.820000,70.190000,86.880000,38.530000,29.270000,5.560000,192.640000,30.820000,100.350000,272.340000,0.000000,0.000000,0.000000,16.830000

3,00:30-00:45,48.33,0,0,0,0,0,21,0,0,0,48.33,0,23.16,0,0,21.81,69.5,0,23.17,0,0,0.000000,12.170000,0.000000,0.000000,205.690000,0.000000,0.000000,48.160000,48.160000,96.320000,96.320000,12.410000,0.000000,0.000000,30.820000,70.190000,57.500000,38.530000,29.270000,5.560000,192.640000,30.820000,65.500000,272.340000,0.000000,0.000000,0.000000,16.830000

4,00:45-01:00,66.67,0,0,0,0,0,22.66,0,0,0,66.67,0,28.5,0,0,21.61,85.5,0,28.5,0,0,0.000000,12.170000,0.000000,0.000000,205.690000,0.000000,0.000000,48.160000,48.160000,96.320000,96.320000,12.410000,0.000000,0.000000,30.820000,70.190000,57.500000,38.530000,29.270000,5.560000,192.640000,30.820000,55.870000,272.340000,0.000000,0.000000,0.000000,16.830000

5,01:00-01:15,66.67,0,0,0,0,0,22.66,0,0,0,66.67,0,28.84,0,0,21.21,86.5,0,28.83,0,0,0.000000,12.170000,0.000000,0.000000,205.690000,0.000000,0.000000,48.160000,48.160000,96.320000,96.320000,12.410000,0.000000,0.000000,14.010000,70.190000,57.500000,38.530000,29.270000,4.910000,192.640000,30.820000,79.950000,272.340000,0.000000,0.000000,0.000000,16.830000

