Block,Time Block,KGSU3AND4,NLCEXP,MAPS,NJPC,NLCIIST1,NAPP,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,TANAKPUR,SIMHST2,UNCHAHAR3,SINGRAULI,TALA,TEHRI,TelanganaSTPP,UNCHAHAR2,TANDA2,UNCHAHAR1,SINGRAULI_HYDRO,SIMHST1,TALST2,TEHRIPSP,URI,VALLURNTECL,UNCHAHAR4,URI2,RAPPD,RSTPSU7,SALAL,SEWA2,RAMPUR,RIHAND3,NNTPP,RAPPC,NTPL,RIHAND2,PARBATI3,PARBATI2,SASAN,RIHAND1,RAPPB,RSTPSU1TO6,NLCTS2EXP,NLCIIST2,BSIUL,JHAJJAR,CHAMERA3,KGSU1AND2,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA1,DADRT2,KKNPPU2,KUDGI,KOLDAM,KISHANGANGA,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,175.05,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,26.96,147.31,4.07,28.22,0,43.06,5.96,21.09,1.15,0,0,50.24,49.08,0,1.7,36.87,24.3,0,82.53,0,6.8,89.26,0,65.92,0,93.2,74.26,56.09,404.66,62.24,0,0,0,0,12.6,413.53,33.91,0,19.09,47.25,42.37,18.93,38.4,40.73,532.29,0,0,10.29,8.42,41.33,20.18,143.3,0,0,0,0,0,0

2,00:15-00:30,0,0,0,175.05,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,26.96,147.31,4.07,28.22,0,43.06,5.96,21.09,1.15,0,0,50.24,49.08,0,1.7,36.87,24.3,0,82.53,0,6.8,89.26,0,65.92,0,93.2,74.26,56.09,404.66,62.24,0,0,0,0,12.6,413.53,33.91,0,14.84,47.25,42.37,18.94,38.4,40.73,532.29,0,0,10.29,8.42,41.33,20.18,143.3,0,0,0,0,0,0

3,00:30-00:45,0,0,0,175.05,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,26.96,147.31,4.07,28.22,0,43.06,5.96,21.09,1.15,0,0,50.24,49.08,0,1.7,36.87,24.3,0,82.53,0,6.8,89.26,0,65.92,0,93.2,74.26,56.09,404.66,62.24,0,0,0,0,12.6,413.53,33.91,0,14.8,47.25,42.37,18.94,38.4,40.73,532.29,0,0,10.29,8.42,41.33,20.18,143.3,0,0,0,0,0,0

4,00:45-01:00,0,0,0,175.05,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,26.96,147.31,4.07,28.22,0,43.06,5.96,21.09,1.15,0,0,0,49.08,0,1.7,36.87,24.3,0,82.53,0,6.8,89.26,0,65.92,0,93.2,74.26,56.09,404.66,62.24,0,0,0,0,12.6,413.53,33.91,0,13.44,47.25,42.37,18.94,38.4,40.73,532.29,0,0,10.29,8.42,41.33,20.18,143.3,0,0,0,0,0,0

5,01:00-01:15,0,0,0,175.05,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,26.96,147.31,4.07,28.22,0,43.06,5.96,21.09,1.15,0,0,0,49.08,0,1.7,36.87,24.3,0,82.53,0,6.8,89.26,0,65.92,0,93.2,74.26,56.09,404.66,62.24,0,0,0,0,12.6,413.53,33.91,0,13.45,47.25,42.37,18.94,38.4,40.73,532.29,0,0,10.29,8.42,41.33,10.09,143.3,0,0,0,0,0,0

