Column1,Block,NR/2024/23648/A/41117,NR/2024/23382/A/41243,NR/2024/23384/A/41104,NR/2024/23640/A/41120,NR/2024/23691/C,NR/2024/23639/A/41121,NR/2024/23383/A/41100,NR/2024/23692/C,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/8106,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/16/4393,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,Total
,,DIAPL,NVVNL,IEXL,SJVNL,TPDDL,SJVNL,ITCLH,NVVNL,NDMC,NDMC,APPCPL,PUNJAB,NDMC,DELHI,PTC,PTC,BAWANA_GAS,NDMC,NDMC,
,,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,
,,GBHHPL,JITPL,NSLSUGAR,TPSL_BKN2,JHAJJAR,RSRPL_BKN,ITCWIND,SOLAPUR_SOLAR,RKM_POWER,SKS_Raigarh,BYPL,BAWANA_GAS,TRN_ENERGY,CHANJUII,BYPL,BRPL,BAWANA_GAS,RKM_POWER,JPL2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,DIAPL,NDMC,MES_Delhi,NDMC,TPDDL,NDMC,ITCLH,MES_Delhi,NDMC,NDMC,AEML,PUNJAB,NDMC,TPDDL,HP,HP,HARYANA,NDMC,NDMC,
,,North-North,East-North,South-West-North,North-North,North-North,North-North,South-West-North,West-North,West-North,West-North,North-West,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,2.89,17.53,6.75,0,175.45,0,0.58,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.8299999999999

2,00:15-00:30,2.89,17.53,6.75,0,175.45,0,0.58,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.8299999999999

3,00:30-00:45,2.89,17.53,6.75,0,175.45,0,0.58,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.8299999999999

4,00:45-01:00,2.89,17.53,6.75,0,175.45,0,0.58,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.8299999999999

5,01:00-01:15,2.89,17.53,6.75,0,175.45,0,0.53,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.78

6,01:15-01:30,2.89,17.53,6.75,0,175.45,0,0.53,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.78

7,01:30-01:45,2.89,17.53,6.75,0,175.45,0,0.53,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.78

8,01:45-02:00,2.89,17.53,6.75,0,175.45,0,0.53,0,26.29,8.76,192.8,0,8.76,5.16,30.57,91.71,0,26.29,26.29,619.78

9,02:00-02:15,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0,8.76,5.06,30.57,91.71,0,26.29,26.29,426.83

10,02:15-02:30,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0,8.76,5.06,30.57,91.71,0,26.29,26.29,426.83

11,02:30-02:45,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.79

12,02:45-03:00,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.79

13,03:00-03:15,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

14,03:15-03:30,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

15,03:30-03:45,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

16,03:45-04:00,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

17,04:00-04:15,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

18,04:15-04:30,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,0.48,8.76,5.06,30.57,91.71,0.48,26.29,26.29,427.74

19,04:30-04:45,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,7.98,8.76,5.06,30.57,91.71,7.98,26.29,26.29,442.74

20,04:45-05:00,2.89,17.53,6.75,0,175.45,0,0.43,0,26.29,8.76,0,7.98,8.76,5.06,30.57,91.71,7.98,26.29,26.29,442.74

21,05:00-05:15,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0,8.76,5.06,30.57,91.71,0,26.29,26.29,426.83

22,05:15-05:30,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0,8.76,5.06,30.57,91.71,0,26.29,26.29,426.83

23,05:30-05:45,2.89,17.53,6.75,0,175.45,0,0.48,0,26.29,8.76,0,0,8.76,5.06,30.57,91.71,0,26.29,26.29,426.83

