Block,Time,BSIUL,CHAMERA2,NLCEXP,NLCIIST2,RSTPSU7,TALA,UNCHAHAR3,UNCHAHAR4,AURY_CRF,KKNPPU2,KOTESHWR,PARBATI2,RAMPUR,RAPPC,RAPPD,RIHAND3,TANAKPUR,DADRI_CRF,KGSU1AND2,KHSTPP-II,SASAN,TALST2,VALLURNTECL,ANTA_CRF,ANTA_LF,ANTA_RF,DADRI_GF,DADRI_RF,CHAMERA1,DULHASTI,FSTPP I & II,NAPP,RAPPB,RIHAND2,RSTPSU1TO6,SALAL,SIMHST1,AURY_RF,KUDGI,MAPS,NLCIIST1,TEHRIPSP,BRBCL,CHAMERA3,KGSU3AND4,KISHANGANGA,NNTPP,TelanganaSTPP,URI2,ANTA_GF,AURY_GF,AURY_LF,DADRT2,DHAULIGNGA,KKNP,KOLDAM,NJPC,SEWA2,UNCHAHAR2,URI,DADRI_LF,JHAJJAR,KHSTPP-I,NLCTS2EXP,NTPL,PARBATI3,RIHAND1,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TANDA2,TEHRI,UNCHAHAR1
1,00:00-00:15,0,0,0,0,0,24.34,27.38,2.97,0,0,45.08,15.49,5.68,65.43,38.75,130.84,11.06,0,0,103.85,393.75,0,0,0,0,52.09,0,105.4,28.1,38.32,20.8,23.85,0,125.27,0,84.83,0,81.96,0,0,0,103.98,18.75,0,0,4.65,0,0,37.73,0,0,0,689.39,42.46,0,8.63,175.8,18.34,44.52,8.83,0,667.27,34.29,0,0,40.15,48.09,0,113.75,0,5.73,82.36,22.41

2,00:15-00:30,0,0,0,0,0,24.34,27.38,2.97,0,0,45.08,15.49,5.68,65.43,38.75,130.84,11.06,0,0,103.85,393.75,0,0,0,0,52.09,0,105.4,28.1,38.32,20.8,23.85,0,125.27,0,84.83,0,81.96,0,0,0,207.96,18.75,0,0,4.65,0,0,37.73,0,0,0,689.39,42.46,0,8.63,175.8,18.34,44.52,8.83,0,667.27,34.29,0,0,40.15,48.09,0,113.75,0,5.73,82.36,22.41

3,00:30-00:45,0,0,0,0,0,24.34,27.38,2.97,0,0,45.08,15.49,5.68,65.43,38.75,130.84,11.06,0,0,108.57,393.75,0,0,0,0,52.09,0,105.4,28.1,38.32,20.8,23.85,0,125.27,0,84.83,0,81.96,0,0,0,207.96,18.75,0,0,4.65,0,0,37.73,0,0,0,689.39,42.46,0,8.63,175.8,18.34,44.52,13.25,0,667.27,34.29,0,0,22.3,48.09,0,113.75,0,5.73,82.36,22.41

4,00:45-01:00,0,0,0,0,0,24.34,27.38,2.97,0,0,45.08,15.49,5.68,65.43,38.75,130.84,11.06,0,0,108.57,393.75,0,0,0,0,52.09,0,105.4,28.1,38.32,20.8,23.85,0,125.27,0,84.83,0,81.96,0,0,0,207.96,18.75,0,0,4.65,0,0,37.73,0,0,0,689.39,42.46,0,8.63,175.8,18.34,44.52,13.25,0,667.27,34.29,0,0,22.3,48.09,0,113.75,0,5.73,82.36,22.41

5,01:00-01:15,0,0,0,0,0,24.34,27.38,2.97,0,0,45.08,15.49,5.68,65.43,38.75,130.84,11.06,0,0,113.3,393.75,0,0,0,0,52.34,0,105.4,28.1,38.32,20.8,23.85,0,125.27,0,84.83,0,81.96,0,0,0,207.96,18.75,0,0,4.65,0,0,37.73,0,0,0,689.39,42.46,0,8.63,175.8,18.34,44.52,35.33,0,667.27,34.29,0,0,35.68,48.09,0,113.75,0,5.73,82.36,22.41

