Block,Time,KOLDAM,KOTESHWR,NLCEXP,NLCIIST2,RIHAND2,SALAL,UNCHAHAR2,URI,AURY_GF,DADRI_RF,BRBCL,CHAMERA2,DHAULIGNGA,JHAJJAR,KHSTPP-II,KUDGI,NNTPP,TEHRI,UNCHAHAR1,AURY_RF,DADRT2,KISHANGANGA,NLCTS2EXP,VALLURNTECL,DADRI_LF,NAPP,RAPPB,RIHAND1,RSTPSU1TO6,RSTPSU7,TANDA2,ANTA_LF,AURY_LF,CHAMERA1,KGSU3AND4,KHSTPP-I,MAPS,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR3,ANTA_CRF,DADRI_CRF,DADRI_GF,BSIUL,PARBATI3,RAPPC,SIMHST1,TALA,TelanganaSTPP,ANTA_RF,DULHASTI,KGSU1AND2,KKNP,KKNPPU2,NLCIIST1,RAMPUR,RIHAND3,SASAN,SINGRAULI,ANTA_GF,AURY_CRF,CHAMERA3,FSTPP I & II,NJPC,NTPL,SEWA2,TALST2,TANAKPUR,UNCHAHAR4,URI2
1,00:00-00:15,0,8.87,0,0,118.76,1.4,21.19,36.43,0,0,20,1.87,0,436.2,98.87,0,0,0,20.56,0,683.14,0,0,0,22.47,43.15,0,92,0,0,0,0,0,0,0,45.22,0,0,0,26.39,28.88,66.85,0,0,0,53.04,0,0,0,0,16.48,0,0,0,0,0,124.32,416.25,139.68,0,70.59,0,17.38,0,0,0,0,3.2,0,18.83

2,00:15-00:30,0,8.87,0,0,118.76,1.4,21.19,36.43,0,0,20,1.87,0,436.2,98.87,0,0,0,20.56,0,683.14,0,0,0,22.47,43.15,0,92,0,0,0,0,0,0,0,45.22,0,0,0,26.39,28.88,66.85,0,0,0,53.04,0,0,0,0,16.48,0,0,0,0,0,124.32,416.25,139.68,0,70.59,0,17.38,0,0,0,0,3.2,0,18.83

3,00:30-00:45,0,8.87,0,0,118.76,1.4,21.19,3.31,0,0,20,1.87,0,436.2,98.87,0,0,0,20.56,0,683.14,0,0,0,22.47,43.15,0,92,0,0,0,0,0,0,0,45.22,0,0,0,26.39,28.88,66.85,0,0,0,53.04,0,0,0,0,16.48,0,0,0,0,0,124.32,416.25,139.68,0,70.59,0,17.38,0,0,0,0,10.25,0,18.83

4,00:45-01:00,0,8.87,0,0,118.76,1.4,21.19,1.44,0,0,20,1.87,0,436.2,98.87,0,0,0,20.56,0,683.14,0,0,0,22.47,43.15,0,92,0,0,0,0,0,0,0,45.22,0,0,0,26.39,28.88,66.85,0,0,0,53.04,0,0,0,0,16.48,0,0,0,0,0,124.32,416.25,139.68,0,70.59,0,17.38,0,0,0,0,10.25,0,18.83

5,01:00-01:15,0,8.87,0,0,118.76,12.78,21.19,1.44,0,0,20,1.87,0,436.2,98.87,0,0,0,20.56,0,683.14,0,0,0,22.47,43.15,0,92,0,0,0,0,0,0,0,45.22,0,0,0,26.39,28.88,66.85,0,0,0,53.04,0,0,0,0,16.48,0,0,0,0,0,124.32,416.25,139.68,0,70.59,0,17.38,0,0,0,0,3.2,0,18.83

