Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,GNA/NR/2025/05/01/3877,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/4138,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/20/6516,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8068,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/20/8885,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,GNA/NR/2025/05/01/7902,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,14.67,43.99,14.67,10,33.33,0,0,0,33.33,7.6,28.98,14.14,100.64,0,0,87.13,9.86,5.9,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,30.28,5.85,3.89,29.1,42.02,0,273.14,0,0,28.98,30,261.4

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,15,45,15,10.33,34,0,0,0,34,8.2,28.98,14.14,100.64,0,0,87.13,9.86,5.9,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,30.28,5.85,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,15,45,15,10.33,35,0,0,0,35,9.2,28.98,14.14,100.64,0,0,87.13,9.86,5.9,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,31.29,5.85,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,15.33,46.01,15.33,10.33,35.67,0,0,0,35.67,9.4,28.98,14.14,100.64,0,0,87.13,9.86,5.9,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,31.29,5.85,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,15.67,46.99,15.67,10.67,36.67,0,0,0,36.67,14,28.98,13.87,100.64,0,0,87.13,9.86,5.81,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,31.29,5.78,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,16,48,16,10.67,38.33,0,0,0,38.33,13.8,28.98,13.87,100.64,0,0,87.13,9.86,5.81,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,31.29,5.78,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,15.67,46.99,15.67,10.67,32.67,0,0,0,32.67,13.6,28.98,13.87,100.64,0,0,87.13,9.86,5.81,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,30.28,5.78,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,15.33,46.01,15.33,10.67,32.67,0,0,0,32.67,13.2,28.98,13.87,100.64,0,0,87.13,9.86,5.81,67.62,13.52,115.51,0,193.2,193.2,22.91,14.49,10.63,6.96,15.36,96.6,30,5.8,0,14.49,30.28,5.78,5.06,29.1,42.02,0,273.14,0,0,28.98,30,261.4

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,15,45,15,10.33,32.33,0,0,0,32.33,18.41,28.98,13.5,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.78,4.91,29.1,0,0,273.14,0,0,0,30,261.4

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,15,45,15,10,32,0,0,0,32,18.01,28.98,13.5,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.78,4.91,29.1,0,0,273.14,0,0,0,30,261.4

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,14.67,43.99,14.67,9.67,41.67,0,0,0,41.67,18.01,28.98,13.5,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.78,4.91,29.1,0,0,273.14,0,0,0,30,261.4

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,14.33,43.01,14.33,9.67,42.33,0,0,0,42.33,17.81,28.98,13.5,100.64,0,0,87.13,5.82,5.71,0,13.52,66.28,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.78,4.91,29.1,0,0,273.14,0,0,0,30,261.4

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,14,42,14,9,42.67,0,0,0,42.67,23.61,28.98,13.22,100.64,0,0,87.13,5.82,5.71,0,13.52,66.28,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,13.67,40.99,13.67,9,43.33,0,0,0,43.33,22.61,28.98,13.22,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.28,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,13.67,40.99,13.67,8.67,43.33,0,0,0,43.33,21.81,28.98,13.22,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,13.5,40.5,13.5,8.67,44,0,0,0,44,20.61,28.98,13.22,100.64,0,0,87.13,5.82,5.71,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,13.5,40.5,13.5,8.67,50,0,0,0,50,20.21,28.98,13.03,100.64,0,0,87.13,5.82,5.62,0,13.52,115.51,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,13.33,40.01,13.33,8.33,49.33,0,0,0,49.33,20.01,28.98,13.03,100.64,0,0,87.13,5.82,5.62,0,13.52,66.28,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,18.33,55.01,18.33,13.67,48.33,0,0,0,48.33,19.21,28.98,13.03,100.64,0,0,87.13,5.82,5.62,0,13.52,66.28,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,18,54,18,13.67,47.67,0,0,0,47.67,18.41,28.98,13.03,100.64,0,0,87.13,5.82,5.62,0,13.52,66.28,0,0,193.2,22.91,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.62,4.91,29.1,0,0,273.14,0,0,0,30,261.4

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,17.5,52.5,17.5,13.67,46.67,0,0,0,46.67,17.61,28.98,12.76,100.64,0,0,64.35,5.82,5.62,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.54,4.68,29.1,0,0,273.14,0,0,0,30,261.4

22,05:15-05:30,0,0,0,0,0,0,0,0,0.02,0,17,51,17,13.67,46.67,0,0,0,46.67,17.01,28.98,12.76,100.64,0,0,46.37,5.82,5.62,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.54,4.68,29.1,0,0,273.14,0,0,0,30,261.4

23,05:30-05:45,0,0,0,0,0,0,0,0,0.11,0.13,16.67,49.99,16.67,13.67,46.67,0,0,0,46.67,23.41,28.98,12.76,100.64,0,0,46.37,5.82,5.62,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,31.29,5.54,4.68,29.1,0,0,273.14,0,0,0,30,184.2

24,05:45-06:00,0,0,0,0,0,0,0,0,0.13,1.61,15.67,46.99,15.67,13.67,44.33,0,0,0,44.33,22.61,28.98,12.76,100.64,0,0,58.61,5.82,5.62,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,30,0,96.6,14.49,30.27,5.54,4.68,29.1,0,0,273.14,0,0,0,30,220.61

25,06:00-06:15,0.45,1,0,1,0,0,2.26,1,0.67,3.36,14.67,43.99,14.67,13.33,42.67,5.2,0,5.2,42.67,22.01,28.98,12.48,100.64,0,0,58.61,5.82,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,4.14,8.69,96.6,26.7,0,96.6,14.49,31.29,5.54,4.68,29.1,0,0,273.14,0,0,0,26.7,201.29

26,06:15-06:30,0.75,2,1,2,0,1,3.77,2,1.41,6.79,14.5,43.5,14.5,13.33,42,18.6,0,15.6,42,21.61,28.98,12.48,100.64,0,0,58.61,5.82,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.99,8.55,96.6,26.7,0,96.6,14.49,31.29,5.54,4.68,29.1,0,0,273.14,0,0,0,26.7,176.48

27,06:30-06:45,2.15,3,3,3,0,2,10.76,3,4.68,11.03,14.17,42.49,14.17,13.67,41.33,29.25,3,30.09,41.33,27.01,28.98,12.48,100.64,0,0,46.37,5.76,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.84,7.31,96.6,26.7,0,96.6,14.49,30.79,5.39,4.68,29.1,0,0.55,231.84,0.73,0.73,0,26.7,130.41

28,06:45-07:00,3.67,5,6,6,0,3,18.32,7,7.81,16.17,14.17,42.49,14.17,14,40,33,6,33,40,26.61,28.98,12.48,100.64,0,0,46.37,5.49,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.84,7.31,96.6,26.7,0,96.6,14.49,30.27,5.39,4.68,29.1,0,1.04,193.2,1.36,1.36,0,26.7,130.41

29,07:00-07:15,5.81,7,10,9,0,8,29.05,16,11.75,22.08,14.17,42.49,14.17,14,42.33,33,10,33,42.33,26.01,28.98,12.2,85.01,0,0,46.37,4.25,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.84,7.31,96.6,26.7,0,96.6,14.49,30.27,5.39,4.52,29.1,0,1.67,150.22,2.16,2.16,0,26.7,130.41

30,07:15-07:30,8.34,9,15,13,0,10,41.69,20,16.85,28.7,13.83,41.51,13.83,13.67,44.33,33,12,33,44.33,25.61,28.98,12.2,85.01,0,0,46.37,4.25,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.84,7.31,96.6,26.7,0,96.6,14.49,30.27,5.39,4.52,29.1,0,2.4,150.22,3.09,3.09,0,26.7,130.41

31,07:30-07:45,11.16,15,21,20,0,14,55.77,28,22.91,35.64,17.5,52.5,17.5,13.67,53.33,33,18,33,53.33,25.01,28.98,12.2,85.01,0,0,46.37,4.25,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.31,96.6,26.7,0,96.6,14.49,30.27,5.39,4.52,29.1,0,3.27,150.22,4.23,4.23,0,26.7,130.41

32,07:45-08:00,14.53,19,27,26,0,18,72.67,37,29.65,43.07,17.5,52.5,17.5,14,53.33,33,25,33,53.33,24.41,28.98,12.2,85.01,0,0,46.37,4.25,5.43,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.31,96.6,26.7,0,96.6,14.49,30.27,5.39,4.52,29.1,0,4.19,150.22,5.42,5.42,0,26.7,130.41

33,08:00-08:15,18.48,23,36,37,0,22,92.42,43,36.89,50.72,17.5,52.5,17.5,15,53.33,33,33,33,53.33,24.01,28.98,12.02,85.01,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.7,0,0,14.49,31.29,5.31,4.52,29.1,0,4.99,150.22,6.47,6.47,0,26.7,130.41

34,08:15-08:30,22.25,26,42,43,0,25,111.27,49,44.19,58.47,17.5,52.5,17.5,15.67,53.33,33,33,33,53.33,24.01,28.98,12.02,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.7,0,0,14.49,31.29,5.31,4.52,29.1,0,5.91,150.22,7.66,7.66,0,26.7,130.41

35,08:30-08:45,25.88,29,48,51,0,28,129.37,56,51.47,66.29,17.5,52.5,17.5,16,53.33,33,33,33,53.33,24.01,28.98,12.02,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.7,0,0,14.49,31.29,5.31,4.52,29.1,0,6.8,150.22,8.81,8.81,0,26.7,130.41

36,08:45-09:00,29.36,32,52,57,0,31,146.82,63,58.9,90.43,17.5,52.5,17.5,17.67,54,33,33,33,54,24.01,28.98,12.02,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.7,0,0,14.49,31.29,5.31,4.52,29.1,0,7.61,150.22,9.85,9.85,0,26.7,130.41

37,09:00-09:15,32.92,34,58,63,0,34,164.61,68,66.11,99.72,17.33,52.01,17.33,12.33,45,33,33,33,45,24.01,28.98,11.83,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.75,0,0,14.49,30.27,5,4.37,29.1,0,8.48,150.22,10.98,10.98,0,26.75,130.41

38,09:15-09:30,36.18,37,64,67,0,37,180.88,74,72.26,107.54,17.17,51.49,17.17,12.33,45,33,33,33,45,24.01,28.98,11.83,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.75,0,0,14.49,30.27,5,4.37,29.1,0,9.23,150.22,11.95,11.95,0,26.75,130.41

39,09:30-09:45,39.02,39,69,74,0,39,195.12,79,78.16,114.64,14.5,43.5,14.5,12.33,45.33,33,33,33,45.33,30.01,28.98,11.83,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.75,0,0,14.49,30.78,5,4.37,29.1,0,9.85,150.22,12.75,12.75,0,26.75,130.41

40,09:45-10:00,41.72,41,73,81,0,41,208.57,82,83.74,121.47,14.33,43.01,14.33,12.33,46.33,33,33,33,46.33,29.61,28.98,11.83,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,3.89,7.82,96.6,26.75,0,0,14.49,31.29,5,4.37,29.1,0,10.59,150.22,13.7,13.7,0,26.75,130.41

41,10:00-10:15,44.39,43,78,85,0,44,221.96,88,88.76,127.71,14.17,42.49,14.17,17,47,33,33,33,47,29.21,28.98,11.65,53.13,0,0,46.37,4.25,5.34,0,13.52,66.28,0,0,193.2,24.15,0,10.63,1.19,7.82,96.6,26.75,0,0,14.49,31.29,4.93,4.37,29.1,0,11.17,150.22,14.47,14.47,0,26.75,130.41

