Column1,Block,NR/01082024/31082024/jitpl,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22689/C,NR/2024/22690/C,NR/2024/22691/C,NR/2024/22669/C,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/2024/22623/A/32930,NR/2024/21943/A/33141,NR/2024/21918/A/33217,NR/2024/21954/A/33142,NR/2024/22014/A/32869,NR/2024/21940/A/33143,NR/2024/21961/A/33154,NR/2024/21658/A/32875,NR/2024/21938/A/33153,NR/2024/21983/A/32895,NR/2024/22279/A/32865,NR/2024/21974/A/33162,NR/2024/21956/A/33144,NR/2024/21971/A/33160,NR/2024/21814/A/33167,NR/2024/21933/A/32896,NR/2024/21860/A/33074,NR/2024/21966/A/32915,NR/2024/21968/A/33157,NR/2024/21970/A/33166,NR/2024/21911/A/33118,NR/2024/22498/A/33224,NR/2024/22010/A/33226,NR/2024/22042/A/32868,NR/01102023/14082046/L_NR_2021_16,NR/2024/22688/C,NR/2024/22535/A/32918,NR/01102023/02012046/L_NR_2021_17,NR/2024/22534/A/32919,Total
88,21:45-22:00,24.68,0,32,19,21.25,0,0,164.41,241.42,96.57,32,96.57,0,48.28,24.14,12.44,11.59,38.63,90.78,24.07,1.93,84.19,0,0.77,0,0,4.83,37.3,43.46,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1337.7699999999995

89,22:00-22:15,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,10.62,38.63,90.78,24.07,1.93,84.19,97.78,0.77,32.59,0,4.83,37.3,43.46,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1463.9561999999996

90,22:15-22:30,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,10.62,38.63,90.78,24.07,1.93,84.19,97.78,0.77,32.59,0,4.83,37.3,43.46,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1463.9561999999996

91,22:30-22:45,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.77,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.1361999999995

92,22:45-23:00,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.77,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.1361999999995

93,23:00-23:15,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.72,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.0861999999995

94,23:15-23:30,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.72,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.0861999999995

95,23:30-23:45,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.72,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.0861999999995

96,23:45-24:00,24.68,0,30.5331,18.72,21.25,0,0,164.41,241.42,96.57,30.5331,96.57,0,48.28,24.14,12.44,9.66,38.63,90.78,24.07,1.93,84.19,97.78,0.72,32.59,0,4.83,37.3,67.6,37.3,48.28,0,48.28,0,37.3,12.44,0,0,0,3.86,0,0,0,0,0,1487.0861999999995

