Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/2594,GNA/SR/2025/02/01/6460,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/16/1380,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/5886,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/4863,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/16/1676,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,0,0,23.07,75,26.74,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,4.53,6.67,0,0,0,0,0,0,13.61,0,0,4.53,0,0,0,0,0,25.81,0,0,192.69,47.56,0,1.38,100.15,271.81,0.92

2,00:15-00:30,0,0,23.07,75,26.74,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,4.23,6.67,0,0,0,0,0,0,12.68,0,0,4.23,0,0,0,0,0,24.01,0,0,192.69,47.56,0,1.38,100.15,271.81,0.92

3,00:30-00:45,0,0,23.07,75,27.25,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,22.01,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

4,00:45-01:00,0,0,23.07,75,27.25,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,20.01,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

5,01:00-01:15,0,0,23.07,75,27.25,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,21.01,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

6,01:15-01:30,0,0,23.07,75,27.25,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,20.01,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

7,01:30-01:45,0,0,23.07,75,26.74,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,21.61,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

8,01:45-02:00,0,0,23.07,75,26.74,15.85,65,23.07,23.07,0,0.62,1.2,70.13,0,22.92,8.65,22.92,8.65,14,14,7.17,6.67,0,0,0,0,0,0,21.49,0,0,7.17,0,0,0,0,0,20.61,0,0,132.87,47.56,0,1.38,100.15,271.81,0.92

