Block,Time,L_NR_2023_04,L_NR_2012_04,LT-59,LT-35,L_NR_2012_02,LT-36,L_NR_2020_02,SH-07,LT-05,LT-31,L_NR_2012_07,L_NR_2019_11,SH-06,L_NR_2012_01,L_NR_2020_05,L_NR_2023_07,L_NR_2019_06,L_NR_2021_12,L_NR_2019_05,L_NR_2020_06,L_NR_2022_10,L_NR_2023_10,L_NR_2019_19,L_NR_2021_13,L_NR_2022_08,L_NR_2021_16,L_NR_2020_07,L_NR_2022_09,L_NR_2018_61,L_NR_2021_14,L_NR_2019_07,L_NR_2021_17,L_NR_2021_15
1,00:00-00:15,29.840000,272.870000,7.650000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.560000,31.050000,101.630000,36.35,0,0,0,0,12.12,34.88,0,0,0,10.32,0,12.12,34.88,7.4,0,0,0,0

2,00:15-00:30,29.840000,272.870000,7.650000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.560000,31.050000,101.630000,36.51,0,0,0,0,12.17,34.87,0,0,0,10.48,0,12.16,34.87,7.4,0,0,0,0

3,00:30-00:45,29.840000,272.870000,7.650000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.560000,31.050000,101.630000,42.85,0,0,0,0,14.28,40.05,0,0,0,13.53,0,14.3,40.05,7.4,0,0,0,0

4,00:45-01:00,29.840000,272.870000,7.650000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.560000,31.050000,101.630000,43.42,0,0,0,0,14.47,39.95,0,0,0,13.61,0,14.47,39.95,7.69,0,0,0,0

5,01:00-01:15,29.840000,272.870000,7.570000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.410000,31.050000,101.630000,43.87,0,0,0,0,14.62,39.88,0,0,0,13.73,0,14.62,39.88,8.15,0,0,0,0

6,01:15-01:30,29.840000,272.870000,7.570000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.410000,31.050000,101.630000,44.31,0,0,0,0,14.77,51.05,0,0,0,13.81,0,14.76,51.05,8.73,0,0,0,0

7,01:30-01:45,29.840000,272.870000,7.570000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.410000,31.050000,101.630000,45.07,0,0,0,0,15.02,50.93,0,0,0,13.85,0,15.02,50.93,8.97,0,0,0,0

8,01:45-02:00,29.840000,272.870000,7.570000,0.000000,262.540000,0.000000,5.970000,31.050000,58.210000,0.000000,0.000000,7.410000,31.050000,101.630000,45.44,0,0,0,0,15.15,50.83,0,0,0,13.89,0,15.15,50.83,9.24,0,0,0,0

9,02:00-02:15,29.840000,272.870000,7.410000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,59.07,0,0,0,0,19.69,50.54,0,0,0,15.59,0,19.69,50.54,11.52,0,0,0,0

10,02:15-02:30,29.840000,272.870000,7.410000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,58.06,0,0,0,0,19.35,49.55,0,0,0,15.67,0,19.37,49.55,11.4,0,0,0,0

11,02:30-02:45,29.840000,272.870000,5.460000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,57.17,0,0,0,0,19.06,49.37,0,0,0,15.77,0,19.05,49.37,11.31,0,0,0,0

12,02:45-03:00,29.840000,272.870000,6.640000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,56.01,0,0,0,0,18.67,49.2,0,0,0,15.87,0,18.66,49.2,11.09,0,0,0,0

13,03:00-03:15,29.840000,272.870000,7.020000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,54.4,0,0,0,0,18.13,50.04,0,0,0,15.95,0,18.14,50.04,11.01,0,0,0,0

14,03:15-03:30,29.840000,272.870000,7.020000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,52.67,0,0,0,0,17.56,49.38,0,0,0,15.41,0,17.55,49.38,10.89,0,0,0,0

15,03:30-03:45,29.840000,272.870000,7.020000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,49.47,0,0,0,0,16.49,49.08,0,0,0,12.33,0,16.48,49.08,12.27,0,0,0,0

16,03:45-04:00,29.840000,272.870000,7.020000,0.000000,262.540000,0.000000,5.880000,31.050000,58.210000,0.000000,0.000000,7.100000,31.050000,101.630000,48.68,0,0,0,0,16.23,48.75,0,0,0,12.06,0,16.23,48.75,12.25,0,0,0,0

