Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,NR/01062024/30062024/R2,NR/01102023/31052040/LT-31,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/05012040/L_NR_2020_02,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/IEPL01,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.450000,30.910000,30.910000,262.210000,24.140000,7.760000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15,0,10.61,0,0,0,0,39.33,0,39.33,0,0,0,0,45,0,0,15,0,18.34,0

2,00:15-00:30,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.450000,30.910000,30.910000,262.210000,24.140000,7.760000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15,0,11.01,0,0,0,0,38.33,0,38.33,0,0,0,0,45,0,0,15,0,18.34,0

3,00:30-00:45,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.450000,30.910000,30.910000,262.210000,24.140000,7.760000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15.33,0,11.41,0,0,0,0,38,0,38,0,0,0,0,46,0,0,15.34,0,18.66,0

4,00:45-01:00,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.450000,30.910000,30.910000,262.210000,24.140000,7.760000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15.67,0,12.01,0,0,0,0,32,0,32,0,0,0,0,47,0,0,15.66,0,18.34,0

5,01:00-01:15,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.350000,30.910000,30.910000,262.210000,24.140000,7.620000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15.17,0,13,0,0,0,0,32,0,32,0,0,0,0,45.5,0,0,15.16,0,18.34,0

6,01:15-01:30,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.350000,30.910000,30.910000,262.210000,24.140000,7.620000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15.17,0,12.6,0,0,0,0,33.67,0,33.67,0,0,0,0,45.5,0,0,15.16,0,18.34,0

7,01:30-01:45,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.350000,30.910000,30.910000,262.210000,24.140000,7.620000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.780000,48.290000,15.33,0,16.2,0,0,0,0,53.33,0,53.33,0,0,0,0,46,0,0,15.34,0,19.34,0

8,01:45-02:00,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.990000,7.680000,0.000000,273.080000,115.470000,24.140000,0.000000,24.140000,12.350000,30.910000,30.910000,262.210000,24.140000,7.620000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.280000,48.290000,15.83,0,16.4,0,0,0,0,52.67,0,52.67,0,0,0,0,47.5,0,0,15.84,0,19.66,0

9,02:00-02:15,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.760000,7.380000,0.000000,273.080000,94.650000,24.140000,0.000000,24.140000,12.170000,30.910000,30.910000,262.210000,24.140000,7.430000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.280000,48.290000,16,0,16.2,0,0,0,0,45,0,45,0,0,0,0,48,0,0,16,0,14.66,0

10,02:15-02:30,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.760000,7.380000,0.000000,273.080000,66.250000,24.140000,0.000000,24.140000,12.170000,30.910000,30.910000,262.210000,24.140000,7.430000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.280000,48.290000,16,0,16,0,0,0,0,45,0,45,0,0,0,0,48,0,0,16,0,15,0

11,02:30-02:45,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.760000,7.380000,0.000000,273.080000,66.250000,24.140000,0.000000,24.140000,12.170000,30.910000,30.910000,262.210000,24.140000,7.430000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.280000,48.290000,16.17,0,22.41,0,0,0,0,44.33,0,44.33,0,0,0,0,48.5,0,0,16.16,0,15,0

12,02:45-03:00,0.000000,48.290000,100.620000,0.000000,87.120000,38.630000,16.110000,6.760000,7.380000,0.000000,273.080000,66.250000,24.140000,0.000000,24.140000,12.170000,30.910000,30.910000,262.210000,24.140000,7.430000,24.140000,24.140000,24.140000,0.000000,38.630000,24.690000,48.290000,30.280000,48.290000,16.33,0,22.41,0,0,0,0,44,0,44,0,0,0,0,49,0,0,16.34,0,14.66,0

