Block,Time,KHSTPP-I,MAPS,NLCIIST2,RAPPC,TANAKPUR,URI,DADRI_CRF,DADRI_RF,CHAMERA3,KKNP,NLCIIST1,SIMHST1,SIMHST2,UNCHAHAR1,ANTA_GF,DHAULIGNGA,KHSTPP-II,KISHANGANGA,KOLDAM,RIHAND1,DADRI_GF,NNTPP,RAPPB,RSTPSU1TO6,RSTPSU7,UNCHAHAR2,URI2,DADRI_LF,KOTESHWR,NLCTS2EXP,TALA,TEHRI,UNCHAHAR4,BSIUL,CHAMERA1,CHAMERA2,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KKNPPU2,PARBATI3,RAMPUR,TALST2,TelanganaSTPP,VALLURNTECL,ANTA_CRF,ANTA_LF,AURY_GF,AURY_LF,AURY_RF,BRBCL,DADRT2,NJPC,NLCEXP,RIHAND2,SASAN,SEWA2,SINGRAULI,TANDA2,ANTA_RF,AURY_CRF,FSTPP I & II,KUDGI,NAPP,NTPL,RIHAND3,SALAL,SINGRAULI_HYDRO,UNCHAHAR3
1,00:00-00:15,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

2,00:15-00:30,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

3,00:30-00:45,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

4,00:45-01:00,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

5,01:00-01:15,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

6,01:15-01:30,33.69,0,0,25.88,5.76,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,1.4,0,26.39

7,01:30-01:45,33.69,0,0,25.88,0,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,9.29,0,26.39

8,01:45-02:00,33.69,0,0,25.88,0,1.11,0,69.05,0,0,0,0,0,10.27,0,0,148.3,0,0,92,0,0,0,0,0,42.39,4.31,23.57,8.88,0,0,0,0,0,0,0,16.48,654.3,0,0,0,0,0,0,0,0,0,0,0,0,71.46,20,683.14,0,0,118.75,416.25,0,125.96,0,44.83,0,20.8,0,44.21,0,124.32,41.83,0,26.39

