Column1,Time,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/jitpl,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,NR/16082024/31082024/MPL/24-25/STOA/128,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/01102023/15082037/GNA_NR_2012_01,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01102023/06022042/L_NR_2012_02,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/SKS-Raigarh,NR/01102023/14082046/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,70.37,0,6.39,87.11,24.68,0,0,0,273.05,0,0,32,12.26,5.21,21.25,9.17,0,0,27.5,0,0,100.61,96.57,32,96.57,262.19,38.63,48.28,24.14,31.29,12.44,0,20,0,10,20,0,0,0,9.16,0,0,0,0,14.56,0

2,00:15-00:30,70.37,0,6.39,87.11,24.68,0,0,0,273.05,0,0,32,12.26,5.21,21.25,9.33,0,0,28,0,0,100.61,96.57,32,96.57,262.19,38.63,48.28,24.14,31.29,12.44,0,20.33,0,10,20.33,0,0,0,9.34,0,0,0,0,11.79,0

3,00:30-00:45,70.37,0,6.39,87.11,24.68,0,0,0,273.05,0,0,32,12.26,5.21,21.25,9.5,0,0,28.5,0,0,100.61,96.57,32,96.57,262.19,38.63,48.28,24.14,31.29,12.44,0,20.67,0,10,20.67,0,0,0,9.5,0,0,0,0,9.46,0

4,00:45-01:00,70.37,0,6.39,87.11,24.68,0,0,0,273.05,0,0,32,12.26,5.21,21.25,9.33,0,0,28,0,0,100.61,96.57,32,96.57,262.19,38.63,48.28,24.14,31.29,12.44,0,20.67,0,10,20.67,0,0,0,9.34,0,0,0,0,7.34,0

5,01:00-01:15,70.37,0,6.39,57.65,24.68,0,0,0,273.05,0,0,32,12.26,5.01,21.25,9.5,0,0,28.5,0,0,53.11,96.57,26.2006,96.57,171.55,38.63,48.28,24.14,31.29,12.44,0,21,0,10,21,0,0,0,9.5,0,0,0,0,6.96,0

6,01:15-01:30,70.37,0,6.39,57.65,24.68,0,0,0,273.05,0,0,32,12.26,5.01,21.25,9.67,0,0,29,0,0,53.11,96.57,26.2006,96.57,171.55,38.63,48.28,24.14,31.29,12.44,0,21.67,0,10,21.67,0,0,0,9.66,0,0,0,0,6.96,0

7,01:30-01:45,70.37,0,6.39,57.65,24.68,0,0,0,273.05,0,0,26.2006,12.26,5.01,21.25,9.83,0,0,29.5,0,0,53.11,96.57,26.2006,96.57,171.55,38.63,48.28,24.14,31.29,12.44,0,21.67,0,9.66,21.67,0,0,0,9.84,0,0,0,0,6.96,0

