Block,Time,UNCHAHAR1,SALAL,UNCHAHAR4,AURY_CRF,AURY_RF,BSIUL,URI2,AURY_GF,SINGRAULI_HYDRO,TANAKPUR,DULHASTI,JHAJJAR,DADRT2,RIHAND1,SINGRAULI,CHAMERA1,URI,KISHANGANGA,DHAULIGNGA,TANDA2,DADRI_GF,DADRI_LF,TEHRI,PARBATI3,KOLDAM,RAMPUR,ANTA_CRF,ANTA_RF,ANTA_LF,RAPPB,UNCHAHAR2,KOTESHWR,SEWA2,UNCHAHAR3,ANTA_GF,NAPP,DADRI_CRF,AURY_LF,RIHAND3,NJPC,RAPPC,RIHAND2,CHAMERA3,CHAMERA2,DADRI_RF,FSTPP I & II,TALA,KHSTPP-I,SASAN,KHSTPP-II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.042527,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,40.420752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.946607,8.075094,15.540581,18.399478,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,16.018573,0.000000,29.401973,403.484895,122.817441,19.269968,0,0,0,0,0

2,00:15-00:30,8.042527,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,40.420752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.946607,8.075094,15.540581,18.399478,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,16.018573,0.000000,29.401973,403.484895,114.145941,19.000908,0,0,0,0,0

3,00:30-00:45,8.042527,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,34.038528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.946607,8.075094,15.540581,18.399478,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,16.018573,0.000000,29.401973,403.484895,114.145941,18.151877,0,0,0,0,0

4,00:45-01:00,8.042527,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,34.038528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.946607,8.075094,15.540581,18.399478,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,16.018573,0.000000,29.401973,403.484895,114.145941,16.873538,0,0,0,0,0

5,01:00-01:15,7.708000,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,34.038528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.478455,8.075094,15.540581,14.452500,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,16.018573,0.000000,29.401973,333.852750,114.145941,13.885034,0,0,0,0,0

6,01:15-01:30,7.708000,25.750501,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,40.420752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.478455,8.075094,15.540581,14.452500,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,13.262963,0.000000,26.659274,333.852750,94.779591,14.319181,0,0,0,0,0

7,01:30-01:45,7.708000,24.630914,0.000000,0.000000,0.000000,6.282791,30.733128,0.000000,0.792565,0.000000,1.854256,231.240000,361.428120,88.642000,121.003556,0.000000,40.420752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.271148,8.075094,15.540581,14.452500,0.000000,41.469425,0.000000,0.000000,59.573205,0.000000,51.963964,113.813438,0.000000,0.000000,0.000000,13.262963,0.000000,26.659274,333.852750,94.779591,13.494151,0,0,0,0,0

