Column1,Block,GNA/NR/2025/04/23/5165,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/23/7818,GNA/NR/2025/04/23/3759,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/23/9598,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/2025/26106/C,NR/2025/25948/A/66423,NR/2025/25955/A/66422,NR/2025/26031/A/66132,WR/2025/27361/A/66433,GNA/NR/2025/04/01/1333,NR/30092023/26122029/SH-06,GNA/NR/2025/04/23/3332,NR/2025/25945/A/66425,GNA/NR/2025/04/23/4454,NR/2025/25947/A/66424,GNA/NR/2025/04/01/5285,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/27350/A/66119,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/23/9647,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/23/1623,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/23/9481,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/23/7720,NR/2025/25752/A/66027,GNARE/NR/2024/12/20/3668,Total
,,IEXL,PXIL,IEXL,IEXL,HPXL,IEXL,NDMC,IEXL,NDMC,PowerPulse,HPXL,APPCPL,APPCPL,DIAPL,APPCPL,IEXL,PUNJAB,IEXL,APPCPL,IEXL,APPCPL,IEXL,DELHI,KEIPL,APPCPL,IEXL,IVPL_Trader,IEXL,IEXL,HPXL,IEXL,HPXL,HPXL,IEXL,BAWANA_GAS,IEXL,HPXL,IEXL,IEXL,SECI_Trader,
,,GoHP_Koldam_STATE,UTTARPRADESH_STATE,GoHP_Koldam_STATE,GoHP_Rampur_STATE,NA,GoHP_Chamera2_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,DELHI_UT,GoHP_Koldam_STATE,NA,GoHP_Parbati3_STATE,NA,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,GoHP_NJPC_STATE,SIKKIM_STATE,NA,HIMACHAL_STATE,NA,CSEB_State,GoHP_Chamera1_STATE,DELHI_UT,SIKKIM_STATE,NA,GoHP_PARBATI2_STATE,NA,NA,
,,GoHP_Koldam,LAPL_UP,GoHP_Koldam,GoHP_Rampur,SIMHAPURI,GoHP_Chamera2,SKS_Raigarh,JPNIGRIE_JNSTPP,JPL2,APL_Raipur_TPP,CPTTNPL,TRN_ENERGY,JIPL,GBHHPL,BYPL,RCHEP,BAWANA_GAS,GoHP_Koldam,RKM_POWER,GoHP_Parbati3,RKM_POWER,MEYONGCHU_HEP,CHANJUII,BYPL,BYPL,KGEPL_HP,BYPL,GoHP_NJPC,Kalez_Khola_HEP,SINGOLI,RHPPL_HP,JPL2,MSPLTD,GoHP_Chamera1,BAWANA_GAS,LLHEP1234,JPL,GoHP_PARBATI2,TPSL_BKN2,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,KERALA_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,BYPL,NDMC,NDMC,DIAPL,CSEB_Beneficiary,BRPL,PUNJAB,BRPL,NDMC,BRPL,NDMC,BRPL,TPDDL,CSEB_Beneficiary,KSEB,BRPL,TPC_MSEB,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,
,,North-North,North-North,North-North,North-North,South-East-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,North-North,North-West,East-North,North-North,North-North,West-North,North-North,West-North,East-North,North-North,North-West,North-West-South,North-North,North-West,North-North,East-North,North-North,North-North,West-North,West-North,North-North,North-North,East-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0,48.08,0,0,28.84,0,14.57,19.23,22.11,96.15,20.58,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,10.49,0,52.5,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,0,0,719.02

2,00:15-00:30,0,48.08,0,0,28.84,0,14.57,19.23,22.11,96.15,20.58,14.57,28.97,3.85,24.04,2.88,32,0,43.7,0,43.7,2.88,10.49,0,52.5,9.62,0,0,2.88,0,1.92,72.11,9.62,0,32,9.62,72.11,0,0,0,719.02

3,00:30-00:45,0,48.08,0,0,28.84,0,14.57,19.23,22.11,96.15,20.67,14.57,28.97,3.85,24.04,2.88,32,74.04,43.7,0,43.7,2.88,10.49,0,52.5,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,854.69

4,00:45-01:00,0,48.08,0,0,28.84,0,14.57,19.23,22.11,96.15,20.77,14.57,28.97,3.85,24.04,2.88,32,74.04,43.7,0,43.7,2.88,10.49,0,52.5,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,854.7900000000001

5,01:00-01:15,0,48.08,0,0,28.84,0,14.57,19.23,22.11,96.15,21.92,14.57,28.97,3.85,24.04,2.88,32,74.04,43.7,0,43.7,2.88,10.39,0,52.5,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,883.72

6,01:15-01:30,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,23.36,14.57,28.97,3.85,24.04,2.88,32,74.04,43.7,0,43.7,2.88,10.39,0,52.5,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,908.2399999999999

7,01:30-01:45,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,24.9,14.57,28.97,3.85,24.04,2.88,32,49.04,43.7,0,43.7,2.88,10.39,0,52.5,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.78

8,01:45-02:00,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,26.54,14.57,28.97,3.85,24.04,2.88,32,23.08,43.7,0,43.7,2.88,10.39,0,52.5,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,860.4599999999999

9,02:00-02:15,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,27.5,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.31,96.15,0,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.0999999999999

10,02:15-02:30,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,28.27,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.31,96.15,0,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.87

11,02:30-02:45,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,28.85,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.31,96.15,0,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,903.4499999999999

12,02:45-03:00,0,48.08,0,0,28.84,23.08,14.57,19.23,22.11,96.15,29.42,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.31,96.15,0,9.62,0,0,2.88,27.88,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,904.02

13,03:00-03:15,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,19.23,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.21,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,887.4399999999999

14,03:15-03:30,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,17.98,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.21,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,886.1899999999999

15,03:30-03:45,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,17.21,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.21,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,885.42

16,03:45-04:00,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.54,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.21,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.75

17,04:00-04:15,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.35,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.03,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.3799999999999

18,04:15-04:30,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.44,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.03,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.4699999999999

19,04:30-04:45,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.54,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.03,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.5699999999999

20,04:45-05:00,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.73,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,10.03,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.7599999999999

21,05:00-05:15,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,16.35,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,9.85,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,884.1999999999999

22,05:15-05:30,0,48.08,0,0,28.84,23.08,14.57,19.23,43.7,96.15,15.86,14.57,28.97,3.85,24.04,2.88,32,20.19,43.7,0,43.7,2.88,9.85,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,883.7099999999999

23,05:30-05:45,0,48.08,0.96,0,28.84,23.08,14.57,19.23,43.7,96.15,15.29,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.85,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,911.99

24,05:45-06:00,0,48.08,0.96,0,28.84,23.08,14.57,19.23,43.7,96.15,14.71,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.85,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,911.41

25,06:00-06:15,0,48.08,0.96,0,28.84,23.08,14.57,19.23,43.7,96.15,14.42,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.66,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,910.93

26,06:15-06:30,0,48.08,0.96,0,28.84,23.08,14.57,19.23,43.7,96.15,13.08,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.66,96.15,0,9.62,0,0,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0.25,909.8399999999999

27,06:30-06:45,0,48.08,0.96,0,28.84,11.54,14.57,19.23,43.7,96.15,11.44,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.66,96.15,0,9.62,0,46.15,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,1.87,944.4299999999998

28,06:45-07:00,0,48.08,0.96,0,28.84,11.54,14.57,19.23,43.7,96.15,9.62,14.57,28.97,3.85,24.04,2.88,32,48.08,43.7,0,43.7,2.88,9.66,96.15,0,9.62,0,46.15,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,5.95,946.6899999999999

