Block,Time,NJPC,NLCIIST1,NNTPP,RIHAND2,RIHAND3,TANDA2,TelanganaSTPP,UNCHAHAR4,AURY_GF,DHAULIGNGA,KGSU1AND2,KGSU3AND4,PARBATI3,RIHAND1,TALA,TALST2,AURY_LF,AURY_RF,DADRI_CRF,DADRI_RF,DADRT2,DULHASTI,KUDGI,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,CHAMERA1,KISHANGANGA,KOTESHWR,MAPS,NLCEXP,ANTA_LF,AURY_CRF,DADRI_GF,JHAJJAR,KKNPPU2,NLCIIST2,NLCTS2EXP,RAMPUR,SALAL,TEHRI,ANTA_RF,CHAMERA3,FSTPP I & II,KHSTPP-II,RAPPB,RSTPSU1TO6,UNCHAHAR1,VALLURNTECL,BSIUL,KHSTPP-I,KKNP,NTPL,RAPPC,SEWA2,SIMHST2,SINGRAULI,TANAKPUR,URI2,ANTA_CRF,DADRI_LF,BRBCL,CHAMERA2,KOLDAM,NAPP,RSTPSU7,SASAN,UNCHAHAR3,URI,ANTA_GF
1,00:00-00:15,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,43.99,0,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,15.81,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

2,00:15-00:30,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,43.99,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,15.81,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

3,00:30-00:45,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,33.12,0

4,00:45-01:00,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,33.12,0

5,01:00-01:15,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,33.12,0

6,01:15-01:30,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,5.76,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

7,01:30-01:45,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,0,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

8,01:45-02:00,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,0,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

9,02:00-02:15,0,0,0,118.76,62.16,0,0,0,0,0,0,0,0,92,0,0,0,70.81,0,59.73,683.14,0,0,0,0.71,42.39,0,0,8.87,0,0,0,0,0,434.65,0,0,0,0,55.77,0,44.21,9.68,20.8,148.3,0,0,19.98,0,0,45.53,0,0,25.76,16.53,0,139.69,0,24.21,0,0,20,13.17,0,20.29,0,418.77,26.4,20.97,0

