Block,Time,CHAMERA2,KHSTPP-I,NLCEXP,RAMPUR,UNCHAHAR2,ANTA_CRF,BSIUL,JHAJJAR,KGSU1AND2,NLCTS2EXP,NNTPP,RAPPB,RAPPC,RIHAND2,SINGRAULI,TEHRI,DADRI_GF,DADRI_LF,CHAMERA1,KOLDAM,KOTESHWR,NTPL,SINGRAULI_HYDRO,TALST2,ANTA_RF,DADRI_CRF,MAPS,NLCIIST1,RIHAND3,SIMHST1,UNCHAHAR3,UNCHAHAR4,URI,BRBCL,DHAULIGNGA,KGSU3AND4,KHSTPP-II,KISHANGANGA,SALAL,SASAN,ANTA_LF,AURY_RF,CHAMERA3,DULHASTI,NAPP,PARBATI3,RIHAND1,RSTPSU1TO6,SIMHST2,TANDA2,TelanganaSTPP,UNCHAHAR1,URI2,VALLURNTECL,AURY_CRF,KUDGI,NLCIIST2,RSTPSU7,SEWA2,ANTA_GF,AURY_LF,DADRI_RF,DADRT2,FSTPP I & II,KKNP,KKNPPU2,NJPC,TALA,TANAKPUR,AURY_GF
1,00:00-00:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,3.31,20,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

2,00:15-00:30,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,20,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

3,00:30-00:45,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,20,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

4,00:45-01:00,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,20,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

5,01:00-01:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

6,01:15-01:30,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

7,01:30-01:45,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

8,01:45-02:00,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,1.28,0

9,02:00-02:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

10,02:15-02:30,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

11,02:30-02:45,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.62,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

12,02:45-03:00,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,0,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

13,03:00-03:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

14,03:15-03:30,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,2.05,0

15,03:30-03:45,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,7.81,0

16,03:45-04:00,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,230.62,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,7.81,0

17,04:00-04:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,193.5,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,7.81,0

18,04:15-04:30,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,44.84,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,193.5,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,7.81,0

19,04:30-04:45,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,0,0,23.56,0,0,8.87,0,0,0,45.04,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,193.5,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,0,0,7.81,0

20,04:45-05:00,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,15.56,0,23.56,0,0,8.87,0,0,0,45.04,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,193.5,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,18.94,0,7.81,0

21,05:00-05:15,0,33.69,0,0,42.39,0,0,651.98,0,0,0,0,53.8,118.76,139.69,15.56,0,23.56,0,0,8.87,0,0,0,45.04,0,0,0,124.33,0,26.4,0,0.66,18.02,0,0,148.3,0,1.4,193.5,0,53.75,0,16.48,44.11,0,92,0,0,0,0,10.28,4.31,0,0,0,0,0,0,0,0,69.05,683.14,20.8,0,0,18.94,0,1.28,0

