Block,Time,RAPPC,RIHAND3,RIHAND2,PARBATI3,RAMPUR,RIHAND1,UNCHAHAR1,UNCHAHAR4,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SINGRAULI,TANDA2,UNCHAHAR2,SEWA2,DADRT2,NJPC,DULHASTI,KOLDAM,CHAMERA3,DHAULIGNGA,NAPP,KISHANGANGA,CHAMERA2,JHAJJAR,KOTESHWR,SALAL,RAPPB,TANAKPUR,URI,CHAMERA1,BSIUL,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NLCEXP,TALST2,NNTPP,SIMHST2,RSTPSU1TO6,VALLURNTECL,SIMHST1,RSTPSU7,NTPL,TelanganaSTPP,NLCIIST1,NLCIIST2,NLCTS2EXP,KKNP,MAPS,KUDGI,KKNPPU2,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

2,00:15-00:30,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

3,00:30-00:45,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

4,00:45-01:00,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,80.254056,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

5,01:00-01:15,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,101.83845,0,0,0,0,0,81.591624,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

6,01:15-01:30,67.990882,127.380717,121.484996,4.272091,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,0.758241,48.499828,472.943799,28.24392,80.178,0,8.3265,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

7,01:30-01:45,67.990882,127.380717,121.484996,0,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,5.560434,48.499828,472.943799,28.24392,80.178,0,6.405,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

8,01:45-02:00,67.990882,127.380717,121.484996,0,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,8.340651,48.499828,472.943799,28.24392,80.178,0,6.405,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

9,02:00-02:15,67.990882,127.380717,121.484996,0,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,8.340651,48.499828,472.943799,28.24392,80.178,0,6.405,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

10,02:15-02:30,67.990882,127.380717,121.484996,0,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,8.340651,48.499828,472.943799,28.24392,80.178,0,6.405,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

11,02:30-02:45,67.990882,127.380717,121.484996,0,6.745516,94.455943,22.230299,1.494586,1.19116,42.390457,37.890519,27.038981,144.58895,5.534073,43.606625,12.685976,685.215947,179.962454,59.175403,10.235073,34.831253,32.576563,47.405245,8.340651,48.499828,472.943799,28.24392,75.53,0,6.405,33.12,42.14808,13.0416,0,104.554142,0,0,0,0,0,81.591624,0,48.878288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,18.07,0,15.00135,342

