Column1,Time,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2024/09/23/7579,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/7908,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,0,8.8,96.77,0,92.48,0,0,0,13.5,0,0,0,40.5,0,0,38.67,0,0,0,0,0,0,7.96,220.64,21.77,13.5,38.67,0,40.02,0,11,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.71,87.29,109.98,0,31.5,31.5,0,0

2,00:15-00:30,0,8.8,96.77,0,92.48,0,0,0,13.5,0,0,0,40.5,0,0,39.33,0,0,0,0,0,0,7.96,220.64,21.77,13.5,39.33,0,40.02,0,11.34,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.71,87.29,109.98,0,31.5,31.5,0,0

3,00:30-00:45,0,8.8,96.77,0,92.48,0,0,0,14,0,0,0,42,0,0,40.67,0,0,0,0,0,0,7.96,220.64,21.77,14,40.67,0,40.02,0,11.34,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.71,87.29,109.98,0,31.5,31.5,0,0

4,00:45-01:00,0,8.8,96.77,0,92.48,0,0,0,15,0,0,0,45,0,0,42,0,0,0,0,0,0,7.96,220.64,21.77,15,42,0,40.02,0,11.66,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.71,87.29,109.98,0,31.5,31.5,0,0

5,01:00-01:15,0,8.8,96.77,0,92.48,0,0,0,15.5,0,0,0,46.5,0,0,42.67,0,0,0,0,0,0,7.96,220.64,21.77,15.5,42.67,0,40.02,0,11.66,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,109.98,0,31.5,31.5,0,0

6,01:15-01:30,0,8.8,96.77,0,92.48,0,0,0,16.17,0,0,0,48.5,0,0,43.33,0,0,0,0,0,0,7.96,220.64,21.77,16.16,43.33,0,40.02,0,12,273.62,32.9,24.19,17.5,2.42,145.16,31.29,10.63,77.42,109.98,0,31.5,31.5,0,0

