Block,Time Block,KOTESHWR,KUDGI,KKNPPU2,KOLDAM,KKNP,KISHANGANGA,RAMPUR,PARBATI3,NTPL,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KHSTPP-II,KHSTPP-I,DHAULIGNGA,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRT2,CHAMERA1,CHAMERA3,BSIUL,CHAMERA2,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,DADRI_GF,ANTA_CRF,ANTA_RF,DADRI_CRF,ANTA_LF,AURY_LF,AURY_GF,DADRI_RF,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,BRBCL,MAPS,NJPC,NAPP,RIHAND2,SASAN,TANDA2,RIHAND1,SIMHST1,SINGRAULI_HYDRO,TALST2,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,TANAKPUR,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,31.63,17.2,235.52,0,0,282.67,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,37.61,14.33,14.86,0,0,4.39,14.38,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,2.24,0,99.95,119.3,0,0,0,0,0,0

2,00:15-00:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,31.63,17.2,235.52,0,0,258.68,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,37.61,14.33,14.86,0,0,4.39,14.38,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,2.24,0,99.95,119.3,0,0,0,0,0,0

3,00:30-00:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,15.81,17.2,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,6.14,0,2.24,0,99.95,119.3,0,0,0,0,0,0

4,00:45-01:00,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,15.81,17.2,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,6.14,0,2.24,0,99.95,119.3,0,0,0,0,0,0

5,01:00-01:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,15.81,17.2,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,6.14,0,13.39,0,99.95,119.3,0,0,0,0,0,0

6,01:15-01:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,142.31,43.11,8.74,15.81,17.2,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,6.14,0,76.17,0,99.95,119.3,0,0,0,0,0,0

7,01:30-01:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,11.13,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,76.17,0,99.95,119.3,0,0,0,0,0,0

8,01:45-02:00,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,11.42,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,76.17,0,99.95,119.3,0,0,0,0,0,0

9,02:00-02:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,13.61,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,76.17,0,99.95,119.3,0,0,0,0,0,0

10,02:15-02:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,13.94,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,13.39,0,99.95,119.3,0,0,0,0,0,0

11,02:30-02:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

12,02:45-03:00,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

13,03:00-03:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

14,03:15-03:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

15,03:30-03:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

16,03:45-04:00,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

17,04:00-04:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

18,04:15-04:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

19,04:30-04:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,0,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

20,04:45-05:00,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,15.81,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,19.99,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

21,05:00-05:15,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,31.63,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,40.72,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

22,05:15-05:30,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,31.63,15.47,235.52,0,0,234.69,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.33,14.86,0,0,4.39,14.39,0,66.79,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

23,05:30-05:45,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66,37.16,8.74,47.43,15.47,235.52,0,0,234.69,0,0,1.06,2.3,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.93,14.86,0,0,4.39,14.39,0,88.87,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

24,05:45-06:00,8.51,0,0,0,0,0,0,2.45,0,0,0,0,0,0,122.66,37.16,17.49,47.43,15.47,235.52,0,0,210.7,11.37,9.29,2.11,3.84,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,14.63,14.86,0,0,4.39,14.39,0,112.23,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

25,06:00-06:15,8.51,0,0,0,0,0,0,6.1,0,0,0,0,0,0,122.66,37.16,26.37,47.43,15.47,235.52,0,0,180.27,13.48,18.58,6.26,11.52,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,29.87,14.86,0,0,4.39,14.38,0,134.67,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,0,99.95,119.3,0,0,0,0,0,0

26,06:15-06:30,18.92,0,0,0,0,0,0,31.76,0,0,0,0,0,0,122.66,37.16,36.13,47.43,15.47,235.52,0,0,180.27,13.48,27.89,18.77,25.28,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,29.87,14.86,0,0,4.39,14.38,0,134.67,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,5.53,0,2.24,5.06,99.95,119.3,0,0,0,0,0,0

27,06:30-06:45,18.92,0,0,0,0,0,0,31.76,0,0,0,0,0,0,122.66,37.16,36.13,47.43,15.47,235.52,0,0,180.27,13.48,27.89,18.77,25.28,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,30.49,1.59,29.87,14.86,0,0,4.39,14.38,0,134.67,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,2.24,10.11,99.95,119.3,0,0,0,0,0,0

28,06:45-07:00,18.92,0,0,0,0,0,0,31.76,0,0,0,0,0,0,142.31,43.11,36.13,47.43,17.47,281.59,0,0,180.27,13.48,27.89,18.77,25.28,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,36.11,2.65,29.87,17.6,0,0,4.39,14.38,0,134.67,40.48,113.96,401.85,0,88.28,0,0,0,0,49.93,0,0,11.43,0,2.24,10.11,99.95,119.3,0,0,0,0,0,0

