Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/64967,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,WR/2025/27361/A/65403,GNA/NR/2025/04/16/2341,WR/2025/27350/A/65114,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/6490,NR/2025/26034/C,NR/2025/25947/A/65380,NR/2025/25945/A/65381,NR/2025/25924/A/65131,NR/2025/25955/A/65378,NR/2025/25948/A/65379,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,Total
,,SECI_Trader,IEXL,IEXL,IEXL,HPXL,HPXL,IEXL,PUNJAB,IEXL,IEXL,IEXL,PXIL,APPCPL,NDMC,BAWANA_GAS,NDMC,HPXL,APPCPL,IEXL,KEIPL,PowerPulse,HPXL,TPDDL,APPCPL,APPCPL,DIAPL,APPCPL,APPCPL,DELHI,IVPL_Trader,
,,NA,NA,SIKKIM_STATE,HIMACHAL_STATE,NA,NA,SIKKIM_STATE,DELHI_UT,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,UTTARPRADESH_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,NA,CSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,DELHI_UT,
,,APSEPL_FTG,TPSL_BKN2,Kalez_Khola_HEP,RHPPL_HP,JPL,SIMHAPURI,MEYONGCHU_HEP,BAWANA_GAS,RCHEP,LLHEP1234,KGEPL_HP,LAPL_UP,BYPL,JPL2,BAWANA_GAS,SKS_Raigarh,JPL2,BYPL,JPNIGRIE_JNSTPP,BYPL,APL_Raipur_TPP,MSPLTD,JHAJJAR,RKM_POWER,RKM_POWER,GBHHPL,JIPL,TRN_ENERGY,CHANJUII,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,KSEB,NDMC,HARYANA,NDMC,BRPL,CSEB_Beneficiary,BRPL,CSEB_Beneficiary,BRPL,BRPL,TPDDL,NDMC,NDMC,DIAPL,NDMC,NDMC,TPDDL,TPC_MSEB,
,,North-North,North-North,East-North,North-North,West-North,South-East-North,East-North,North-North,East-North,East-North,North-North,North-North,North-West-South,West-North,North-North,West-North,West-North,North-West,West-North,North-West,West-North,West-North,North-North,West-North,West-North,North-North,East-North,West-North,North-North,North-West,
1,00:00-00:15,0,0,2.89,1.92,72.17,28.87,2.89,25.06,2.89,9.62,9.62,48.12,52.5,43.74,25.06,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.97,0,950.6300000000001

2,00:15-00:30,0,0,2.89,1.92,72.17,28.87,2.89,25.06,2.89,9.62,9.62,48.12,52.5,43.74,25.06,14.58,72.17,24.06,19.25,0,96.23,9.62,242.5,43.74,43.74,3.85,28.99,14.58,11.97,0,950.6300000000001

