Block,Time,CHAMERA2,KKNP,KOTESHWR,RAPPD,RSTPSU7,SASAN,TALA,CHAMERA1,DHAULIGNGA,FSTPP I & II,KHSTPP-II,NNTPP,PARBATI2,RAPPC,SALAL,VALLURNTECL,AURY_LF,CHAMERA3,DULHASTI,KISHANGANGA,NAPP,RSTPSU1TO6,DADRI_LF,DADRT2,KUDGI,NLCTS2EXP,PARBATI3,RAPPB,RIHAND1,TANAKPUR,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI2,ANTA_LF,KGSU3AND4,SIMHST1,SIMHST2,SINGRAULI,AURY_GF,BSIUL,JHAJJAR,KGSU1AND2,MAPS,NJPC,NLCEXP,NLCIIST1,RAMPUR,RIHAND3,TALST2,TANDA2,UNCHAHAR3,DADRI_CRF,DADRI_GF,DADRI_RF,BRBCL,KHSTPP-I,KKNPPU2,NLCIIST2,ANTA_GF,AURY_CRF,KOLDAM,NTPL,RIHAND2,SEWA2,SINGRAULI_HYDRO,TEHRIPSP,URI,ANTA_CRF,ANTA_RF,AURY_RF
1,00:00-00:15,47.12,0,40.57,23.87,0,266.62,26.61,42.15,42.46,18.76,98.87,0,12.66,65.1,69.72,0,0,33.94,55.38,6.96,23.98,0,23.71,589.38,0,0,41.62,0,98.32,13.06,65.38,0,21.65,45,3.22,37.42,0,0,0,0,74.94,0,19.56,667.25,0,0,175.79,0,0,5.7,130.84,0,5.73,27.69,0,0,80.36,24.99,45.53,0,0,0,0,8.62,0,125.27,12.22,0,0,52.99,0,51.96,80.78

2,00:15-00:30,47.12,0,40.57,23.87,0,266.62,26.61,42.15,42.46,18.76,98.87,0,12.66,65.1,69.72,0,0,33.94,55.38,6.96,23.98,0,23.71,589.38,0,0,41.62,0,98.32,13.06,65.38,0,21.65,45,3.22,37.42,0,0,0,0,74.94,0,19.56,667.25,0,0,175.79,0,0,5.7,130.84,0,5.73,27.69,0,0,80.36,24.99,45.53,0,0,0,0,8.62,0,125.27,12.22,0,0,52.99,0,51.96,80.78

3,00:30-00:45,47.12,0,40.57,23.87,0,266.62,26.45,42.15,42.46,18.76,98.87,0,12.66,65.1,69.72,0,0,33.94,55.38,6.96,23.98,0,23.71,589.38,0,0,49.06,0,98.32,13.06,65.38,0,21.65,45,3.22,30.39,0,0,0,0,74.94,0,19.56,667.25,0,0,175.79,0,0,5.7,130.84,0,5.73,27.69,0,0,80.36,24.99,45.53,0,0,0,0,8.62,0,125.27,12.22,0,0,52.99,0,51.96,80.78

4,00:45-01:00,47.12,0,40.57,23.87,0,266.62,26.45,42.15,42.46,18.76,98.87,0,12.66,65.1,69.72,0,0,33.94,55.38,6.96,23.98,0,23.71,589.38,0,0,49.06,0,98.32,13.06,65.38,0,21.65,45,3.22,30.39,0,0,0,0,74.94,0,19.56,667.25,0,0,175.79,0,0,5.7,130.84,0,5.73,27.69,0,0,80.36,24.99,45.53,0,0,0,0,8.62,0,125.27,12.22,0,0,48.57,0,51.96,80.78

5,01:00-01:15,47.12,0,40.57,23.87,0,266.62,26.45,42.15,42.46,18.76,98.87,0,12.66,65.1,69.72,0,0,33.94,55.38,6.96,23.98,0,23.71,589.38,0,0,38.65,0,98.32,13.06,65.38,0,21.65,45,3.22,37.42,0,0,0,0,74.94,0,19.56,667.25,0,0,175.79,0,0,5.7,130.84,0,5.73,27.69,0,0,80.36,24.99,45.53,0,0,0,0,8.62,0,125.27,12.22,0,0,48.57,0,51.96,80.78

