Block,Time,NAPP,SIMHST2,SINGRAULI_HYDRO,TANDA2,ANTA_RF,CHAMERA3,KGSU1AND2,KUDGI,RAPPB,RIHAND3,URI2,ANTA_CRF,DADRI_LF,DADRT2,DHAULIGNGA,FSTPP I & II,RIHAND2,RSTPSU1TO6,RSTPSU7,SALAL,SIMHST1,TANAKPUR,AURY_CRF,DADRI_GF,KHSTPP-II,KOLDAM,NLCTS2EXP,NNTPP,PARBATI3,TALA,TelanganaSTPP,UNCHAHAR2,UNCHAHAR3,AURY_RF,KKNPPU2,KOTESHWR,SEWA2,SINGRAULI,TEHRI,CHAMERA1,JHAJJAR,KHSTPP-I,KISHANGANGA,MAPS,NJPC,NTPL,RAPPC,VALLURNTECL,ANTA_LF,AURY_GF,DADRI_RF,BRBCL,DULHASTI,KKNP,NLCEXP,NLCIIST2,SASAN,UNCHAHAR4,ANTA_GF,AURY_LF,BSIUL,CHAMERA2,KGSU3AND4,NLCIIST1,RAMPUR,RIHAND1,TALST2,UNCHAHAR1,URI,DADRI_CRF
1,00:00-00:15,46.3,0,0,0.06,48.26,21.37,0,0,0,127.6,36.35,0,0,686.07,40.2,20.8,121.71,0,0,83.67,0,7.68,0,0,98.87,4.01,0,0,17.56,10.21,0,19.62,0,78.06,0,38.64,11.58,133.98,76.9,42.15,608.81,44.92,1.44,0,167.1,0,60.38,0,0,0,101.31,20,53.79,0,0,0,225,1.62,0,0,6.52,44.22,0,0,3.54,47.33,0,20.96,44.71,0

2,00:15-00:30,46.3,0,0,0.06,48.26,21.37,0,0,0,127.6,36.35,0,0,686.07,40.2,20.8,121.71,0,0,83.67,0,7.68,0,0,98.87,4.01,0,0,17.56,10.21,0,19.62,0,78.06,0,38.64,11.58,133.98,76.9,42.15,608.81,44.92,1.44,0,167.1,0,60.38,0,0,0,101.31,20,53.79,0,0,0,225,1.62,0,0,6.52,44.22,0,0,3.54,47.33,0,20.96,44.71,0

3,00:30-00:45,46.3,0,0,0.01,48.26,21.37,0,0,0,127.6,36.35,0,0,686.07,40.4,20.8,121.71,0,0,83.67,0,7.68,0,0,98.87,4.01,0,0,15.46,10.35,0,19.62,0,78.06,0,38.64,11.58,133.98,76.9,28.1,608.81,44.92,1.44,0,167.1,0,60.38,0,0,0,101.31,20,53.79,0,0,0,225,1.62,0,0,6.52,44.22,0,0,3.54,47.33,0,20.96,44.71,0

4,00:45-01:00,46.3,0,0,0.01,48.26,21.37,0,0,0,127.6,36.35,0,0,686.07,40.4,20.8,121.71,0,0,83.67,0,7.68,0,0,98.87,4.01,0,0,15.46,10.35,0,19.62,0,78.06,0,38.64,11.58,133.98,76.9,28.1,608.81,44.92,1.44,0,167.1,0,60.38,0,0,0,101.31,20,53.79,0,0,0,225,1.62,0,0,6.52,44.22,0,0,3.54,47.33,0,20.96,50.23,0

5,01:00-01:15,46.3,0,0,0.01,48.26,21.37,0,0,0,127.6,36.35,0,0,686.07,40.4,20.8,121.71,0,0,83.67,0,13,0,0,98.87,4.01,0,0,17.56,10.35,0,19.62,0,78.06,0,38.64,11.58,133.98,76.9,28.1,608.81,44.92,1.44,0,167.1,0,60.38,0,0,0,101.31,20,53.79,0,0,0,225,1.62,0,0,6.52,44.22,0,0,3.54,47.33,0,20.96,50.23,0

