Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,SR/2024/14066/C,NR/2024/22966/C,NR/2024/22969/C,NR/2024/22970/C,NR/2024/22802/A/35696,NR/2024/22874/A/35698,NR/2024/22833/A/35692,NR/2024/22888/A/35675,NR/2024/21658/A/35426,NR/2024/22839/A/35690,NR/2024/22734/A/35653,NR/2024/22754/A/35672,NR/2024/22753/A/35673,NR/2024/22860/A/35681,NR/2024/22835/A/35729,NR/2024/22820/A/35389,NR/2024/22872/A/35461,NR/2024/22837/A/35691,NR/2024/22816/A/35548,NR/2024/22832/A/35694,NR/2024/22848/A/35683,NR/2024/22968/C,NR/2024/22898/A/35481,NR/2024/22974/C,NR/2024/22899/A/35483,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/04/1294,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,Total
,,BAWANA_GAS,PUNJAB,DELHI,HPXL,TPDDL,NVVNL,NVVNL,NVVNL,NVVNL,NVVNL,APPCPL,ITCLH,NVVNL,TPDDL,PTC,PTC,APPCPL,MANIKARAN,IEXL,DIAPL,NVVNL,TPTCL,NVVNL,APPCPL,NVVNL,SJVNL,SJVNL,SJVNL,NVVNL,DELHI,AEL,JITPL,MANIKARAN,TPTCL,TPTCL,IEXL,INSTINCT,MANIKARAN,APPCPL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,MP_State,NA,KERALA_State,ANDHRA_PRADESH_STATE,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,Nagaland_State,MSEB_State,KARNATAKA_STATE,HIMACHAL_STATE,NA,NA,NA,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,NA,ODISHA_STATE,Arunachal_State,
,,BAWANA_GAS,BAWANA_GAS,CHANJUII,BYPL,JHAJJAR,Kameng,SORANG_HEP,JPNIGRIE_JNSTPP,JP_BINA,RKM_POWER,KSEB,ITCWIND,TRN_ENERGY,JPL2,HP,HP,Nagaland_Ben,AEML,NSLSUGAR,GBHHPL,JPL2,SIMHAPURI,RKM_POWER,UTTARAKHAND,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,TPSL_BKN2,JPNIGRIE_JNSTPP,SKS_Raigarh,APL_Raigarh_TPP,JITPL,BLAPOWER_MP,JITPL,SIMHAPURI,JHABUA_IPP,JPL2,MAADURGA_THERMAL,Arunachal_Ben,
,,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,PUNJAB,TPDDL,TANGEDCO,TPDDL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,BYPL,ITCLH,NDMC,TPDDL,BYPL,BRPL,BYPL,BYPL,MES_Delhi,DIAPL,NDMC,BRPL,NDMC,BYPL,MES_Delhi,NDMC,NDMC,NDMC,BRPL,NDMC,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,North-West-South,North-North,North East-East-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,East-North,West-North,East-North,South-East-North,West-North,West-North,East-North,North East-East-North,
1,00:00-00:15,24.0835,24.0835,11.83,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.87,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1633.457

2,00:15-00:30,24.0835,24.0835,11.83,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.87,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1633.457

3,00:30-00:45,24.0835,24.0835,11.83,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.87,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1633.457

4,00:45-01:00,24.0835,24.0835,11.83,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.87,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1633.457

5,01:00-01:15,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

6,01:15-01:30,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

7,01:30-01:45,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

8,01:45-02:00,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

9,02:00-02:15,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

10,02:15-02:30,24.0835,24.0835,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1636.497

11,02:30-02:45,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1642.0716

12,02:45-03:00,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.68,12.47,96.79,59.89,179.67,13.55,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,32.91,1642.0716

13,03:00-03:15,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.63,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1595.5616

14,03:15-03:30,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.63,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1595.5616

15,03:30-03:45,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.63,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1595.5616

16,03:45-04:00,26.8708,26.8708,15.06,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.63,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1595.5616

17,04:00-04:15,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1593.6616000000004

18,04:15-04:30,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1593.6616000000004

19,04:30-04:45,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1593.6616000000004

20,04:45-05:00,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,67.75,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1593.6616000000004

21,05:00-05:15,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1551.0816

22,05:15-05:30,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1551.0816

23,05:30-05:45,26.8708,26.8708,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1551.0816

24,05:45-06:00,26.8708,26.8708,13.21,159.7,241.98,164.78,28.07,0,32.37,37.39,25.17,0.58,12.47,96.79,59.89,179.67,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1709.8116000000005

25,06:00-06:15,26.8708,26.8708,13.96,111.31,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1422.7116

26,06:15-06:30,26.8708,26.8708,13.96,106.47,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1417.8716000000002

27,06:30-06:45,26.8708,26.8708,13.96,101.63,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1413.0316000000003

28,06:45-07:00,26.8708,26.8708,13.96,101.63,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1413.0316000000003

29,07:00-07:15,26.8708,26.8708,13.96,106.47,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1417.8716000000002

30,07:15-07:30,26.8708,26.8708,13.96,96.79,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1408.1916

31,07:30-07:45,26.8708,26.8708,13.96,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1311.4016000000001

32,07:45-08:00,26.8708,26.8708,13.96,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.68,12.47,96.79,0,0,0,90.98,4.84,7.74,37.39,0,37.39,84.38,0.37,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1311.7716

33,08:00-08:15,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.97,12.47,96.79,0,0,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0.4,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1310.0016000000003

34,08:15-08:30,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,32.37,37.39,25.17,0.97,12.47,96.79,0,0,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0.22,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1309.8216000000002

35,08:30-08:45,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,8.71,37.39,0,37.39,84.38,0.16,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1309.7416000000003

36,08:45-09:00,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,9.68,37.39,0,37.39,84.38,0.11,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1310.6616000000001

37,09:00-09:15,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,9.68,37.39,0,37.39,84.38,0.26,42.59,0,10.65,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1380.0816000000002

38,09:15-09:30,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,11.61,37.39,0,37.39,84.38,0.31,42.59,0,10.65,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1382.0616000000002

39,09:30-09:45,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,11.61,37.39,0,37.39,84.38,0.77,42.59,0,10.65,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1382.5216000000003

40,09:45-10:00,26.8708,26.8708,10.9,0,241.98,164.78,28.07,0,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,11.61,37.39,0,37.39,84.38,1.05,42.59,0,10.65,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1382.8016000000002

41,10:00-10:15,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,11.61,37.39,48.4,37.39,84.38,0.94,42.59,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1382.6916000000003

42,10:15-10:30,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.56,42.59,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1383.2816

43,10:30-10:45,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.43,42.59,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1383.1516000000001

44,10:45-11:00,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.36,42.59,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1383.0816

45,11:00-11:15,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.34,0,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1340.4716

46,11:15-11:30,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.3,0,0,10.65,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1340.4316000000001

47,11:30-11:45,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.79,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1330.2716

48,11:45-12:00,26.8708,26.8708,10.9,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.75,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1330.2316

49,12:00-12:15,26.8708,26.8708,15.53,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.44,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1334.5516000000002

50,12:15-12:30,26.8708,26.8708,15.53,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.42,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1334.5316000000003

51,12:30-12:45,26.8708,26.8708,15.53,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.56,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1334.6716000000001

52,12:45-13:00,26.8708,26.8708,15.53,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.75,0,0,0,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1334.8616000000002

53,13:00-13:15,26.8708,26.8708,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,1.07,35.43,0,5.17,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1373.4616

54,13:15-13:30,26.8708,26.8708,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.93,35.43,0,5.02,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1373.1716000000001

55,13:30-13:45,26.8708,26.8708,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.96,35.43,0,5.54,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1373.7216

