Block,Time Block,BRBCL,CHAMERA3,BSIUL,CHAMERA2,DADRT2,CHAMERA1,DHAULIGNGA,DULHASTI,JHAJJAR,FSTPP I & II,KGSU1AND2,KGSU3AND4,KHSTPP-I,KHSTPP-II,KISHANGANGA,KKNP,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPB,RAPPD,RAMPUR,RAPPC,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,RSTPSU7,SASAN,SIMHST1,SIMHST2,SEWA2,SALAL,SINGRAULI,SINGRAULI_HYDRO,TANAKPUR,TALA,TANDA2,TALST2,TEHRIPSP,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,UNCHAHAR2,URI,VALLURNTECL,URI2,ANTA_CRF,ANTA_LF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_RF,AURY_LF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,16.44,0,0,0,188.07,27.08,29.59,36.06,241.52,14.12,0,0,33.05,126.05,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,42.99,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,226.04,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,18.01,30.64,34.05,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,13.67,0,0,0,139.88,27.08,29.59,36.06,241.52,14.12,0,0,33.05,126.05,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,42.99,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,14.39,30.64,34.05,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,12.89,0,0,0,139.88,27.08,29.59,36.06,241.52,14.12,0,0,33.05,126.05,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,42.99,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,11.43,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,33.05,126.05,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,42.99,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,12.77,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,11.59,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,33.05,126.05,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,12.77,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,11.29,0,0,0,101.33,27.08,29.59,36.06,241.52,14.12,0,0,28.51,109.02,6.72,0,43.44,0,8.32,0,0,0,169.42,0,23.48,0,0,0,0,44.42,0,0,37.34,5.47,63.05,126.09,117.41,45.57,0,0,227.67,0,0,18.19,81.75,104.85,0,12.63,18.87,2.52,0,200.41,79.67,0,14.83,1.46,0,30.64,12.77,0,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

