Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,GNA/WR/2025/01/01/8625,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/5143,NR/01102023/31052040/LT-31,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/2563,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/6891,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/03/01/3469,NR/01102023/06022042/L_NR_2012_07
1,00:00-00:15,0,0,0,0,0,0,0,0,0,5.4,45.49,15.17,37.66,0,0,0,13.66,37.67,15.17,0,0,26.99,6.46,200,1.4,30.28,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.69,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

2,00:15-00:30,0,0,0,0,0,0,0,0,0,5.2,46.01,15.33,38.34,0,0,0,13.34,38.33,15.33,0,0,26.99,6.46,200,1.4,30.28,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.69,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

3,00:30-00:45,0,0,0,0,0,0,0,0,0,5,47.51,15.83,38.66,0,0,0,13.34,38.67,15.83,0,0,26.99,6.46,200,1.4,30.78,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.69,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

4,00:45-01:00,0,0,0,0,0,0,0,0,0,4.8,48,16,38.66,0,0,0,13.34,38.67,16,0,0,26.99,6.46,200,1.4,30.78,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.69,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

5,01:00-01:15,0,0,0,0,0,0,0,0,0,4.8,48,16,45.34,0,0,0,13,45.33,16,0,0,26.99,6.36,200,1.49,30.78,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.07,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

6,01:15-01:30,0,0,0,0,0,0,0,0,0,5.2,48,16,45.66,0,0,0,12.66,45.67,16,0,0,26.99,6.36,200,1.49,30.78,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.07,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

7,01:30-01:45,0,0,0,0,0,0,0,0,0,5.2,60,20,45.66,0,0,0,12.34,45.67,20,0,0,26.99,6.36,200,1.49,30.78,0,42,17.35,8.67,0,237.82,0,23.41,23.41,0,272.49,23.41,3.07,100.4,26.99,260.78,79.27,3.5,66.13,6.75,86.93

