Time,Block,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21173/A/27629,NR/2024/21062/A/27870,NR/2024/21087/A/27630,NR/2024/21113/A/27894,NR/2024/21339/A/27597,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/2024/21141/A/27766,NR/2024/21655/C,NR/2024/21679/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21683/C,NR/2024/21160/A/27641,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20711/A/27941,NR/2024/21103/A/28015,NR/2024/21023/A/27611,NR/2024/21152/A/27559,NR/2024/21651/C,NR/2024/21158/A/27642,NR/2024/21227/A/27879,NR/2024/20931/A/27821,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/23072042/L_NR_2012_04,NR/2024/21688/C,NR/2024/20966/A/27560,NR/2024/21076/A/27909,NR/2024/21567/A/27893,NR/2024/21686/C,NR/2024/21099/A/27600,NR/19072024/19072024/HPX-TAMCTG-180724-01742,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/27636,NR/2024/21108/A/27878,NR/2024/21072/A/27896,NR/2024/21144/A/27786,NR/2024/21186/A/27905,NR/2024/21146/A/27637,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/27599,NR/2024/21496/A/27882,NR/2024/21654/C,NR/19072024/19072024/HPX-TAMCTG-180724-01739,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27638,NR/2024/21183/A/27910,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21159/A/27634,NR/2024/21148/A/27635,NR/2024/21238/A/27916,NR/2024/21210/A/27598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/19072024/19072024/IEX-240718-01592,NR/2024/20573/A/27845,NR/2024/21075/A/27913,NR/2024/20688/A/27631,NR/2024/20574/A/27849,NR/2024/21089/A/27895,NR/2024/21096/A/27883,NR/2024/19779/A/27590,NR/2024/21671/C,NR/30092023/31122025/SH-07,NR/2024/21500/A/27480,NR/2024/21199/A/27610,NR/2024/21156/A/27640,Total
,,NDMC,GMRETL,PTC,GMRETL,NVVNL,TPTCL,TPTCL,PTC,TPTCL,NVVNL,IEXL,DELHI,HPXL,BMDRC,NDMC,TPDDL,APPCPL,INSTINCT,IEXL,TPDDL,MSSH,APPCPL,AEL,AEL,TPTCL,DIAPL,IEXL,MANIKARAN,NVVNL,HPXL,TPTCL,HPXL,TPDDL,BAL234,APPCPL,NVVNL,DTCP,NVVNL,BAL184,INSTINCT,TPTCL,APPCPL,NVVNL,HPXL,APPCPL,JHPL-DL,MANIKARAN,PUNJAB,MEJA,MHIL,BAL224,MANIKARAN,TPTCL,INSTINCT,IEXL,PTC,MANIKARAN,GMRETL,PTC,NVVNL,APPCPL,ITCLH,IEXL,BAWANA_GAS,DIAPL,INSTINCT,UHL,Total

,,NA,ODISHA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,MAHARASHTRA,NA,KARNATAKA,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,UTTARAKHAND,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,NA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KERALA,NA,KARNATAKA,ARUNACHAL PRADESH,HIMACHAL PRADESH,MP,DELHI,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,MAHARASHTRA,KARNATAKA,HIMACHAL PRADESH,GOA,RAJASTHAN,HIMACHAL PRADESH,NA,KERALA,ANDHRA PRADESH,NA,DELHI,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,
,,JITPL,GMRKEL (STU),SEILP2,GBHHPL,JPL-2,JITPL,JITPL,SEILP2,TPC MSEB,KAMENG,NIRANISUGAR,MSEB_Beneficiary,TADASWIND,SHPPBPL,SKS Raigarh,JPL-2,UTTARAKHAND,JPL,NHCPL_HP,JHAJJAR,SHPPBPL,Nagaland_Ben,APL_Raigarh TPP,APL_Raigarh TPP,MPL,GBHHPL,A_A_Energy_MH_Bio,AEML,TRN_ENERGY,GBHHPL,ACBIL,ACBIL,CHANJUII,SHPPBPL,Manipur_Ben,RKM_POWER,SHPPBPL,JP BINA,SHPPBPL,JPL,HP-GOVT,KSEB,SOLAPUR_SOLAR,TADASWIND_KAR,Arunachal_Ben,SHPPBPL,BLAPOWER_MP,BAWANA_GAS,MEJA,SHPPBPL,SHPPBPL,MMS STEEL TN,SIMHAPURI,JPL_DHULE,FORTUNE5PROJKAR,HP,GOA_Beneficiary,RUVNL,HP,RKM_POWER,KSEB,ITCWIND,SORANG_HEP,BAWANA_GAS,GBHHPL,JPL_DHULE,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BRPL,BMDRC,NDMC,TPDDL,BYPL,BRPL,MES (Delhi),TPDDL,MSSH,BYPL,BRPL,BRPL,TPDDL,DIAPL,MES (Delhi),BYPL,NDMC,BYPL,BRPL,BRPL,TPDDL,BAL234,BRPL,NDMC,DTCP,TPDDL,BAL184,BRPL,BRPL,BYPL,MES (Delhi),BRPL,BRPL,JHPL-DL,BRPL,PUNJAB,DELHI,MHIL,BAL224,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,NDMC,BYPL,ITCLH,BRPL,HARYANA,DIAPL,BRPL,UHL,
,,East-North,East-North,South-East-North,North-North,West-North,East-North,East-North,South-West-North,West-North,North East-East-North,South-East-West-North,West-North,South-East-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,East-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,West-North,South-West-North,North East-East-North,North-North,West-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,29.230000,0,60.600000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,53.690000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.620000,76.830000,32.000000,7.680000,0.000000,0.610000,2040.07

2,00:15-00:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,24.620000,0,61.850000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,53.690000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.620000,76.830000,32.000000,7.680000,0.000000,0.610000,2036.71

3,00:30-00:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,23.840000,0,60.990000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,53.590000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.620000,76.830000,32.000000,7.680000,0.000000,0.610000,2034.97

4,00:45-01:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,47.500000,163.510000,20.650000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,12.150000,0.000000,48.020000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,32.650000,14.480000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,24.230000,0,61.660000,38.420000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,53.010000,18.010000,11.670000,66.450000,6.000000,37.100000,67.230000,0.620000,76.830000,32.000000,7.680000,0.000000,0.610000,2035.45
