Time,Block,WR/2023/20256/A/1046,NR/2023/17064/A,NR/2023/17901/A/1000,NR/2023/17905/A/990,NR/2023/18012/C,WR/2023/18560/A,WR/2023/18560/A/II,NR/2023/18010/C,NR/2023/18009/C,NR/2023/16187/A,WR/2023/20254/A/1043,Total
,,MANIKARAN,GMRETL,ITCLH,IEXL,SJVNL,MANIKARAN,MANIKARAN,NVVNL,TPDDL,APPCPL,APPCPL,Total

,,DELHI,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,NA,DELHI,DELHI,NA,HIMACHAL PRADESH,DELHI,DELHI,
,,BRPL,BYPL,ITCWIND,BSHP,RSRPL_BKN,BYPL,BYPL,SOLAPUR_SOLAR,CHANJUII,BYPL,BRPL,
,,GOA,RAJASTHAN,DELHI,DELHI,DELHI,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,HIMACHAL PRADESH,GOA,
,,GOA_Beneficiary,RUVNL,ITCLH,MES (Delhi),NDMC,AEML,AEML,MES (Delhi),TPDDL,HP,GOA_Beneficiary,
,,North-West,North-North,South-West-North,North-North,North-North,North-West,North-East-West,West-North,North-North,North-North,North-West,
1,00:00-00:15,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

2,00:15-00:30,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

3,00:30-00:45,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

4,00:45-01:00,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

5,01:00-01:15,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

6,01:15-01:30,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

7,01:30-01:45,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

8,01:45-02:00,0.000000,0.000000,0.480000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.33

9,02:00-02:15,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

10,02:15-02:30,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

11,02:30-02:45,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

12,02:45-03:00,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

13,03:00-03:15,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

14,03:15-03:30,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

15,03:30-03:45,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

16,03:45-04:00,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

17,04:00-04:15,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

18,04:15-04:30,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

19,04:30-04:45,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

20,04:45-05:00,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

21,05:00-05:15,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

22,05:15-05:30,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

23,05:30-05:45,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

24,05:45-06:00,0.000000,0.000000,0.430000,1.930000,0,100.000000,0.000000,0,3.040000,76.880000,0.000000,182.28

25,06:00-06:15,0.000000,100.000000,0.430000,1.930000,0,0.000000,100.000000,0,3.040000,0.000000,0.000000,205.4

26,06:15-06:30,0.000000,100.000000,0.430000,1.930000,0,0.000000,100.000000,0,3.040000,0.000000,0.000000,205.4

