Block,Time,NLCIIST1,SIMHST1,TEHRI,UNCHAHAR3,ANTA_RF,DADRI_CRF,DADRI_LF,CHAMERA1,DADRT2,KOLDAM,NAPP,NLCEXP,NNTPP,RAPPC,RIHAND1,UNCHAHAR4,URI2,AURY_CRF,DADRI_GF,BRBCL,NLCTS2EXP,RSTPSU1TO6,SASAN,UNCHAHAR2,ANTA_LF,BSIUL,CHAMERA2,FSTPP I & II,NJPC,NLCIIST2,PARBATI3,RAMPUR,TALST2,VALLURNTECL,DHAULIGNGA,KHSTPP-I,KUDGI,RSTPSU7,SALAL,DADRI_RF,CHAMERA3,KGSU1AND2,KHSTPP-II,KKNP,KKNPPU2,RIHAND3,SINGRAULI,TANAKPUR,ANTA_CRF,AURY_LF,AURY_RF,DULHASTI,KGSU3AND4,KOTESHWR,MAPS,NTPL,RAPPB,SEWA2,TALA,TelanganaSTPP,ANTA_GF,JHAJJAR,KISHANGANGA,RIHAND2,SIMHST2,SINGRAULI_HYDRO,TANDA2,UNCHAHAR1,URI,AURY_GF
1,00:00-00:15,0,0,53.16,27.05,48.13,0,0,42.15,685.72,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.74,0,0,44.22,13.91,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,38.64,0,0,0,11.58,10.29,0,0,413.81,2.88,121.71,0,0,2.25,17.46,38.64,0

2,00:15-00:30,0,0,53.16,27.05,48.13,0,0,42.15,685.72,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.74,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,38.64,0,0,0,11.58,10.44,0,0,413.81,2.88,121.71,0,0,2.25,17.46,38.64,0

3,00:30-00:45,0,0,53.16,27.05,48.13,0,0,42.15,685.72,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.74,0,0,44.22,14.3,167.1,0,7.03,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,38.64,0,0,0,11.58,10.44,0,0,413.81,2.88,121.71,0,0,2.25,17.46,38.64,0

4,00:45-01:00,0,0,53.16,27.05,48.13,0,0,42.15,685.72,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.74,0,0,44.22,14.3,167.1,0,7.03,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,38.64,0,0,0,11.58,10.35,0,0,413.81,2.88,121.71,0,0,2.25,17.46,38.64,0

5,01:00-01:15,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,23.65,0,0,20.01,0,0,405,20.74,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,38.64,0,0,0,11.58,10.29,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

6,01:15-01:30,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,23.65,0,0,20.01,0,0,405,20.74,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,38.64,0,0,0,0,10.17,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

7,01:30-01:45,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,38.64,0,0,0,0,10.17,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

8,01:45-02:00,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,66.82,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,38.64,0,0,0,0,10.17,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

9,02:00-02:15,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,28.98,0,0,0,0,10.29,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

10,02:15-02:30,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,12.94,0,0,60.89,36.36,0,28.98,0,0,0,0,10.35,0,0,413.81,2.88,121.71,0,0,2.25,17.46,33.12,0

11,02:30-02:45,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,28.98,0,0,0,0,10.29,0,0,413.81,2.88,121.71,0,0,2.25,17.46,46.37,0

12,02:45-03:00,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,60.89,36.36,0,28.98,0,0,0,0,10.44,0,0,413.81,2.88,121.71,0,0,2.25,17.46,46.37,0

13,03:00-03:15,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.53,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

14,03:15-03:30,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.53,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

15,03:30-03:45,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.44,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

16,03:45-04:00,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.44,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

17,04:00-04:15,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.41,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

18,04:15-04:30,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.29,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

19,04:30-04:45,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.23,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

20,04:45-05:00,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,83.67,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,61.49,36.36,0,19.32,0,0,0,0,10.14,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

21,05:00-05:15,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,77.85,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.94,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

22,05:15-05:30,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,21.08,3.54,0,0,0,38.24,0,0,77.85,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.76,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

23,05:30-05:45,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,25.3,3.54,0,0,0,38.24,0,0,77.85,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.47,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

24,05:45-06:00,0,0,53.16,27.05,48.13,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,22.16,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,79.48,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.27,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

25,06:00-06:15,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.68,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.53,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

26,06:15-06:30,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.68,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,19.32,0,0,0,0,9.53,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

27,06:30-06:45,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,20.68,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,9.66,0,0,0,0,9.41,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

28,06:45-07:00,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,36.05,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,9.66,0,0,0,0,9.41,0,0,413.81,2.88,121.71,0,0,2.25,17.46,35.33,0

29,07:00-07:15,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,23.65,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,36.54,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,9.66,0,0,0,0,9.38,0,0,413.81,2.88,121.71,0,0,2.48,17.46,35.33,0

30,07:15-07:30,0,0,34.01,27.05,47.31,0,0,42.15,686.07,5.35,44.62,0,0,60.53,94.65,1.62,23.65,0,0,20.01,0,0,405,21.34,0,0,44.22,14.3,167.1,0,17.56,3.54,0,0,0,38.24,0,0,77.85,76.64,32.08,0,136.37,0,0,127.6,101.27,11.78,0,0,62.1,36.36,0,9.66,0,0,0,0,12.21,0,0,413.81,2.88,121.71,0,0,2.72,17.46,35.33,0

