Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/12/01/2197,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1599,GNA/SR/2024/12/01/6968,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1766,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/1899,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,L_NR_2019_19,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,0,33.33,6,100.01,36.93,0,0,0,33.33,80,0,0,0,0,80,0,0,57.43,1.22,22.3,0,47.56,8.74,0,142.69,150,25.23,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

2,00:15-00:30,0,0,0,33.33,6,100.01,36.23,0,0,0,33.33,80,0,0,0,0,80,0,0,57.43,1.22,22.3,0,47.56,8.74,0,142.69,150,25.23,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,62.53,0,26.23,0,0,0,1.65,0

3,00:30-00:45,0,0,0,33.33,5.8,100.01,35.57,0,0,0,33.33,80,0,0,0,0,80,0,0,57.43,1.22,22.3,0,47.56,8.74,0,142.69,150,25.23,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,62.53,0,26.23,0,0,0,1.65,0

4,00:45-01:00,0,0,0,33.33,5.6,100.01,34.67,0,0,0,33.33,80,0,0,0,0,80,0,0,57.43,1.22,22.3,0,47.56,8.74,0,142.69,150,25.23,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,62.53,0,26.23,0,0,0,1.65,0

5,01:00-01:15,0,0,0,33.33,5.6,100.01,33.77,0,0,0,33.33,80,0,0,0,0,80,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,25.73,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,62.53,0,26.23,0,0,0,1.65,0

6,01:15-01:30,0,0,0,33.33,5.4,100.01,33.12,0,0,0,33.33,79,0,0,0,0,79,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,26.24,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

7,01:30-01:45,0,0,0,33.33,5.4,100.01,30,0,0,0,33.33,77.33,0,0,0,0,77.34,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,26.24,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

8,01:45-02:00,0,0,0,33.33,5.2,100.01,29.33,0,0,0,33.33,76,0,0,0,0,76,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,26.24,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

9,02:00-02:15,0,0,0,33.33,5,100.01,28.33,0,0,0,33.33,75,0,0,0,0,75,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,25.73,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

10,02:15-02:30,0,0,0,33.33,5,100.01,27.67,0,0,0,33.33,74,0,0,0,0,74,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,25.73,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

11,02:30-02:45,0,0,0,33.33,5,100.01,26.67,0,0,0,33.33,72.67,0,0,0,0,72.66,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,25.73,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

12,02:45-03:00,0,0,0,33.33,5,100.01,25.67,0,0,0,33.33,71,0,0,0,0,71,0,0,57.43,1.14,22.3,0,47.56,8.74,0,142.69,150,25.73,1.57,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.65,0

13,03:00-03:15,0,0,0,33.33,5,100.01,25,0,0,0,33.33,73.33,0,0,0,0,73.34,0,0,57.43,1.07,22.3,0,47.56,8.74,0,142.69,150,25.73,1.53,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.56,0

14,03:15-03:30,0,0,0,33.33,5,100.01,24.67,0,0,0,33.33,73.33,0,0,0,0,73.34,0,0,57.43,1.07,22.3,0,47.56,8.74,0,142.69,150,25.73,1.53,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.56,0

15,03:30-03:45,0,0,0,33.33,5,100.01,24.33,0,0,0,33.33,72.33,0,0,0,0,72.34,0,0,57.43,1.07,22.3,0,47.56,8.74,0,142.69,150,25.73,1.53,22.3,70.15,65.42,8.74,0,0.69,74.81,52.91,0,26.23,0,0,0,1.56,0

