Time,Block,NR/2023/10488/A,NR/2023/13844/D,NR/2023/13053/F,NR/2023/12661/A,NR/2023/13847/D,NR/2023/10561/A,NR/2023/10436/A,NR/2023/12923/F,NR/2023/13861/C,NR/2023/13872/C,NR/2023/12706/A,NR/2023/10956/A,NR/2023/13871/C,NR/2023/10650/A,NR/2023/10432/A,NR/2023/11709/A,ER/2023/8541/C,NR/2023/12924/F,NR/2023/12916/F,NR/2023/12922/F,NR/2023/10705/A,WR/2023/16419/C,NR/2023/11068/A,NR/2023/13053/F/II,NR/2023/12813/F,NR/2023/11507/A,NR/2023/13870/C,NR/2023/12915/F,NR/2023/12169/A,NR/2023/10435/A,NR/2023/13854/D,NR/2023/13369/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/10460/A,NR/2023/13845/D,NR/2023/13860/C,NR/2023/10651/A,NR/2023/13843/D,NR/2023/12920/F,NR/2023/11953/A,NR/2023/13855/D,NR/2023/10786/A,NR/2023/11266/A,NR/2023/12872/F,NR/2023/13679/F,NR/2023/11712/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/12814/F,Total
,,TPTCL,KEIPL,GMRETL,NVVNL,NVVNL,PTC,APPCPL,SHPPBPL,GMRETL,PXIL,HPXL,NVVNL,HPXL,KEIPL,TPTCL,MANIKARAN,HPXL,SHPPBPL,SHPPBPL,SHPPBPL,KEIPL,HPXL,APPCPL,GMRETL,MANIKARAN,TPTCL,TPDDL,SHPPBPL,APPCPL,NVVNL,TS1PL_BKN,SJVNL,KEIPL,NVVNL,SHPPBPL,SHPPBPL,GMRETL,NVVNL,GBHHPL,KEIPL,NVVNL,SHPPBPL,KEIPL,TS1PL_BKN,STATKRAFT,TPTCL,ITCLH,IEXL,MANIKARAN,APPCPL,SHPPBPL,MANIKARAN,Total

,,NA,UTTAR PRADESH,NA,NA,NA,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,MAHARASHTRA,NA,NA,KERALA,ODISHA,TAMIL NADU,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,DELHI,UTTARAKHAND,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,WEST BENGAL,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,TAMIL NADU,NA,ANDHRA PRADESH,JAMMU AND KASHMIR,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,APNRL,LAPL-UP,GMR WARORA,SKS Raigarh,SORANG_HEP,JPNIGRIE_JNSTPP,Meghalaya_Ben,SHPPBPL,GBHHPL,BYPL,B_S_ISPAT_MH,JPNIGRIE_JNSTPP,Teesta_III,KSEB,NBVLIPP,TANGEDCO,BYPL,SHPPBPL,SHPPBPL,SHPPBPL,KSEB,BYPL,UTTARAKHAND,GMR WARORA,HP,JPL,CHANJUII,SHPPBPL,HP,SEIL,TS1PL_BKN,IPCL_WB,TANGEDCO,KAMENG,SHPPBPL,SHPPBPL,Meghalaya_Ben,KAMENG,GBHHPL,Meghalaya_Ben,SOLAPUR_SOLAR,SHPPBPL,Meghalaya_Ben,TS1PL_BKN,TANGEDCO,KWHEP,ITCWIND,SAPU1234,TANGEDCO,HP,SHPPBPL,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,BALCO_WR,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BYPL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,MHIL,BYPL,ASIL_UP,NDMC,BRPL,BRPL,BYPL,TPDDL,BRPL,VL-CPP 1215,UHL,BAL224,JHPL-DL,BRPL,BALCO_LOAD,BYPL,TPDDL,BRPL,BRPL,TPDDL,BAL184,BRPL,TPDDL,BRPL,NDMC,BYPL,BRPL,AISHER,BAL234,BYPL,TPDDL,DIAPL,BYPL,MES (Delhi),BMDRC,BYPL,BYPL,BYPL,BRPL,ITCLH,MES (Delhi),BRPL,BYPL,MAX-HPTL,BRPL,
,,East-North,North-North,West-North,West-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,West-North,West-North,East-North,South-West-North,East-North,South-West-North,North-East,North-North,North-North,North-North,South-West-North,North-West,North-North,West-East-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,East-North,South-West-North,North East-East-North,North-North,North-North,North East-East-North,North East-East-North,North-North,North East-East-North,West-North,North-North,North East-East-North,North-North,South-West-North,North-North,South-West-North,North-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,48.410000,0.000000,12.070000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,12.130000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1854.99

2,00:15-00:30,48.410000,0.000000,12.070000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,12.130000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.820000,0.920000,23.240000,147.910000,34.650000,63.180000,0,0.930000,36.530000,0,98.760000,63.630000,0.480000,4.840000,64.390000,23.240000,0.930000,85.690000,1854.99
