Time,Block,NR/2023/14031/C,NR/2023/12919/F,NR/2023/14017/D,NR/2023/10705/A,NR/2023/12169/A,NR/2023/12813/F,NR/2023/11712/A,NR/2023/14028/C,NR/2023/14029/C,NR/2023/10436/A,NR/2023/10720/A,NR/2023/10650/A,ER/2023/8639/C,NR/2023/12661/A,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11068/A,NR/2023/12924/F,NR/2023/12920/F,NR/2023/14025/D,NR/2023/10460/A,NR/2023/10561/A,NR/2023/12916/F,NR/2023/12922/F,NR/2023/12814/F,NR/2023/10786/A,NR/2023/12915/F,NR/2023/12706/A,NR/2023/11266/A,NR/2023/10435/A,NR/2023/13679/F,NR/2023/10947/A,NR/2023/12923/F,NR/2023/13369/F,NR/2023/10488/A,NR/2023/11709/A,NR/2023/14022/D,NR/2023/10651/A,NR/2023/14024/D,NR/2023/10956/A,NR/2023/11507/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/10432/A,NR/2023/10959/A,NR/2023/14021/D,NR/2023/14023/D,Total
,,TPDDL,SHPPBPL,KEIPL,KEIPL,APPCPL,MANIKARAN,MANIKARAN,GBHHPL,PXIL,APPCPL,KEIPL,KEIPL,HPXL,NVVNL,ITCLH,SHPPBPL,APPCPL,SHPPBPL,SHPPBPL,GMRETL,GMRETL,PTC,SHPPBPL,SHPPBPL,MANIKARAN,STATKRAFT,SHPPBPL,HPXL,TPTCL,NVVNL,IEXL,APPCPL,SHPPBPL,SJVNL,TPTCL,MANIKARAN,NVVNL,KEIPL,NVVNL,NVVNL,TPTCL,KEIPL,SHPPBPL,TPTCL,NVVNL,TS1PL_BKN,TS1PL_BKN,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,DELHI,MEGHALAYA,TAMIL NADU,KERALA,DELHI,NA,ANDHRA PRADESH,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,HIMACHAL PRADESH,GOA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,NA,TAMIL NADU,NA,MEGHALAYA,NA,NA,NA,MEGHALAYA,HIMACHAL PRADESH,ODISHA,NA,NA,NA,
,,CHANJUII,SHPPBPL,LAPL-UP,KSEB,HP,HP,TANGEDCO,GBHHPL,BYPL,Meghalaya_Ben,TANGEDCO,KSEB,BYPL,SKS Raigarh,ITCWIND,SHPPBPL,UTTARAKHAND,SHPPBPL,SHPPBPL,GOA_Beneficiary,Meghalaya_Ben,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,HP,TANGEDCO,SHPPBPL,B_S_ISPAT_MH,KWHEP,SEIL,SAPU1234,HP,SHPPBPL,IPCL_WB,APNRL,TANGEDCO,KAMENG,Meghalaya_Ben,SOLAPUR_SOLAR,JPNIGRIE_JNSTPP,JPL,Meghalaya_Ben,SHPPBPL,NBVLIPP,KAMENG,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,AISHER,BYPL,BRPL,BRPL,BRPL,BRPL,DIAPL,ASIL_UP,BYPL,BYPL,BYPL,VL-CPP 1215,NDMC,ITCLH,BAL234,BYPL,UHL,BMDRC,TPDDL,BYPL,TPDDL,BAL224,JHPL-DL,BRPL,BYPL,BAL184,NDMC,BRPL,TPDDL,MES (Delhi),BYPL,MHIL,NDMC,TPDDL,BRPL,TPDDL,BYPL,MES (Delhi),BRPL,BRPL,BYPL,MAX-HPTL,TPDDL,BRPL,BRPL,BYPL,
,,North-North,North-North,North-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,South-West-North,South-West-North,North-East,West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,South-West-North,North-North,West-North,North-North,South-West-North,North-North,North-North,North-North,East-North,East-North,South-West-North,North East-East-North,North East-East-North,West-North,West-North,West-North,North East-East-North,North-North,East-North,North East-East-North,North-North,North-North,
1,00:00-00:15,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1816.78

2,00:15-00:30,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1816.78

3,00:30-00:45,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1816.78

4,00:45-01:00,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1816.78

5,01:00-01:15,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1704.03

6,01:15-01:30,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1704.03

7,01:30-01:45,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1704.03

8,01:45-02:00,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.530000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1704.03

9,02:00-02:15,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1703.98

10,02:15-02:30,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1703.98

11,02:30-02:45,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1703.98

12,02:45-03:00,19.680000,0.820000,0.000000,232.470000,54.220000,62.930000,64.390000,34.650000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.480000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,98.760000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,49.300000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,7.090000,0,0,1703.98

