Column1,Block,NR/2024/22898/A/36228,NR/2024/23043/C,NR/2024/22899/A/36227,NR/2024/23044/C,NR/2024/21658/A/36169,NR/2024/22754/A/36434,NR/2024/22874/A/36463,NR/2024/22734/A/36464,NR/2024/22839/A/36458,NR/2024/23040/C,NR/2024/22860/A/36450,NR/2024/22848/A/36452,NR/2024/22835/A/36438,NR/2024/22837/A/36459,NR/2024/22820/A/36197,NR/2024/22816/A/36158,NR/2024/23017/A/36375,NR/2024/22802/A/36462,NR/30092023/31122025/SH-07,NR/2024/23045/C,NR/2024/22832/A/36461,NR/2024/22833/A/36460,NR/2024/22888/A/36443,NR/2024/22753/A/36435,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6566,NR/2024/23048/C,Total
,,SJVNL,NVVNL,SJVNL,NVVNL,ITCLH,PTC,NVVNL,TPDDL,NVVNL,TPDDL,APPCPL,APPCPL,MANIKARAN,NVVNL,IEXL,TPTCL,DIAPL,NVVNL,BAWANA_GAS,NVVNL,NVVNL,NVVNL,APPCPL,PTC,DELHI,DELHI,JITPL,INSTINCT,PUNJAB,MANIKARAN,MANIKARAN,APPCPL,TPTCL,NVVNL,AEL,TPTCL,SJVNL,
,,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,MP_State,NA,NA,NA,Nagaland_State,UTTARAKHAND_STATE,MSEB_State,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,KERALA_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,DELHI_UT,MP_State,ODISHA_STATE,Arunachal_State,NA,NA,NA,NA,NA,
,,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,Kameng,ITCWIND,HP,JP_BINA,JPL2,TRN_ENERGY,JHAJJAR,Nagaland_Ben,UTTARAKHAND,AEML,JPL2,NSLSUGAR,SIMHAPURI,GBHHPL,JPNIGRIE_JNSTPP,BAWANA_GAS,SORANG_HEP,RKM_POWER,RKM_POWER,KSEB,HP,SKS_Raigarh,CHANJUII,JITPL,JPL2,BAWANA_GAS,BLAPOWER_MP,MAADURGA_THERMAL,Arunachal_Ben,SIMHAPURI,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,JITPL,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,TPDDL,ITCLH,BYPL,TPDDL,TPDDL,NDMC,TPDDL,BYPL,BYPL,BYPL,NDMC,MES_Delhi,BRPL,DIAPL,BRPL,HARYANA,TPDDL,NDMC,NDMC,BYPL,BRPL,NDMC,TPDDL,NDMC,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,
,,North-North,West-North,North-North,North East-East-North,South-West-North,North-North,West-North,West-North,West-North,North-North,North East-East-North,North-North,West-North,West-North,South-West-North,South-West-North,North-North,West-North,North-North,North-North,West-North,West-North,South-West-North,North-North,West-North,North-North,East-North,West-North,North-North,West-North,East-North,North East-East-North,South-East-North,West-North,West-North,East-North,North-North,
1,00:00-00:15,0,0,0,164.89,0.87,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,0,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1683.2841999999996

2,00:15-00:30,0,0,0,164.89,0.87,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,0,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1683.2841999999996

3,00:30-00:45,0,0,0,164.89,0.87,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1695.7541999999996

4,00:45-01:00,0,0,0,164.89,0.87,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1695.7541999999996

5,01:00-01:15,0,0,0,164.89,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1695.5641999999998

6,01:15-01:30,0,0,0,164.89,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1695.5641999999998

7,01:30-01:45,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

8,01:45-02:00,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

9,02:00-02:15,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

10,02:15-02:30,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

11,02:30-02:45,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

12,02:45-03:00,0,0,0,109.92,0.68,60.53,48.42,96.85,12.47,242.12,13.56,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.33,24.8,96.85,26.9071,21.79,2.42,32.93,48.42,96.85,48.42,24.21,0,1640.5941999999998

13,03:00-03:15,0,0,0,109.92,0.63,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.8742

14,03:15-03:30,0,0,0,109.92,0.63,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.8742

15,03:30-03:45,0,0,0,109.92,0.63,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.8742

16,03:45-04:00,0,0,0,109.92,0.63,60.53,48.42,96.85,12.47,242.12,0,84.43,91.04,37.41,4.84,0,8.72,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,14.15,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1593.8742

