Block,Time,SH-07,L_NR_2020_05,SH-06,L_NR_2020_06,L_NR_2021_13,L_NR_2020_07,L_NR_2021_15,L_NR_2019_07,L_NR_2019_19,L_NR_2019_11,L_NR_2021_17,LT-31,L_NR_2020_02,L_NR_2021_12,L_NR_2023_07,L_NR_2022_09,L_NR_2018_61,L_NR_2021_16,L_NR_2012_02,LT-35,L_NR_2019_05,L_NR_2022_08,L_NR_2023_10,L_NR_2012_07,LT-59,LT-36,L_NR_2021_14,L_NR_2012_01,L_NR_2023_04,L_NR_2019_06,L_NR_2022_10,LT-05,L_NR_2012_04
1,00:00-00:15,30.950000,100.29,30.950000,33.43,0,33.43,0,0,0,10.780000,0,0.000000,11.910000,0,0,71.8,7.2,0,261.860000,0.000000,0,23.72,0,74.200000,10.390000,0.000000,0,101.370000,28.780000,0,71.8,116.130000,210.960000

2,00:15-00:30,30.950000,99.27,30.950000,33.09,0,33.09,0,0,0,10.780000,0,0.000000,11.910000,0,0,71.36,7.2,0,261.860000,0.000000,0,23.64,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,71.36,116.130000,210.960000

3,00:30-00:45,30.950000,94.47,30.950000,31.49,0,31.49,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.86,7.2,0,261.860000,0.000000,0,27.04,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,70.86,116.130000,210.960000

4,00:45-01:00,30.950000,93.78,30.950000,31.26,0,31.26,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.35,7.2,0,261.860000,0.000000,0,26.92,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,70.35,116.130000,210.960000

5,01:00-01:15,30.950000,93.32,30.950000,31.11,0,31.1,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.3,7.2,0,261.860000,0.000000,0,26.78,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,70.3,116.130000,210.960000

6,01:15-01:30,30.950000,93.12,30.950000,31.04,0,31.05,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.28,7.2,0,261.860000,0.000000,0,26.64,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,70.28,116.130000,210.960000

7,01:30-01:45,30.950000,92.99,30.950000,31,0,30.99,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.3,7.2,0,261.860000,0.000000,0,26.49,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,70.3,116.130000,210.960000

8,01:45-02:00,30.950000,92.67,30.950000,30.89,0,30.89,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.35,7.2,0,261.860000,0.000000,0,26.33,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,70.35,116.130000,210.960000

9,02:00-02:15,30.970000,92.38,30.970000,30.79,0,30.79,0,0,0,10.780000,0,0.000000,11.910000,0,0,70.03,7.2,0,261.860000,0.000000,0,26.31,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,70.03,116.130000,210.960000

10,02:15-02:30,30.970000,92.21,30.970000,30.74,0,30.74,0,0,0,10.780000,0,0.000000,11.910000,0,0,69.69,7.2,0,261.860000,0.000000,0,26.21,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,69.69,116.130000,210.960000

11,02:30-02:45,30.970000,92.14,30.970000,30.71,0,30.73,0,0,0,10.780000,0,0.000000,11.910000,0,0,69.91,7.2,0,261.860000,0.000000,0,26.07,0,74.200000,10.390000,0.000000,0,101.370000,29.800000,0,69.91,116.130000,210.960000

12,02:45-03:00,30.970000,92.08,30.970000,30.69,0,30.7,0,0,0,10.780000,0,0.000000,11.910000,0,0,69.57,7.2,0,261.860000,0.000000,0,26.02,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,69.57,116.130000,210.960000

13,03:00-03:15,30.970000,91.99,30.970000,30.66,0,30.67,0,0,0,10.780000,0,0.000000,11.910000,0,0,68.58,7.2,0,261.860000,0.000000,0,23.18,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,68.58,116.130000,226.440000

14,03:15-03:30,30.970000,83.8,30.970000,27.93,0,27.94,0,0,0,10.780000,0,0.000000,11.910000,0,0,63.42,7.2,0,261.860000,0.000000,0,23,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,63.42,116.130000,226.440000

15,03:30-03:45,30.970000,83.67,30.970000,27.89,0,27.88,0,0,0,10.780000,0,0.000000,11.910000,0,0,63.32,7.2,0,261.860000,0.000000,0,22.8,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,63.32,116.130000,226.440000

16,03:45-04:00,30.970000,83,30.970000,27.67,0,27.67,0,0,0,10.780000,0,0.000000,11.910000,0,0,63.2,7.2,0,261.860000,0.000000,0,22.61,0,74.200000,10.390000,0.000000,0,101.370000,29.750000,0,63.2,116.130000,226.440000

